q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5,qdd1,qdd2,qdd3,qdd4,qdd5
0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.010003167612205153,0.020005334248784725,0.030005499034276635,0.040002661293535746,0.049995820651867334,0.9999499670672138,1.9995997465508886,2.998649200931869,3.996798292812755,4.993747134961247,-0.010003167612205153,-0.0800213369951389,-0.2700494913084897,-0.6400425806965719,-1.2498955162966834
0.020005334248784725,0.040002661293535746,0.059983977135130394,0.07994128418298528,0.09986659445611952,0.9997998732754443,1.9983991464063775,2.994598020166224,3.9871982967154773,4.975004179173464,-0.020005334248784725,-0.16001064517414298,-0.5398557942161736,-1.2790605469277645,-2.496664861402988
0.030005499034276635,0.059983977135130394,0.08990843770237288,0.11975193278037169,0.1494875873255661,0.9995497336439563,1.996398680110816,2.987850105923868,3.9712153798964174,4.943818011505837,-0.030005499034276635,-0.23993590854052158,-0.8091759393213559,-1.916030924485947,-3.7371896831391527
0.040002661293535746,0.07994128418298528,0.11975193278037169,0.15937087606582342,0.19873468991160642,0.9991995732031888,1.9935991483577387,2.978411534922313,3.9488751286654016,4.900266633117369,-0.040002661293535746,-0.3197651367319411,-1.0777673950233453,-2.549934017053175,-4.968367247790161
0.049995820651867334,0.09986659445611952,0.1494875873255661,0.19873468991160642,0.24748472801983243,0.9987494269922493,1.9900016716693854,2.966290806903502,3.9202133064938955,4.844458972364586,-0.049995820651867334,-0.3994663778244781,-1.345388285930095,-3.1797550385857027,-6.187118200495811
0.059983977135130394,0.11975193278037169,0.17908862340832282,0.237780358614867,0.29561577068667416,0.998199340055408,1.9856076899482087,2.951498836979511,3.885275796762923,4.776534612355813,-0.059983977135130394,-0.47900773112148676,-1.6117976106749055,-3.804485737837872,-7.390394267166854
0.06996613126980096,0.13958933998049075,0.20852838432733767,0.27644537577654615,0.3430074351465436,0.9975493674375905,1.980418961900548,2.934048945803132,3.844118529310488,4.696663441833441,-0.06996613126980096,-0.558357359921963,-1.8767554589460391,-4.4231260124247385,-8.57518587866359
0.07994128418298528,0.15937087606582342,0.237780358614867,0.3146678443649731,0.38954118792670883,0.9967995741788693,1.9744375643327008,2.913956847572192,3.7968073908960958,4.605045230257376,-0.07994128418298528,-0.6374835042632937,-2.1400232275338027,-5.034685509839569,-9.73852969816772
0.08990843770237288,0.17908862340832282,0.2668182039111718,0.352386575803951,0.4351006413168175,0.9959500353079559,1.967665891319674,2.891240635878402,3.7434181197256953,4.50190912815245,-0.08990843770237288,-0.7163544936332913,-2.401363835200546,-5.638185212863216,-10.877516032920438
0.09986659445611952,0.19873468991160642,0.29561577068667416,0.38954118792670883,0.47957184447155454,0.9950008358346927,1.9601066532469478,2.8659207674134874,3.684036184205901,4.3875130939694955,-0.09986659445611952,-0.7949387596464257,-2.6605419361800675,-6.232659006827341,-11.989296111788864
0.10981475797265018,0.21830121216979478,0.3241471257904643,0.42607220163891024,0.5228435684183449,0.9939520707415465,1.9517628757256331,2.8380200435472664,3.618756646121586,4.262143248893599,-0.10981475797265018,-0.8732048486791791,-2.9173241321141785,-6.817155226222564,-13.071089210458622
0.11975193278037169,0.237780358614867,0.352386575803951,0.4619211361359754,0.5648075842572552,0.9928038449741043,1.9426378983814614,2.8075635897942712,3.547684008455882,4.126113161213237,-0.11975193278037169,-0.951121434459468,-3.171479182235559,-7.3907381781756065,-14.12018960643138
0.12967712450728558,0.25716433265127264,0.3803086901786258,0.4970306025222872,0.6053589338572755,0.9915562734305713,1.9327353735180879,2.7745788331874017,3.4709320480962047,3.9797630620401976,-0.12967712450728558,-1.0286573306050906,-3.422778211607632,-7.952489640356595,-15.133973346431887
0.13958933998049075,0.27644537577654615,0.40788832413710363,0.5313443956824109,0.6443961923719305,0.990209480950274,1.922059264655244,2.739095477578981,3.3886236336941136,3.8234589943418973,-0.13958933998049075,-1.1057815031061846,-3.6709949172339327,-8.501510330918574,-16.10990480929826
0.1494875873255661,0.29561577068667416,0.4351006413168175,0.5648075842572552,0.68182172191763,0.9887636023011674,1.9106138449423251,2.7011454768914698,3.3008905289705894,3.6575918974144654,-0.1494875873255661,-1.1824630827466966,-3.915905771851358,-9.036921348116083,-17.04554304794075
0.15937087606582342,0.3146678443649731,0.4619211361359754,0.597366598581136,0.7175419157802732,0.9872187821663504,1.8984036954480479,2.6607630063419117,3.2078731817816086,3.482576629086485,-0.15937087606582342,-1.2586713774598923,-4.157290225223779,-9.557865577298177,-17.93854789450683
0.1692382172214202,0.33359397115324047,0.48832565586163834,0.6289693164389685,0.7514674325393071,0.9855751751295867,1.8854337033268616,2.61798443166603,3.109720499281688,3.298850928098987,-0.1692382172214202,-1.3343758846129619,-4.394930902754745,-10.063509063023496,-18.786685813482677
0.17908862340832282,0.352386575803951,0.5142904223600463,0.6595651465063013,0.7835134195236664,0.983832945659837,1.8717090598628476,2.5728482763696983,3.0065896095453306,3.106874319256941,-0.17908862340832282,-1.409546303215804,-4.628613801240417,-10.55304234410082,-19.58783548809166
0.18892110893710995,0.37103813651227535,0.5397920535096058,0.6891051093386213,0.8135997250406921,0.9819922680948016,1.8572352583918905,2.5253951870372577,2.8986456100279847,2.9071269640906214,-0.18892110893710995,-1.4841525460491014,-4.858128481586452,-11.025681749417942,-20.3399931260173
