results1,results2,results3,results4,results5,results6,results7,results8,results9
1.5707963267949,1.5707963267949,1.5707963267949,0,0,0,-7.00714285714286,7.00714285714286,1.40142857142857
1.5704459696466,1.57114664384439,1.57086643835694,-0.070071429136034,0.0700553895602618,0.0140303288536469,-7.00714303144474,7.00233117043902,1.4062415062287
1.56939489817685,1.57219711383184,1.57107725438319,-0.140142868547297,0.140014549715105,0.0281569607402568,-7.00714563727305,6.98789753123382,1.42069385162679
1.56764311209427,1.57394629339359,1.57143022031855,-0.2102143695868,0.209781280404677,0.0424764651873059,-7.0071568580709,6.96384621069189,1.44482610772556
1.56519061009217,1.57639177753865,1.57192775070226,-0.280286068196501,0.279259439399622,0.0570859757385488,-7.00718678136518,6.93018435534534,1.47870536495332
1.5620373891707,1.57953020004396,1.57257323364155,-0.350358214699757,0.348352966358067,0.0720833891869395,-7.00724906986993,6.88692203073142,1.52242468635056
1.5581834431639,1.58335723471786,1.57337104003867,-0.420431211843698,0.416965918170025,0.0875676454784846,-7.00736049801166,6.83407228082835,1.57610224187893
1.55362876028165,1.58786759713409,1.57432654241502,-0.490505651008059,0.485002506255912,0.103639077381732,-7.00754035110578,6.77165120704542,1.63988018907068
1.54837332255963,1.59305504505428,1.57544611984756,-0.560582317225173,0.552367106596113,0.120399481911385,-7.00780968406252,6.69967807059466,1.71392329159798
1.54241710317657,1.59891238093284,1.5767371759276,-0.630662215473975,0.618964304796219,0.13795240070194,-7.00819043648435,6.61817540834055,1.79841728329089
1.53576006381043,1.60543145505416,1.57820815853508,-0.700746573077774,0.684698930539491,0.156403330481994,-7.00870440129267,6.52716918312605,1.8935669523308
1.52840215224395,1.61260316801048,1.57986859139679,-0.770836819678439,0.749476104758833,0.175859971539252,-7.00937204476654,6.42668899493488,1.99959391590564
1.5203433020982,1.62041747114023,1.58172907848048,-0.840934582652752,0.813201247566718,0.196432258124946,-7.01021117638288,6.31676828196672,2.11673414422775
1.5115834298895,1.6288633717959,1.58380133345856,-0.911041651561688,0.875780133960639,0.218232535320464,-7.0112354702184,6.19744460945782,2.24523514009484
1.50212243215858,1.63792893862402,1.5860982036098,-0.981159942422649,0.937118932248514,0.241375684319331,-7.01245284005265,6.06876000012774,2.38535281024069
1.49196018698389,1.64760130528075,1.58863371020224,-1.0512913703778,0.997124279046723,0.265979179007702,-7.01386367679884,5.93076149215086,2.53734784123951
1.48109655416721,1.65786667123117,1.59142305598414,-1.12143782803055,1.05570329439539,0.292163101542795,-7.01545895163676,5.78350159253152,2.70148189057807
1.46953137556605,1.66871030903425,1.59448265302474,-1.19160107334224,1.11276364849838,0.320050124807235,-7.01721820487402,5.62703897417402,2.87801326011426
1.45726447257236,1.68011657380732,1.59783015234988,-1.26178263018002,1.16821361523119,0.349765530902448,-7.01910743428538,5.46143926488136,3.06719219490431
1.44429565722018,1.69206890899151,1.6014844793222,-1.33198352465705,1.22196220599735,0.381436952890339,-7.02107692230908,5.2867763518182,3.26925538373064
1.43062473498311,1.70454984823073,1.60546584454949,-1.40220421280298,1.27391920882248,0.415194312824833,-7.02305900534676,5.10313346297787,3.48442037279489
1.41625151046217,1.71754102442378,1.6097957610041,-1.47244441369624,1.32399528163526,0.451169609399025,-7.02496584199059,4.91060461454828,3.71287933612025
1.40117578795748,1.73102318592993,1.61449707572378,-1.54270290661867,1.37210204236701,0.489496735840907,-7.02668721624452,4.70929633868912,3.9547922991131
1.38539739689266,1.74497620719544,1.61959398357017,-1.61297714729439,1.41815231359743,0.530310804054704,-7.02808847304172,4.49933018058698,4.21027933696781
1.36891620337527,1.75937909410279,1.62511203517288,-1.68326308722988,1.46206023886196,0.573747838200018,-7.02900857528676,4.28084495507401,4.47941273060273
1.35173211931129,1.77420999301395,1.63107813744574,-1.75355502990762,1.5037413921489,0.619944468365516,-7.02925836382795,4.05399910612009,4.76220877955152
1.33384511436876,1.78944621947954,1.63752057531572,-1.82384526058736,1.54311299167144,0.669037306531404,-7.02861914658892,3.81897391203595,5.05861863939598
1.3152552496182,1.80506427699148,1.64446899302112,-1.89412368198305,1.58009423913785,0.721161984432109,-7.02684171144585,3.57597704901612,5.36851866312181
1.29596271558588,1.82103987563567,1.65195437120921,-1.96437742418781,1.61460669539854,0.776452114134989,-7.02364584090962,3.32524650737129,5.69170032629611
1.27596783684482,1.83734793627588,1.66000902171056,-2.03459080260795,1.64657433347633,0.835039141535176,-7.01872020932494,3.06705346241021,6.02786101641271
1.25527110819036,1.85396263822332,1.66866655599361,-2.10474486479523,1.67592401741502,0.89705098256083,-7.01172312469243,2.8017065827799,6.37659370162493
1.23387321459752,1.87085744634439,1.67796187040207,-2.17481713403239,1.70258576988604,0.962611245731101,-7.00228388222105,2.52955565841932,6.73737731833811
1.21177511378023,1.88800516394089,1.68793101943604,-2.24478114924065,1.7264936310264,1.03183692719233,-6.99000528482468,2.25099610670524,7.10956693921845
1.18897804842482,1.90537794178664,1.6986111980287,-2.31460638434633,1.74758579072256,1.10483805271024,-6.97446660354149,1.96647153256989,7.49238584598826
1.16548357215442,1.92294731529287,1.71004068613816,-2.38425812050265,1.76580492607599,1.18171674280239,-6.95522750822489,1.67647597349953,7.88491859724829
1.14129360142162,1.94068428602708,1.72225875589971,-2.4536970765846,1.78109893328679,1.26256518690192,-6.93183322474343,1.38155651743617,8.28610487821458
1.11641047867494,1.95855937588129,1.73530551394339,-2.52287939037329,1.79342155357912,1.34746392658927,-6.90382051104844,1.08231374648879,8.69473627448971
