t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
2011.9999999999998,1870.7049999999997,1739.2199999999998,1617.5449999999998,1505.6799999999998,1403.6249999999998,1311.3799999999999,1228.945,1156.32,1093.505,1040.5,997.3050000000001,963.9200000000001,940.345,926.58,922.625,928.48,944.145,969.62,1004.905
-5780015.946669463,-5197525.566266174,-4619925.47786862,-4050098.1866281624,-3491432.525908751,-2947967.289699692,-2424505.22982051,-1926680.2719574154,-1460955.0221721055,-1034519.6620989862,-655057.999006569,-330342.9283055343,-67623.44954840987,127229.40784101773,250837.63532056697,303689.5982788714,291734.72058072354,228115.44780796964,134893.14094338557,44556.11077180775
-4590074.766954864,-4286120.094049353,-3970512.000498806,-3638387.1943768654,-3286119.1481455327,-2911852.4636784066,-2516095.937851877,-2102328.7885622643,-1677532.8894346955,-1252517.602002867,-841861.144024713,-463267.2015778101,-136146.9912887102,120692.27165670966,292221.44132549106,370957.4305046396,360748.27728316764,279674.44576317223,160926.54781606584,50506.13109204445
-1097531.6181121778,-1166418.167719207,-1223455.6687923484,-1262365.7928404517,-1276666.098158593,-1259977.644300163,-1206637.823913667,-1112644.6093569058,-976885.392522089,-802490.2971272172,-598005.1120512746,-377935.3643488727,-162132.58678568437,26437.193639197383,165698.9791249842,239830.88065462228,244801.4105214162,192192.38773773776,109165.35215854649,33061.467491575124
4600.435640374528,-51198.71890953729,-106611.8717253851,-160788.80129854573,-212115.89682570123,-258046.48350199527,-295064.04549158824,-318870.41246414935,-324897.2361332629,-309205.5707191061,-269743.1604460951,-207762.52131956167,-128987.33450265991,-43923.6812281152,33324.414323873505,88105.74020111474,109839.52559972205,96921.16906818388,59727.34710010314,19332.584854226552
-171433.14056396994,-152649.0748413598,-133724.48666182288,-114945.68481521492,-97002.29049503653,-81045.05535774937,-68599.4749344353,-61239.16185874444,-59960.17512375297,-64327.25525013181,-71692.8862446684,-77042.88838885579,-74097.9892012396,-57928.44701633306,-28382.40704793505,7595.617704966577,37237.500154681315,48028.384514413854,36430.82385695144,13412.04788115909
-198253.56778857423,-188748.1687709153,-175587.37810544338,-157330.54971261616,-133228.46862719793,-103740.19156051088,-71060.84021467868,-39348.96397256263,-14214.415851537116,-1113.9680308005359,-2781.215927727527,-16681.43566366829,-34294.041562452076,-43909.75286433657,-36830.780918283876,-13809.363259325099,13479.909639019535,29218.55477911608,25408.320829454497,9660.682140170502
-87385.83258828432,-97503.7329914549,-104358.69496867637,-106113.21829770139,-101016.95852612745,-87965.45799488711,-67342.97548738532,-41854.9037558114,-16750.428656012133,1278.1058786198973,6797.543821626359,-927.1107287900413,-15959.417729153776,-27609.483394455587,-26569.049866585523,-11780.194631698896,7753.26385057692,19284.59820769367,16746.418598611075,6133.458294262084
-28196.86921474301,-38977.99711849419,-48244.36553668137,-54828.885491812085,-57310.92368801054,-54368.062875781565,-45454.89386343826,-31634.63286585819,-16071.499664143284,-3495.456013329106,1741.121877504606,-1614.3324778742879,-10047.866942426253,-16635.272559852747,-15477.65463488455,-6265.853487285637,5125.639857967405,11261.766663901592,9320.26353020273,3233.2369394172165
-18927.820371475325,-24236.659495347685,-28819.76574588702,-32059.192626627282,-33177.44655297788,-31456.77107581717,-26650.598418509682,-19448.705765749724,-11664.141715691712,-5758.87947653935,-3643.160518227636,-5344.13776690319,-8624.570418604619,-10233.231278275021,-8154.428662881091,-3110.7372243239265,2027.0811622883512,4485.790367012127,3613.0434591154126,1128.0910499488193
