t1,t2
69.62,104.905
69.44109139753674,104.85772488605957
69.2515911057824,104.7659646201285
69.05182369592885,104.62976075583629
68.84212183786221,104.44918015576681
68.6228250428537,104.22431490234214
68.39427839200323,103.95528216844883
68.15683125751771,103.64222404841516
67.91083602388571,103.28530735013965
67.65664681593773,102.8847233493558
67.39461824065435,102.44068750719602
67.12510414940677,101.95343915238577
66.84845642708734,101.42324112955792
66.56502381431477,100.8503794153238
66.27515076858145,100.23516270387272
65.97917636985493,99.57792196399281
65.67743327575276,98.87900996951386
65.37024673098739,98.1388008052656
65.05793363532575,97.35768935072275
64.74080167383599,96.53609074357038
64.41914851270144,95.67443982547002
64.09326106337896,94.7731905723377
63.76341481736483,93.8328155114606
63.42987325331672,92.85380512777881
63.09288731776484,91.83666726164353
62.752694980136894,90.7819265003332
62.40952086232269,89.69012356556559
62.06357594251982,88.56181469918636
61.715057332636064,87.3975710491451
61.364148128078874,86.1979780577889
61.01101732834388,84.96363485441131
60.655819826421364,83.6951536538927
60.298696464679296,82.39315916315874
59.93977415455125,81.05828799706498
59.57916605706317,79.69118810519237
59.21697182097233,78.2925182109091
58.85327787506826,76.86294726392086
58.48815777099809,75.40315390739583
58.12167257282785,73.91382596061261
57.75387128943707,72.39565991794115
57.38479134576536,70.84936046482838
57.01445908888524,69.27564001132362
56.64289032486549,67.67521824354502
56.270090882409804,66.04882169335623
55.896057199307194,64.39718332639644
55.52077692780954,62.72104214848441
55.14422955515656,61.02114283030005
54.76638703559695,59.29823535013704
54.38721443040335,57.55307465441558
54.00667055254661,55.78642033554699
53.62470861287772,53.9990363266531
53.241276864862115,52.191690612560066
52.856319245117746,50.36515495641281
52.46977600722227,48.52020464118959
52.08158434647484,46.65761822533772
51.69167901351959,44.77817731170081
51.29999291496071,42.88266632886571
50.906457699319915,40.97187232402157
50.511004326902864,39.04658476639659
50.11356362235251,37.10759536031727
49.71406680886922,35.15569786692168
49.312446023271,33.19168793355153
48.90863481124943,31.216362929847296
48.50256860234635,29.230521789575636
48.09418516433351,27.23496485722948
47.68342503681943,25.23049373845655
47.27023194403499,23.217911153392578
46.854553186861736,21.198020791999905
46.43634001426229,19.171627170540376
46.015547974353076,17.1395354883429
45.59213724542295,15.102551484060541
45.16607294725043,13.061481290648707
