q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qd10,qd11,qd12,qd13,qd14,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8,qdd9,qdd10,qdd11,qdd12,qdd13,qdd14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.010001500195296989,0.02000199991544786,0.030000498785386527,0.03999599663019698,0.049987493575163265,0.059973990145789476,0.0699544873677797,0.07992798686696792,0.08989349096918785,0.09985000280007283,0.10979652638477566,0.11973206674759847,0.12965563001152255,0.1395662234976285,0.9999499837461089,1.9995998799753738,2.998649651201963,3.9967993599950593,4.9937492189888575,5.9891996408715364,6.982851288346219,7.974405124056917,8.963562460472463,9.950025009721461,10.933494933371229,11.913674892143826,12.890268095562142,13.862978351519113,-0.010001500195296989,-0.08000799966179144,-0.27000448906847874,-0.6399359460831516,-1.2496873393790817,-2.159063645248421,-3.4277698810212054,-5.115391159485947,-7.281372768504216,-9.985000280007284,-13.285379692557855,-17.241417611654178,-21.91180147194731,-27.354979805535187
0.02000199991544786,0.03999599663019698,0.059973990145789476,0.07992798686696792,0.09985000280007283,0.11973206674759847,0.1395662234976285,0.15934453700687573,0.1790590935760517,0.1987020050162965,0.2182654118054009,0.23774148623255875,0.25712243553039055,0.27640050499298596,0.9997999399876869,1.9983996799975297,2.9945998204357682,3.9872025620284584,4.9750125048607305,5.956837446071913,6.931489175759556,7.897784270646301,8.854544885064707,9.80059953881651,10.73478390146442,11.655941572616367,12.562924857764195,13.45459553924108,-0.02000199991544786,-0.1599839865207879,-0.5397659113121053,-1.2788477898714867,-2.496250070001821,-4.3103544029135445,-6.838744951383797,-10.198050368440047,-14.503786579660188,-19.87020050162965,-26.41011482845351,-34.23477401748846,-43.453691604636,-54.17449897862525
0.030000498785386527,0.059973990145789476,0.08989349096918785,0.11973206674759847,0.1494628558243963,0.1790590935760517,0.20849413650651505,0.23774148623255875,0.26677481333848396,0.295567981078717,0.32409506890695805,0.35233039581070025,0.38024854343011244,0.4078243789404737,0.9995498837339876,1.996399880290512,2.9878541534908214,3.971224964047942,4.943836705254371,5.9030299233764705,6.846165317685348,7.770627715077578,8.673830014268528,9.553217094576315,10.406269684355363,11.230508184185346,12.023496439973606,12.782845461187275,-0.030000498785386527,-0.2398959605831579,-0.8090414187226906,-1.9157130679615755,-3.7365713956099076,-6.446127368737861,-10.216212688819237,-15.21545511888376,-21.6087598804172,-29.5567981078717,-39.21550333774192,-50.73557699674083,-64.262003839689,-79.93357827233284
0.03999599663019698,0.07992798686696792,0.11973206674759847,0.15934453700687573,0.1987020050162965,0.23774148623255875,0.27640050499298596,0.3146171944965801,0.35233039581070025,0.3894797557449262,0.4260058234354763,0.46185014548561387,0.4969553595097869,0.5312652859318016,0.9991998399987648,1.9936012810142292,2.9784187230359565,3.9488921353231503,4.900299769408255,5.8279707863081835,6.72729776962054,7.593749096417031,8.42288113813901,9.210350264050074,9.951924620207214,10.643495657374418,11.281089381819923,11.860877303509426,-0.03999599663019698,-0.3197119474678717,-1.0775886007283861,-2.5495125921100117,-4.967550125407413,-8.558693504372116,-13.543624744656313,-20.135500447781126,-28.53876206066672,-38.947975574492624,-51.546704635692635,-66.5064209499284,-83.98545575715399,-104.1279960426331
0.049987493575163265,0.09985000280007283,0.1494628558243963,0.1987020050162965,0.24744433712026395,0.295567981078717,0.34295261274771865,0.3894797557449262,0.43503307767755994,0.47949868100972726,0.5227653878418453,0.5647250178901216,0.6052726589710601,0.6443069293146945,0.9987498437977715,1.990005001944292,2.9663020231526227,3.9202398155266036,4.844510553263129,5.731930256745788,6.575468938795632,7.368280211240059,8.103730247696896,8.775426000542264,9.377242572431534,9.903349645465228,10.348236874127657,10.706738151466373,-0.049987493575163265,-0.39940001120029134,-1.3451657024195667,-3.179232080260744,-6.186108428006599,-10.640447318833813,-16.804678024638214,-24.926704367675278,-35.23767929188236,-47.94986810097272,-63.254611928863284,-81.32040257617751,-102.29107936610916,-126.28415814568011
0.059973990145789476,0.11973206674759847,0.1790590935760517,0.23774148623255875,0.295567981078717,0.35233039581070025,0.4078243789404737,0.46185014548561387,0.5142131962191614,0.5647250178901216,0.6132037618937346,0.659474898948222,0.7033718474210932,0.7447365730429648,0.998199940145256,1.985612482023971,2.9515149616882352,3.885313857538789,4.776608547288157,5.615254092092673,6.3914227305936375,7.095663771582945,7.718961581427907,8.252791371221024,8.68917249882427,9.020719012509007,9.240687175701225,9.343019726370873,-0.059973990145789476,-0.47892826699039387,-1.6115318421844653,-3.80386377972094,-7.389199526967925,-12.683894249185208,-19.98339456808321,-29.558409311079288,-41.651268893752075,-56.47250178901216,-74.19765518914188,-94.96438544854396,-118.86984221416475,-145.9683683164211
0.0699544873677797,0.1395662234976285,0.20849413650651502,0.27640050499298596,0.34295261274771865,0.40782437894047363,0.4706979557961336,0.5312652859318016,0.5892296117245815,0.6443069293146945,0.69622738011985,0.7447365730429647,0.7895968308948969,0.8305883549251843,0.9975501840494598,1.9804254787884445,2.934070850436578,3.84417015406888,4.696763527711166,5.478362340508832,6.176060903687537,6.777644173433957,7.271690700106737,7.647670108190266,7.896034425947334,8.008302622603606,7.97713775387415,7.796416163461549,-0.0699544873677797,-0.558264893990514,-1.876447228558635,-4.422408079887775,-8.573815318692967,-14.68167764185705,-23.064199834010548,-34.0009782996353,-47.7275985496911,-64.43069293146945,-84.24351299450184,-107.24206651818692,-133.44186442123757,-162.79531756533612
0.07992798686696792,0.15934453700687573,0.23774148623255875,0.3146171944965801,0.3894797557449262,0.46185014548561387,0.5312652859318016,0.5972810091064166,0.659474898948222,0.717448994233488,0.7708323350180297,0.8192833363056458,0.862491973754517,0.9001817674358501,0.9968006405071146,1.9744460676615752,2.9139853931540918,3.7968745482085153,4.605175132025037,5.321747828687209,5.930438651754713,6.4162563348336175,6.765539259381756,6.966110397297451,7.007418844779359,6.880666634758016,6.578919637016958,6.09720148698643,-0.07992798686696792,-0.6373781480275029,-2.139673376093029,-5.033875111945282,-9.736993893623156,-16.6266052374821,-26.031999010658275,-38.22598458281066,-53.41746681480598,-71.7448994233488,-93.2707125371816,-117.976800428013,-145.7611435645134,-176.43562641742662
0.08989349096918785,0.1790590935760517,0.266774813338484,0.35233039581070025,0.43503307767755994,0.5142131962191615,0.5892296117245817,0.659474898948222,0.7243802655723415,0.783420157849848,0.836116516134394,0.8820426458397682,0.9208266724845294,0.9521545528455875,0.9959513844969404,1.9676766411254902,2.8912766714228426,3.743502728061782,4.502072359831609,5.145974387618605,5.6557594334163515,6.013812675006005,6.204605684392591,6.214924426527802,6.034070744126334,5.654034932017779,5.069637307711537,4.278637010673165,-0.08989349096918785,-0.7162363743042068,-2.400973320046356,-5.637286332971204,-10.875826941938998,-18.511675063889815,-28.872250974504503,-42.20639353268621,-58.67480151135966,-78.3420157849848,-101.17009845226167,-127.01414100092663,-155.61970764988547,-186.62229235773515
0.09985000280007283,0.1987020050162965,0.295567981078717,0.3894797557449262,0.47949868100972726,0.5647250178901216,0.6443069293146945,0.717448994233488,0.783420157849848,0.8415610385116963,0.8912905182298607,0.9321115509512468,0.9636161305331722,0.9854893687639696,0.995002500972146,1.9601199077633018,2.865965128372894,3.6841401056200294,4.387713000271132,4.951674822732614,5.353369075733187,5.572888317837961,5.593431983875022,5.401620298198636,4.98775968404043,4.346055700056045,3.4747702158546727,2.376320263437939,-0.09985000280007283,-0.794808020065186,-2.660111829708453,-6.231676091918819,-11.98746702524318,-20.33010064404438,-31.571039536420027,-45.91673563094323,-63.45703278583768,-84.15610385116963,-107.84615270581315,-134.22406333697953,-162.8511260601061,-193.15591627773804
0.10979652638477566,0.2182654118054009,0.32409506890695805,0.4260058234354763,0.5227653878418453,0.6132037618937346,0.69622738011985,0.7708323350180297,0.8361165161343939,0.8912905182298607,0.935687186634333,0.96876968436775,0.9901379834817466,0.9995337021297193,0.9939540848519298,1.951778891175349,2.8380735502787355,3.6188816800753503,4.262382987468879,4.739548635722329,5.024749180148303,5.096304614384988,4.936966972467002,4.5343269854913,3.8811374802971805,2.9755475135849285,1.8212426388793959,0.4274881848005977,-0.10979652638477566,-0.8730616472216036,-2.9168556201626226,-6.816093174967621,-13.069134696046133,-22.075335428174444,-34.115141625872646,-49.3332694411539,-67.7254378068859,-89.12905182298607,-113.2181495827543,-139.502834548956,-167.3333192084152,-195.90860561742497
0.11973206674759847,0.23774148623255875,0.35233039581070025,0.46185014548561387,0.5647250178901216,0.659474898948222,0.7447365730429648,0.8192833363056458,0.8820426458397681,0.9321115509512468,0.96876968436775,0.9914896265357803,0.9999444938789808,0.9940126418414661,0.9928062410119854,1.9426569287693944,2.8076270460463366,3.5478318857914726,4.126395685610512,4.510359506254503,4.671509863185436,4.587111089838677,4.240526199013336,3.621713083380037,2.7275852207861844,1.562228583773578,0.1369691506413989,-1.5297117703778185,-0.11973206674759847,-0.950965944930235,-3.170973562296302,-7.389602327769822,-14.11812544725304,-23.74109636213599,-36.49209207910528,-52.43413352356133,-71.44545431302122,-93.21115509512468,-117.22113180849774,-142.77450622115236,-168.99061946554775,-194.82647780092736
0.12965563001152255,0.25712243553039055,0.38024854343011244,0.4969553595097869,0.6052726589710601,0.7033718474210932,0.789596830894897,0.862491973754517,0.9208266724845293,0.9636161305331722,0.9901379834817466,0.9999444938789808,0.9928701098692164,0.969034260010933,0.991559084274011,1.9327576704252607,2.7746530246092935,3.471104425175361,3.9800911054337145,4.264932542631335,4.295381867470695,4.048565930471974,3.5097489053387583,2.672900166042056,1.5410514636671788,0.12643306213052205,-1.549616627711844,-3.456968350059405,-0.12965563001152255,-1.0284897421215622,-3.422236890871012,-7.951285752156591,-15.131816474276501,-25.321386507159353,-38.69024471384995,-55.19948632028909,-74.58696047124687,-96.36161305331721,-119.80669600129134,-143.99200711857324,-167.79504856789757,-189.93071496214287
0.1395662234976285,0.27640050499298596,0.40782437894047363,0.5312652859318016,0.6443069293146945,0.7447365730429647,0.8305883549251843,0.9001817674358501,0.9521545528455874,0.9854893687639696,0.9995337021297193,0.9940126418414662,0.9690342600109331,0.9250874965030921,0.9902127393942223,1.92208507703444,2.739181170254416,3.3888220867169787,3.823835054095133,4.004151311301803,3.8982080817307745,3.4841151354208173,2.7505523640041796,1.697371616741385,0.3358835737718982,-1.3111815174666988,-3.210042039340873,-5.316556429445073,-0.1395662234976285,-1.1056020199719439,-3.6704194104642625,-8.500244574908825,-16.107673232867363,-26.81051662954673,-40.69882939133403,-57.611633115894406,-77.12451878049258,-98.54893687639697,-120.94357795769604,-143.13782042517113,-163.7667899418477,-181.31714931460604
0.1494628558243963,0.295567981078717,0.43503307767755994,0.5647250178901216,0.6817302310506859,0.783420157849848,0.8675103017550146,0.9321115509512468,0.9757726178387267,0.9975126426700505,0.9968432288762664,0.9737794150510574,0.9288393371039527,0.8630325881724066,0.9887673410508742,1.9106434189152628,2.7012434158989658,3.3011165484884093,3.6580182205382004,3.7289546559166817,3.481934511316554,2.8973704667040296,1.9690839647838327,0.7048778414315703,-0.8733457632966982,-2.7299314494115356,-4.816276062307988,-7.072075462230144,-0.1494628558243963,-1.182271924314868,-3.9152976990980397,-9.035600286241946,-17.043255776267145,-28.20312568259453,-42.508004785995716,-59.65513926087979,-79.03758204493687,-99.75126426700504,-120.61803069402823,-140.22423576735227,-156.97384797056802,-169.15438728179168
0.15934453700687573,0.3146171944965801,0.46185014548561387,0.5972810091064166,0.717448994233488,0.8192833363056458,0.9001817674358501,0.9580770145887152,0.9914896265357803,0.9995657796520999,0.982099096467385,0.9395359194219144,0.8729639050620165,0.7840842301382769,0.9872230338307876,1.8984372741042577,2.6608739143436044,3.2081281674168087,3.4830551986487257,3.440333317379008,3.048600743493215,2.2920863385731307,1.1716714378301836,-0.29466118653286694,-2.072014751605658,-4.109404443554634,-6.341202524565023,-8.689162003870067,-0.15934453700687573,-1.2584687779863204,-4.156651309370525,-9.556496145702665,-17.9362248558372,-29.49420010700325,-44.108906604356655,-61.31692893367777,-80.31065974939821,-99.95657796520999,-118.83399067255358,-135.29317239675566,-147.53089995548078,-153.68050910710227
0.16921027855571694,0.33354052327483347,0.4882514407677812,0.628881159576743,0.7513739107964428,0.8521969966747546,0.928442673812186,0.9779120126431042,0.9991783146866029,0.9916282586099745,0.9554795884500272,0.8917748338629639,0.8023512435111627,0.6897877987096591,0.9855799722148866,1.8854715265243867,2.618109007526935,3.110005754668402,3.2993834506406614,3.1393263670582296,2.6003299542133984,1.672135794070578,0.3647716165811542,-1.2912550765108155,-3.2456292891671046,-5.429753307395318,-7.759077874599492,-10.136162359554598,-0.16921027855571694,-1.3341620930993339,-4.394262966910031,-10.062098553227887,-18.78434776991107,-30.679091880291164,-45.493691016797115,-62.58636880915867,-80.93344348961483,-99.16282586099744,-115.61303020245329,-128.4155760762668,-135.5973601533865,-135.19840854709318
