q1,q2,q3,q4,q5,q6,q7,q8,q9,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8,qdd9
0.5457363043419036,0.9146070816724987,0.9870664562408218,0.7396313550536094,0.25249204440686684,-0.31647641732420456,-0.7828792848454351,-0.9955618918694403,-0.8855967709029229,0.8379569715225486,0.8086875444929648,-0.48093481749367367,-2.6920489107638783,-4.837994851979591,-5.69160226842977,-4.35521540714522,-0.7528726620550168,4.180094150694645,-0.5457363043419036,-3.658428326689995,-8.883598106167396,-11.834101680857751,-6.3123011101716715,11.393151023671365,38.36108495742632,63.71596107964418,71.73333844313676
0.5540898354706864,0.9225117894667685,0.9818127334372073,0.7121217368368097,0.20380854259550069,-0.37279809055718705,-0.824485211997965,-0.9998986810105877,-0.8402598572216605,0.8324568782994515,0.7719378169122708,-0.569555798974107,-2.808224013641435,-4.895053824946918,-5.567474922473289,-3.961184497677035,-0.11387788920758925,4.8796550246598995,-0.5540898354706864,-3.690047157867074,-8.836314600934866,-11.393947789388955,-5.095213564887517,13.420731260058734,40.399775387900284,63.99351558467761,68.0610484349545
0.5623879396036845,0.9300473818211132,0.9756751508705989,0.6834724959603752,0.15461545575697602,-0.4277776460366685,-0.8620514651037876,-0.997837399477701,-0.7881191653713313,0.8268735123272014,0.7348792215532901,-0.6576640477954585,-2.919905059458461,-4.939873634115205,-5.42330400031639,-3.5477452422782907,0.5258455562511175,5.539704204659856,-0.5623879396036845,-3.720189527284453,-8.78107635783539,-10.935559935366003,-3.8653863939244006,15.399995257320066,42.240521790085594,63.861593566572864,63.83765239507784
0.5706297866607376,0.9372108435941404,0.9686592337924885,0.6537294803775174,0.10503578197652953,-0.4812171507813752,-0.8953939833508173,-0.9893912368320654,-0.7295968905786397,0.8212074321238947,0.6975265863020843,-0.7451802460458414,-3.0269133228035217,-4.972342215959645,-5.259608534537413,-3.116923341113583,1.1622042637654577,6.154897120009108,-0.5706297866607376,-3.7488433743765617,-8.717933104132397,-10.459671686040279,-2.625894549413238,17.32381742812951,43.87430518419005,63.32103915725219,59.09734813686982
0.5788145521892158,0.9439993085413488,0.9607712981596721,0.6229402884310071,0.05519348592749549,-0.5329242161770107,-0.9243494006730101,-0.9746142376949584,-0.6651669012216286,0.8154592044817432,0.65989485669599,-0.8320256087965117,-3.1290775562123576,-4.992378388882325,-5.076977848409059,-2.670829662913175,1.7911263527918992,6.720252411558401,-0.5788145521892158,-3.7759972341653953,-8.64694168343705,-9.967044614896114,-1.3798371481873872,19.185271782372386,45.29312063297749,62.375311212477335,53.87851899895192
0.5869414174464977,0.9504100604619767,0.9520184449484167,0.5911541926805762,0.0052131889209234,-0.5827126905983242,-0.9487758461838983,-0.9536009559313111,-0.5953509018077621,0.8096294044103735,0.621999089943584,-0.9181219550266657,-3.2262342642187067,-4.99993205619155,-4.876069434264018,-2.21164990249437,2.408587527618819,7.231192266912245,-0.5869414174464977,-3.801640241847907,-8.568166004535751,-9.45846708288922,-0.130329723023085,20.97765686153967,46.49001646301102,61.03046117960391,48.22342304642873
0.5950095694818713,0.9564405342858079,0.9424085537619311,0.5584220610510546,-0.04478014268657446,-0.6304033295772464,-0.9685536392918522,-0.926485849626098,-0.520714208612256,0.8037186150793063,0.5838544488999924,-1.0033917780045385,-3.3182279649993722,-4.994984331359234,-4.657606586443855,-1.7416338716592883,3.0106368277038764,7.6835794880312305,-0.5950095694818713,-3.8257621371432315,-8.48167698385738,-8.934752976816874,1.1195035671643614,22.694519864780872,47.45912832530076,59.295094376070274,42.17785089759274
0.6030182012178553,0.9620883170995072,0.9319502757368906,0.5247962754274125,-0.09466150994781139,-0.6758244411044312,-0.9835858760908374,-0.8934424207248356,-0.4418611721814986,0.7977274277596216,0.5454761959999288,-1.0877583150614853,-3.4049114391948945,-4.977547585243159,-4.422375797352798,-1.2630844759462367,3.5934219087602473,8.073750991081516,-0.6030182012178553,-3.8483532683980286,-8.387552481632015,-8.3967404068386,2.3665377486952845,24.329679879759524,48.19570792845103,57.18031492638948,35.79075494670139
0.6109665115309387,0.9673511491120798,0.9206530257553969,0.4903306478269573,-0.1443061938615576,-0.7188125037410625,-0.9937989041538707,-0.8546821048433595,-0.35943028376685104,0.7916564417648071,0.5068796871508614,-1.1711456166962728,-3.48614596550769,-4.947665415155896,-4.171223925990809,-0.7783464312410733,4.153213692825542,8.398547467271573,-0.6109665115309387,-3.869404596448319,-8.285877231798572,-7.845290365231317,3.60765484653894,25.877250134678253,48.69614630353966,54.69965470997501,29.113852985114935
0.6188537053316971,0.9722269245590438,0.9085269739694103,0.4550803342829848,-0.19359006720869548,-0.7592127553155473,-0.9991426834028458,-0.8104529183508502,-0.274089005313999,0.7855062643908253,0.46808036558891614,-1.2534786149471713,-3.561801542700293,-4.905412535858051,-3.9050551491601615,-0.28979477553170263,4.6864302295821885,8.655338964503041,-0.6188537053316971,-3.888907698236175,-8.176742765724693,-7.281285348527756,4.839751680217387,27.331659191359705,48.957991486739445,51.86898677445441,22.201209430433916
0.6266789936443609,0.9767136925450112,0.8955830366452463,0.4191017465773285,-0.24238990490943974,-0.7968797500858896,-0.9995910312864922,-0.7610378713826169,-0.18652836486888183,0.7792775108553378,0.4290937556995644,-1.3346831909706194,-3.631757097639285,-4.850894592747798,-3.624827706320647,0.20017676790462874,5.189659616253324,8.842046182702658,-0.6266789936443609,-3.9068547701800447,-8.060247329807217,-6.705627945237256,6.059747622735993,28.687671003092028,48.97996053303812,48.70642376848748,15.108797554379429
0.634441593685716,0.9808096578242649,0.8818328663363522,0.3824524619635544,-0.2905836921241964,-0.8316778823618908,-0.9951417510652163,-0.7067531569378779,-0.09745736116422746,0.7729708042361813,0.38993545680611535,-1.4146862417656854,-3.6959006790508124,-4.78424789771462,-3.331550449811841,0.68916751886308,5.659681829408256,8.957157310394148,-0.634441593685716,-3.9232386312970595,-7.9364957970271695,-6.119239391416871,7.2645923031049096,29.94040376502807,48.7619458021956,45.232202044024184,7.894046254302424
