t1,t2,t3,t4,t5
148.10000000000002,168.67000000000002,194.145,224.525,259.81
228.03049308361454,210.80542740449118,206.04000404998766,217.51604751363493,248.46698072809374
305.70284917963716,251.54076032839686,217.0790927143375,209.86755892845278,236.4164871348081
379.40555244265215,290.01707416403076,226.99736988824085,201.63514770122208,223.8009075861503
447.57118963599345,325.44677136477037,235.55627453642217,192.88068760943727,210.7634208819353
508.8339582572475,357.1402232721124,242.55081764509134,183.67071366118304,197.44443141272654
562.076101025841,384.5274773996002,247.8153711606686,174.0747093479355,183.97816300525972
606.4610054701158,407.17404320241826,251.22777945724619,164.1633607078386,170.48954732248552
641.451666766122,424.79016646020773,252.7116627452457,154.0068560819336,157.09152588052427
666.8142264623273,437.23342415489606,252.23688505740628,143.67330399921994,143.88286150652314
682.6072810528569,444.50488359550286,249.81825952256256,133.2273310443521,130.9465271022824
689.1585224333393,446.7394397475022,245.51265369546286,122.7289078610482,118.34870890524914
687.030962882491,444.19124718378873,239.41473208715445,112.23243582047745,106.13843017021293
676.9814674854711,437.2153795333598,231.65162768608275,101.78611058954944,94.34777138129715
659.9145479066262,426.2469704638986,222.37686696917189,91.43156306107097,82.99263655954775
636.8343678028292,411.7791158344411,211.76388334479572,81.20376388687717,72.0739934049273
608.7976973392146,394.3407545954993,199.99944354330796,71.13116598133348,61.579498896229694
576.8701734871775,374.47561072795094,187.27728300522932,61.23605035268969,51.48541206730761
542.0877251696492,352.72308884304874,173.79220367702248,51.53503470158185,41.758691996025846
505.4244625509776,329.6017929663219,159.7348352640257,42.03970135820684,32.3591811611458
467.76776027709394,305.5961023479264,145.28720351057723,32.75730104476014,23.241781467087662
429.90073071447716,281.1460087440744,130.6191908296866,23.691491212562028,14.358541383218693
392.4918204506208,256.6402119727695,115.88591937277009,14.843071777218796,5.66058663079869
356.09089486813264,232.4122959045614,101.22603741253279,6.210686386860445,-2.9001575163335787
321.1309128399944,208.7396721283688,86.7608488085206,-2.2085366445779044,-11.36948810250398
287.9341369667153,185.84488573848836,72.59419352029195,-10.418423411578019,-19.789710647354113
256.72176584860404,163.8988256881436,58.81296496621704,-18.423287167726826,-28.198695320403573
227.62589883488351,143.02536670028786,45.4881371183897,-26.227562889374624,-36.62919636091718
200.70283193739314,123.30698459463568,32.676169649042066,-33.83554689433143,-45.108417725914705
175.94681624994996,104.79092481236236,20.420661908671732,-41.2512405663019,-53.65780013572099
153.30356811237175,87.49555741491615,8.754134541614803,-48.47829372936184,-62.29299930164062
