t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
878.9449999999999,806.3199999999999,743.505,690.5,647.305,613.92,590.345,576.5799999999999,572.625,578.48,594.145,619.62,654.905
-255250.40684507892,2431.588760366166,-17758.710498801924,-29362.539369751754,-33834.952025491424,-32746.17941913158,-27737.909294324254,-20476.703672037176,-12589.409066845283,-5561.679116576739,-577.473600232344,1724.7225433615179,1603.24701981795
-398923.2213804751,-68.66550929725979,-30615.570698758907,-49447.646280650806,-57528.54244851921,-56538.705089146795,-48690.11200279843,-36563.19948218932,-22928.26635040264,-10498.379861744548,-1556.3278206580287,2590.662210646342,2341.8220154780906
-395980.73852613074,-5068.406715946642,-34269.68732851136,-54771.354186169134,-65264.676707752325,-65962.35675855947,-58341.3905816239,-44879.40171953627,-28762.880585926006,-13483.67632242588,-2219.597222774141,3064.735708841214,2743.8729073193717
-295688.22416323016,-7668.847574497945,-29000.968874035785,-47367.56916160676,-59103.64983740138,-62428.15536167739,-57381.84557291377,-45610.10838634754,-30054.275805594476,-14464.786472869882,-2582.0232046535166,3094.8589090815326,2783.5506153944243
-174342.45043780588,-5438.934772553224,-18445.354400790868,-33356.99685427158,-45338.38687030431,-51157.45201684838,-49515.59431897899,-41018.21412492762,-27967.135584377873,-13910.362574912453,-2744.365783774765,2733.367336645464,2525.953565824778
-82451.0857934997,-131.21465404364136,-7257.492078403383,-18912.126023603465,-30316.263210497767,-37696.56393875772,-38967.6683217605,-33899.62104058056,-24056.04590417634,-12471.060357452381,-2812.1861910846537,2108.594395309033,2086.8817169020995
-32049.930876092563,5026.665812412448,1271.7451273525492,-7766.3590125442815,-17980.17106776828,-25755.19868880641,-28812.18880742148,-26460.33573489587,-19632.308508466944,-10708.794388318634,-2846.1280234351693,1376.882871259332,1586.0953579180405
-12330.733247101709,8104.940169228915,6091.899744356454,-943.1011822410571,-9631.062908371412,-16855.926673479382,-20562.07892817038,-19950.725693983703,-15517.111127701615,-8986.80407517164,-2858.9966745038473,676.1343616543384,1114.2444601629659
-8098.409916837989,8997.656982998593,7797.338782045702,2237.2640511388117,-4874.550730612218,-11005.711688026331,-14541.39112117267,-14818.53615335577,-12082.528711906445,-7482.1903889130035,-2838.050933133721,98.06832141239929,721.1468954248303
-8883.182274857365,8522.530563605951,7560.127772267693,3015.710875455821,-2669.312297645596,-7523.2597941557715,-10444.683714911265,-11028.476289590999,-9402.866968953958,-6245.790106779139,-2766.6139600729193,-316.1804580757199,421.3008576297732
-9915.748639175063,7504.105450324022,6385.551501277502,2495.904102389954,-1984.2694518326352,-5604.662048419157,-7763.93435095368,-8336.71956322782,-7399.203522890091,-5259.022844349972,-2633.3195295903047,-563.8710572741854,207.18408731438882
-9951.478946819347,6386.339021092849,4871.304967349225,1421.860710534691,-2048.733578014568,-4584.410651169926,-6019.8112759757205,-6459.693172276244,-5935.873988182179,-4470.227437720822,-2430.4975401363663,-663.0460226577884,61.88584026146087
-9150.227841174194,5260.133623028981,3292.4120153344365,232.00007614811818,-2362.798792839337,-3999.8806654320224,-4849.348006302668,-5152.402739582377,-4869.182275806148,-3811.4053761658874,-2148.8803211929635,-639.2597727084905,-33.49279998985269
-7914.311915497897,4064.052220711459,1788.8861005565075,-811.1671388123308,-2629.561233962474,-3572.716913631097,-4016.8871486858807,-4227.53040668058,-4060.6049726177034,-3203.2702908596593,-1777.4489078786728,-523.0278871267593,-98.50654780977932
-6485.213577023289,2795.3766588841463,506.1193618076601,-1536.9286027518879,-2701.6627053952784,-3173.061931593513,-3388.6719467518474,-3536.3848174254003,-3368.0059544679025,-2561.9573119850324,-1318.8163805972704,-360.6294896782688,-156.19455578203775
-4930.048506470415,1616.760900021141,-388.30982028818846,-1866.0066419868858,-2562.6286791806683,-2778.1566573603973,-2877.206847675546,-2921.517853460122,-2635.3587823643543,-1829.9254403969096,-829.3235342170058,-233.81746004567003,-235.5523541343872
-3310.1204435715845,781.6952625454423,-805.0494379259467,-1855.7290174015393,-2302.29934095545,-2390.633816996136,-2340.2319906357675,-2160.429127675481,-1722.9829140448835,-1057.3772187832346,-476.3852846768451,-269.3175806140108,-366.5970673901344
