t1,t2,t3
44.144999999999996,19.62,4.905
41.47798367891187,19.025870305895626,4.819409380553422
38.7916431141233,18.388952139660983,4.716157705418225
36.100054131114476,17.71093209301627,4.595374515814044
33.41713938802161,16.993750113191854,4.457294240367399
30.756527944016778,16.239585445011965,4.302253910526924
28.131420267755423,15.450839699910178,4.130689829730355
25.554460712612375,14.630117286157349,3.94313324847821
23.037619317094244,13.780203482825048,3.740205111978495
20.592084583080116,12.90404048183419,3.522609960166669
18.228168647196743,12.004701756857623,3.2911290714280454
15.95522599823973,11.085365144098017,3.046612951049729
13.781586613213392,10.149285037540746,2.7899732731469005
11.714504093687925,9.19976410994068,2.522174390433813
9.760119090238327,8.240124970558929,2.244224529684601
7.9234380130366375,7.2736821617926335,1.9571667920457136
6.208326748130723,6.303714879844911,1.6620700765629413
4.6175188378793735,5.333440780179972,1.3600200424612687
3.1526373459873795,4.365991197595829,1.0521102209978406
1.8142294172666311,3.4043880743591597,0.7394333812679921
0.6018123633152896,2.451522849119627,0.42307324638363464
-0.4860700396111781,1.5101375154509764,0.10409664719053668
-1.4517824636096464,0.5828080130653372,-0.21645380960834126
-2.2985256493518307,-0.32806993179019805,-0.5375664931450479
-3.030258267518164,-1.220292446384125,-0.8582668657337351
-3.651614558916563,-2.09185660631762,-1.1776229236006863
-4.167819262258007,-2.940967001733,-1.4947499306369014
-4.584601280982056,-3.766039830656023,-1.8088144265138408
-4.9081074573140455,-4.565704610487121,-2.1190375017797956
-5.144817716735616,-5.338803629580788,-2.4246973432179764
-5.301462723364928,-6.084389287079652,-2.7251310626348273
-5.3849450505861185,-6.8017194905035705,-3.019735831225338
-5.402264725838826,-7.490251296980704,-3.307969349627714
-5.360449857838788,-8.149632995524062,-3.589349690659949
-5.266492902473388,-8.779694834595986,-3.8634545574826467
-5.127292973701298,-9.380438601656675,-4.129920004541021
-4.949604461091127,-9.952026259831069,-4.388438672116207
-4.739992078835854,-10.494767841684837,-4.638757587696785
-4.50479234438777,-11.009108791849226,-4.880675588722331
-4.250081370009138,-11.495616939377012,-5.114040421624942
-3.981648748799337,-11.954969267756285,-5.338745571589855
-3.704977228959688,-12.387938635960841,-5.554726876170577
-3.4252277966044957,-12.795380588260942,-5.761958973932682
-3.147229728347522,-13.178220374216563,-5.960451636772772
-2.8754751298969836,-13.537440283750247,-6.150246031575209
-2.6141174453993834,-13.874067385831365,-6.331410953537327
-2.3669734034889522,-14.18916174343508,-6.504039069917913
-2.137527858949756,-14.48380516235813,-6.6682432092414965
-1.9289409924902436,-14.759090517421406,-6.824152727212205
-1.7440573441934468,-15.016111686760656,-6.97190997683597
-1.585416177538736,-15.255954113450167,-7.1116669065892815
-1.455262699292014,-15.479686003723419,-7.243581806965974
-1.355559694865196,-15.688350162613691,-7.367816222429338
-1.2879991778459683,-15.882956460959516,-7.4845320427330355
-1.25401369526314,-16.0644749223952,-7.593888784778043
-1.2547869758426415,-16.23382941513187,-7.696041073661203
-1.2912636561747775,-16.39189193095713,-7.791136329351627
-1.364157868609304,-16.539477432843736,-7.879312663503434
-1.4739605241620275,-16.67733925273728,-7.9606969892686354
-1.6209451731888045,-16.806165022346995,-8.035403345597436
-1.805172375564748,-16.926573121932588,-8.103531436384108
-2.0264925601709223,-17.03910963498673,-8.16516538391016
-2.2845474002565105,-17.14424580017006,-8.220372695323888
-2.578769776368606,-17.242375955665032,-8.26920344034601
-2.9083824416980377,-17.333815975073076,-8.311689637972314
-3.2723955455601903,-17.41880219788036,-8.347844849623371
-3.66960320898788,-17.497490861154827,-8.377663975935565
-4.09857938171643,-17.569958042312553,-8.401123254165762
-4.5576732418187245,-17.636200125314502,-8.418180452963586
-5.045004427500585,-17.6961348043505,-8.42877526102366
-5.558458414662175,-17.74960263978109,-8.432829865840397
-6.095682373305248,-17.796369180708528,-8.430249718428929
-6.654081850234707,-17.836127666935585,-8.420924479430324
-7.23081863426388,-17.868502320177303,-8.40472914147354
-7.822810162788894,-17.893052230189053,-8.38152532201178
-8.426730824666945,-17.90927583597642,-8.351162720081916
-9.039015503376017,-17.916615995517013,-8.313480729551998
-9.655865686073508,-17.914465629553554,-8.268310200427681
-10.273258438119765,-17.902173916160617,-8.215475338691435
-10.886958508721449,-17.879053003136228,-8.154795733961452
-11.492533791548517,-17.844385195058848,-8.086088502996072
-12.085374314630823,-17.797430561348946,-8.00917053575422
-12.66071487687564,-17.737434901183452,-7.923860829375785
-13.213661384707965,-17.66363799095226,-7.829982894093714
-13.73922087238576,-17.575282030454183,-7.727367213760255
