theta1,theta2,thetadot1,thetadot2,thetaddot1,thetaddot2
0.0,0.0,0.0,0.0,-16.384285714285717,28.885714285714286
-0.0008204186644708413,0.0014460826613877304,-0.1638753064171554,0.2888154681680509,-16.357685328521587,28.818603254627327
-0.0032782065468588127,0.0057742786992339154,-0.3274486723917959,0.5768399012115522,-16.32808634962635,28.741808760753
-0.0073710868451738396,0.012979138114735833,-0.4906854484051847,0.8639623193265096,-16.291659176703654,28.642873540459707
-0.013098457608941313,0.023060789864971322,-0.6535252878656403,1.1499942840437172,-16.242068638848327,28.50119112458463
-0.020455717816425856,0.03600628991133738,-0.8157936520498252,1.4343709288446669,-16.17061970043682,28.28845481801609
-0.02943422859372128,0.05178949361492964,-0.9772012423527282,1.7161490326382332,-16.066567826298783,27.969611438721884
-0.0400213132147506,0.0703710557365424,-1.1373440002876636,1.994007019760673,-15.917662223223006,27.504525637690598
-0.052200257101266,0.09169843043666853,-1.295703107486272,2.2662449599756243,-15.71098002529629,26.85053064829463
-0.06595030782284887,0.11570587127549968,-1.45164498569852,2.530784568474109,-15.43407933775507,25.965951765359844
-0.08124667509690986,0.14231443121292608,-1.604421296792701,2.78516920587453,-15.07644527488253,24.81452903534082
-0.09806634316154642,0.17145204374826986,-1.7532549465044698,3.0268667962284157,-14.630799011001892,23.369398935063547
-0.1163600926357122,0.20296189624196204,-1.8972182341661497,3.2527529737774823,-14.09570925077378,21.62128938374193
-0.13606019073165115,0.23662312440072375,-2.0353827865236482,3.459589585458355,-13.476832065238398,19.58248646119716
-0.15709836126719012,0.27220922281554105,-2.166998907987953,3.6446693526404217,-12.786348036178174,17.28522805098299
-0.17940578476213442,0.30948804528121526,-2.291495581624405,3.8058158747058837,-12.042080582082562,14.779261468089167
-0.20291309843826782,0.3482218047963629,-2.4084804691526984,3.9413836290497497,-11.265815565946154,12.127014760786517
-0.22755039621935247,0.38816707356341573,-2.5177399109468803,4.050257971079841,-10.481084329865636,9.397158041050119
-0.2532472287311291,0.42907478298862056,-2.61923892603535,4.131855134216785,-9.710773935991591,6.657631817935098
-0.27993260330131664,0.4706902236820395,-2.7131212121008605,4.186122229894025,-8.97494008388991,3.969250568046783
-0.30753498395961265,0.5127530454575501,-2.7997091454805183,4.213537247557808,-8.28912348567031,1.3807627351498966
-0.33598229143769326,0.5549972573328447,-2.8795037811657815,4.215109054667196,-7.663340814669348,-1.0741424380359
-0.3652019031692127,0.597151227529431,-2.9531848528024613,4.192377396694058,-7.101779948100701,-3.377815294457487
-0.3951206690786666,0.6389377806779075,-3.021609414569522,4.147411638836748,-6.6031162034280815,-5.527881268963002
-0.42567773673076575,0.6801179472952477,-3.085418251054166,4.082185877492922,-6.162294291138883,-7.531394584970809
-0.45684326334039954,0.7205241834825975,-3.1450415610047244,3.9978086719629293,-5.772022937495988,-9.40112359239126
-0.4885903712537265,0.759991398519878,-3.200962683545395,3.8952634134255075,-5.42291779241661,-11.155066569650623
-0.5208906016456134,0.798356299144187,-3.253550871619671,3.7754214350240893,-5.1044181225562495,-12.812972622751126
-0.5537139145196341,0.8354573895498001,-3.3030612919903377,3.6390420118668048,-4.805273153675114,-14.394813364244754
-0.5870286887080711,0.8711349713881693,-3.3496350252394738,3.48677236102648,-4.5139102261779716,-15.919652390501113
-0.6208017218719137,0.905231143767924,-3.3932990657684523,3.3191476415406385,-4.218701411177363,-17.40487059907791
-0.6549982305008599,0.9375898032548706,-3.433966321797938,3.136590954411502,-3.908149855407749,-18.865691312172043
-0.6895818499133146,0.9680566438719926,-3.47143561536789,2.9394133426059863,-3.5710177618686094,-20.31494702184855
-0.7245146342563912,0.9964791570994507,-3.50539168233756,2.7278137910557065,-3.196416215596823,-21.763034361512776
-0.7597570565059102,1.0227066318745826,-3.535405172385494,2.501879226656973,-2.7738742194227375,-23.218012016617507
-0.7952680084664003,1.046590154591903,-3.56093264900953,2.261584518270795,-2.2934010742575746,-24.685805374508185
-0.831004800771098,1.0679826091031037,-3.581316589526801,2.0067924767228758,-1.7455530465250548,-26.170490441268893
-0.8669231635345919,1.086738677040479,-3.595785396240979,1.7372538236437118,-1.12151221367332,-27.6746375404476
-0.9029868842455713,1.1027228553217694,-3.603704073730688,1.4519895015264586,-0.4112818504716364,-29.205386841718965
-0.9391277747944359,1.1157972322531475,-3.6042233888365605,1.150605914202484,0.39309631917249316,-30.766012713144505
-0.975247406776381,1.1258093242326,-3.5961952630957663,0.8334527393641694,1.2960318907099244,-32.35336986173249
-1.0112398479734013,1.132599704484176,-3.5784980802175475,0.5006588005169175,2.3007577244213446,-33.966014798947796
-1.0469916623542894,1.1360020030579876,-3.5500366860832195,0.15213206697916037,3.409386345695701,-35.60509364921958
-1.082381910074638,1.1358429068302092,-3.509742388746171,-0.21244034611765295,4.622987110810006,-37.275218375563306
-1.1172821474768373,1.1319421595030783,-3.456572958431863,-0.5935921778290463,5.941683895574746,-38.98532633249576
-1.1515564270900778,1.1241125616048948,-3.389512627537831,-0.9920780213975218,7.36477254207134,-40.74951600032411
-1.1850612976303472,1.1121599704900214,-3.3075720906336814,-1.408873324252558,8.890854016368948,-42.58784133073572
-1.2176458040004337,1.0958833003388837,-3.209788504461095,-1.845174388010609,10.517971322276278,-44.52702319328087
-1.249151487289923,1.0750745221579696,-3.095225487933826,-2.302398368475106,12.24372244387245,-46.60098985476969
-1.2794123847752008,1.0495186637798297,-2.9629731221377,-2.782183275636458,14.065292348975756,-48.8510732049502
