q1,q2,q3,qd1,qd2,qd3,qdd1,qdd2,qdd3
0.0,0.88,0.0,1.5,-0.0,1.0,-0.0,-3.52,-0.0
0.015012758353248069,0.8798236533614086,0.010009842843179184,1.499323698798776,-0.035232881561633324,0.9999499002681359,-0.13511482517923262,-3.519294613445634,-0.010009842843179184
0.03001197917781882,0.8792946841232181,0.020018682705473478,1.4972954050395237,-0.07045164221365009,0.9997996060925097,-0.27010781260036937,-3.5171787364928724,-0.020018682705473478
0.04498413715229748,0.8784133042898539,0.030025516706496138,1.4939169477055845,-0.10564216670592225,0.9995491325325173,-0.40485723437067733,-3.5136532171594155,-0.030025516706496138
0.059915731358786646,0.8771798671076135,0.04002934216684664,1.489191373269962,-0.14079035110503052,0.9991985046854751,-0.5392415822290798,-3.508719468430454,-0.04002934216684664
0.0747932974571556,0.8755948669230902,0.050029156708578625,1.4831229429482133,-0.17588210844694907,0.9987477576841054,-0.6731396771144004,-3.5023794676923607,-0.050029156708578625
0.08960341982630617,0.8736589389850444,0.06002395835563764,1.4757171288559594,-0.210903374382929,0.9981969366930158,-0.8064307784367555,-3.4946357559401777,-0.06002395835563764
0.10433274366150702,0.8713728591898046,0.07001274563425858,1.4669806090744895,-0.24584011281631798,0.9975460969041745,-0.9389946929535632,-3.4854914367592182,-0.07001274563425858
0.11896798701688749,0.8687375437702968,0.0799945176733128,1.4569212616289007,-0.28067832152805666,0.996795303531379,-1.0707118831519873,-3.474950175081187,-0.0799945176733128
0.13349595278223234,0.8657540489288296,0.08996827430459496,1.4455481573842068,-0.3154040377885977,0.995944631803723,-1.201463575040091,-3.4630161957153183,-0.08996827430459496
0.14790354058327695,0.8624235704137816,0.09993301616303925,1.4328715518658255,-0.3500033439539974,0.994994166958057,-1.3311318652494926,-3.4496942816551264,-0.09993301616303925
0.1621777585947726,0.8587474430403598,0.10988774478685526,1.4189028760118083,-0.384462373043938,0.993944004230449,-1.4595998273529533,-3.434989772161439,-0.10988774478685526
0.17630573525566892,0.8547271401556217,0.11983146271757329,1.4036547258651686,-0.41876731429944397,0.9927942488466414,-1.5867516173010203,-3.4189085606224867,-0.11983146271757329
0.19027473087585053,0.8503642730479759,0.12976317359998926,1.3871408512155872,-0.45290441871806664,0.9915450160115067,-1.7124725778826548,-3.4014570921919036,-0.12976317359998926
0.2040721491239602,0.8456605903013977,0.13968188228199885,1.3693761432007472,-0.4868600045643161,0.9901964308975052,-1.836649342115642,-3.382642361205591,-0.13968188228199885
0.21768554838595136,0.8406179770946176,0.1495865949143112,1.3503766208784749,-0.5206204628531349,0.9887486286321422,-1.9591699354735623,-3.3624719083784704,-0.1495865949143112
0.23110265298412583,0.8352384544455641,0.1594763190500322,1.3301594167817963,-0.5541722628042126,0.9872017542844281,-2.0799238768571326,-3.3409538177822564,-0.1594763190500322
0.24431136424654137,0.8295241784013657,0.16935006374410702,1.3087427614699323,-0.5875019572649581,0.9855559628503431,-2.1988022782188725,-3.318096713605463,-0.16935006374410702
0.25729977141680677,0.8234774391742323,0.17920683965261233,1.286145967089168,-0.6205961880999546,0.9838114192373063,-2.3156979427512607,-3.2939097566969293,-0.17920683965261233
0.270056162394427,0.8171006602235664,0.18904565913188803,1.2623894099584145,-0.6534416915447373,0.9819682982476522,-2.430505461549843,-3.2684026408942657,-0.18904565913188803
0.2825690342960135,0.8103963972846703,0.19886553633749854,1.2374945121951715,-0.6860253035217485,0.9800267845611155,-2.5431213086641216,-3.241585589138681,-0.19886553633749854
0.2948271038278359,0.8033673373444384,0.20866548732301404,1.211483722398454,-0.7183339649163399,0.9779870727163263,-2.653443934450523,-3.2134693493777537,-0.20866548732301404
0.3068193174603621,0.7960162975644454,0.21844453013860113,1.184380495406108,-0.750354726810706,0.975849367091318,-2.761373857143259,-3.1840651902577815,-0.21844453013860113
0.3185348613956121,0.7883462241518626,0.22820168492941395,1.1562092711447627,-0.7820747556736535,0.9736138818830473,-2.866813752560509,-3.1533848966074505,-0.22820168492941395
0.3299631713183373,0.7803601911786537,0.23793597403377498,1.1269954525914958,-0.813481338504123,0.9712808410859337,-2.969668541865036,-3.121440764714615,-0.23793597403377498
0.34109394192223286,0.7720613993495247,0.24764642208113616,1.0967653828670798,-0.844561887926406,0.9688504784694136,-3.069845477300096,-3.0882455973980987,-0.24764642208113616
0.3519171362025921,0.7634531747191194,0.2573320560898106,1.065546321481472,-0.8753039472350109,0.9663230375545181,-3.1672542258233287,-3.0538126988764778,-0.2573320560898106
0.3624229945070245,0.7545389673589785,0.26699190556446467,1.0333664197529604,-0.9056951953871598,0.9636987715894713,-3.26180695056322,-3.018155869435914,-0.26699190556446467
0.37260204333607516,0.7453223499747921,0.2766250025933614,1.0002546954231377,-0.9357234519409109,0.9609779435243156,-3.3534183900246766,-2.9812893998991683,-0.2766250025933614
0.3824451038858102,0.7358070164745031,0.2862303819453445,0.966241006490589,-0.9653766819369326,0.9581608259845641,-3.442005934972292,-2.9432280658980123,-0.2862303819453445
0.391943300324665,0.7259967804878339,0.2958070811665539,0.9313560242868915,-0.9946430007219674,0.9552477012438836,-3.527489702921985,-2.9039871219513356,-0.2958070811665539
0.4010880677970915,0.71589557383783,0.30535414067686345,0.8956312058192042,-1.0235106787120574,0.9522388611958106,-3.6097926101738236,-2.86358229535132,-0.30535414067686345
0.40987116014678754,0.7055074449650334,0.3148706038660299,0.8590987654043846,-1.051968146093617,0.9491346073245047,-3.688840441321088,-2.8220297798601335,-0.3148706038660299
