q1,q2,q3,q4,qd1,qd2,qd3,qd4,qdd1,qdd2,qdd3,qdd4
0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,-0.0,-0.0,-0.0,-0.0
0.0005000499841609158,0.0010000998432843319,0.0015001494523327796,0.0020001986862688537,0.9999998749749989,1.9999989998000534,2.9999966243255316,3.999991998402428,-0.0005000499841609158,-0.004000399373137327,-0.013501345070995017,-0.03200317898030166
0.0010000998432843319,0.0020001986862688537,0.003000295528654756,0.004000389370145231,0.9999994999000267,1.999995999201214,2.999986497309724,3.9999679936417234,-0.0010000998432843319,-0.008000794745075415,-0.027002659757892802,-0.0640062299223237
0.0015001494523327796,0.003000295528654756,0.004500434852962723,0.006000564049268672,0.9999988747751772,1.9999909982064827,2.999969618975367,3.999927985813926,-0.0015001494523327796,-0.012001182114619023,-0.04050391367666451,-0.09600902478829876
0.0020001986862688537,0.004000389370145231,0.006000564049268672,0.00800071472134275,0.999997999600607,1.9999839968208617,2.9999459893604445,3.9998719750790976,-0.0020001986862688537,-0.016001557480580925,-0.05400507644341805,-0.128011435541484
0.0025002474200552416,0.005000479210446472,0.007500679741607384,0.01000083338416708,0.9999968743765345,1.9999749950513541,2.9999156085181338,3.9997999616613273,-0.0025002474200552416,-0.02000191684178589,-0.06750611767446646,-0.1600133341466733
0.003000295528654756,0.006000564049268672,0.009000778554044029,0.012000912035669347,0.9999954991032414,1.999963992906963,2.9998784765168054,3.999711945848725,-0.003000295528654756,-0.02400225619707469,-0.08100700698639626,-0.19201459257070955
0.003500342887030367,0.007000642886327031,0.01050085711068177,0.014000942673937311,0.9999938737810713,1.999950990398693,2.9998345934400232,3.999607927993425,-0.003500342887030367,-0.028002571545308125,-0.09450771399613593,-0.22401508278299698
0.004000389370145231,0.00800071472134275,0.012000912035669347,0.016000917297250818,0.9999919984104308,1.9999359875395488,2.999783959386544,3.9994879085115813,-0.004000389370145231,-0.032002858885371,-0.10800820832102412,-0.2560146767560131
0.004500434852962724,0.00900077855404403,0.013500939953208693,0.018000827904113826,0.999989872991789,1.9999189843445369,2.9997265744703165,3.9993518878833685,-0.004500434852962724,-0.03600311421617612,-0.12150845957887824,-0.2880132464658212
0.005000479210446472,0.01000083338416708,0.015000937487562501,0.020000666493286405,0.9999874975256771,1.9998999808306637,2.999662438820483,3.999199866652977,-0.005000479210446472,-0.04000333353666832,-0.1350084373880625,-0.3200106638925825
0.0055005223175603815,0.011000878211457116,0.016500901263061866,0.022000425063816758,0.999984872012689,1.999878977016936,2.9995915525813777,3.9990318454286133,-0.0055005223175603815,-0.044003512845828464,-0.1485081113675568,-0.3520068010210681
0.006000564049268672,0.012000912035669347,0.018000827904113822,0.024000095615073214,0.9999819964534815,1.9998559729243626,2.9995139159125266,3.998847824882497,-0.006000564049268672,-0.04800364814267739,-0.16200745113702442,-0.3840015298411714
0.00650060428053591,0.013000933856570003,0.019500714035209015,0.02599967014677627,0.9999788708487735,1.9998309685759514,2.9994295289886463,3.9986478057508568,-0.00650060428053591,-0.052003735426280014,-0.17550642631688113,-0.41599472234842033
0.007000642886327031,0.014000942673937311,0.021000556280929217,0.027999140659030565,0.9999754951993465,1.9998039639967125,2.999338391999646,3.998431788833929,-0.007000642886327031,-0.056003770695749244,-0.18900500652836297,-0.44798625054448904
0.007500679741607384,0.015000937487562501,0.022500351265954982,0.029998499152356896,0.9999718695060446,1.9997749592136553,2.9992405051506252,3.998199774995954,-0.007500679741607384,-0.060003749950250006,-0.20250316139359484,-0.47997598643771033
0.00800071472134275,0.016000917297250818,0.024000095615073214,0.03199773762772423,0.9999679937697744,1.9997439542557907,2.999135868661873,3.997951765165172,-0.00800071472134275,-0.06400366918900327,-0.21600086053565892,-0.5119638020435877
0.00850074770049938,0.01700088110282251,0.025499785953184785,0.03399684808658171,0.9999638679915052,1.9997109491541298,2.999024482768868,3.9976877603338217,-0.00850074770049938,-0.06800352441129004,-0.22949807357866306,-0.5439495693853074
0.00900077855404403,0.018000827904113826,0.026999418905312097,0.03599582253089063,0.9999594921722684,1.9996759439416842,2.9989063477222793,3.9974077615581316,-0.00900077855404403,-0.0720033116164553,-0.24299477014780888,-0.57593316049425
0.009500807156943982,0.019000756700978037,0.0284989910966067,0.037994652963156454,0.9999548663131584,1.9996389386534663,2.9987814637879633,3.997111769958322,-0.009500807156943982,-0.07600302680391215,-0.2564909198694603,-0.6079144474105033
0.01000083338416708,0.020000666493286405,0.029998499152356896,0.03999333138646083,0.9999499904153318,1.9995999333264884,2.998649831246966,3.9967997867185945,-0.01000083338416708,-0.08000266597314562,-0.2699864923712121,-0.6398933021833733
0.01050085711068177,0.021000556280929217,0.03149793969799532,0.04199184980449354,0.9999448644800077,1.999558927999764,2.998511450395518,3.9964718130871324,-0.01050085711068177,-0.08400222512371687,-0.28348145728195784,-0.6718695968718966
0.011000878211457116,0.022000425063816758,0.032997309359106504,0.04399020022158452,0.999939488508468,1.9995159227143067,2.9983663215450402,3.996127850376091,-0.011000878211457116,-0.08800170025526703,-0.29697578423195853,-0.7038432035453523
0.011500896561462838,0.02300027184188032,0.03449660476143454,0.045988374642735856,0.999933862502057,1.9994709175131302,2.998214445022137,3.9957678999615966,-0.011500896561462838,-0.09200108736752129,-0.3104694428529109,-0.7358139942837737
0.012000912035669347,0.024000095615073214,0.03599582253089062,0.04798636507365374,0.9999279864621813,1.9994239124412485,2.998055821168599,3.9953919632837387,-0.012000912035669347,-0.09600038246029285,-0.3239624027780156,-0.7677818411784598
