q1,q2,qd1,qd2,qdd1,qdd2
0.0,0.0,1.0,2.0,-0.0,-0.0
0.010019872410321994,0.020038738821815002,0.9999497998184114,1.9995984086275236,-0.010019872410321994,-0.08015495528726001
0.020038738821815002,0.040069430259003856,0.9997992043137618,1.9983937957857243,-0.020038738821815002,-0.16027772103601542
0.030055593336652683,0.06008403015870064,0.9995482286058947,1.996386645236727,-0.030055593336652683,-0.24033612063480256
0.040069430259003856,0.08007450083026207,0.9991968978928621,1.9935777630348752,-0.040069430259003856,-0.3202980033210483
0.05007924419600471,0.1000328142731347,0.9987452474483955,1.9899682772030278,-0.05007924419600471,-0.4001312570925388
0.06008403015870064,0.1199509554008307,0.9981933226183635,1.9855596372795534,-0.06008403015870064,-0.4798038216033228
0.07008278366294748,0.13982092525971743,0.9975411788162194,1.98035361373621,-0.07008278366294748,-0.5592837010388697
0.08007450083026207,0.15963474424132812,0.9967888815174376,1.9743522972671375,-0.08007450083026207,-0.6385389769653125
0.09005817848861206,0.17938445528690403,0.9959365062529405,1.967558097949253,-0.09005817848861206,-0.7175378211476161
0.1000328142731347,0.1990621270828803,0.9949841386015139,1.959973744274386,-0.1000328142731347,-0.7962485083315212
0.10999740672677467,0.2186598572460333,0.993931874181216,1.951602282053538,-0.10999740672677467,-0.8746394289841332
0.1199509554008307,0.2381697754970093,0.9927798186397767,1.9424470731937118,-0.1199509554008307,-0.9526791019880372
0.12989246095540102,0.25758404682096103,0.9915280876439908,1.9325117943477985,-0.12989246095540102,-1.0303361872838441
0.13982092525971743,0.2768948746140219,0.990176806868105,1.921800435438066,-0.13982092525971743,-1.1075794984560876
0.14973535149235792,0.29609450381435476,0.9887261119811998,1.91031729805384,-0.14973535149235792,-1.184378015257419
0.15963474424132812,0.31517522401651815,0.9871761486335687,1.898066993724023,-0.15963474424132812,-1.2607008960660726
0.16951810960400077,0.3341293725678981,0.9855270724420948,1.8850544420651438,-0.16951810960400077,-1.3365174902715924
0.17938445528690403,0.35294933764596376,0.9837790489746265,1.871284868805683,-0.17938445528690403,-1.411797350583855
0.18923279070534813,0.3716275613151095,0.981932253733355,1.8567638036874636,-0.18923279070534813,-1.486510245260438
0.1990621270828803,0.3901565425618566,0.979986872137193,1.841497078244957,-0.1990621270828803,-1.5606261702474264
0.20887147755055852,0.4085288403071956,0.9779430995031595,1.8254908234633862,-0.20887147755055852,-1.6341153612287824
0.2186598572460333,0.4267370763948594,0.975801141026769,1.8087514673165774,-0.2186598572460333,-1.7069483055794377
0.2284262834124282,0.4447739385543272,0.9735612117614305,1.7912857321855402,-0.2284262834124282,-1.7790957542173087
0.2381697754970093,0.4626321833373691,0.9712235365968559,1.7731006321588167,-0.2381697754970093,-1.8505287333494764
0.2478893552496326,0.48030463902695275,0.9687883502364805,1.754203470215686,-0.2478893552496326,-1.921218556107811
0.25758404682096103,0.49778420851734273,0.9662558971738993,1.7346018352933479,-0.25758404682096103,-1.991136834069371
0.26725287686043997,0.5150638721642371,0.9636264316683195,1.7143035992392741,-0.26725287686043997,-2.0602554886569484
0.2768948746140219,0.532136690603796,0.960900217719033,1.6933169136499404,-0.2768948746140219,-2.128546762415184
0.2865090720216307,0.5489958075394302,0.9580775290389103,1.6716502065972163,-0.2865090720216307,-2.195983230157721
0.29609450381435476,0.5656344524952307,0.95515864902692,1.6493121792437242,-0.29609450381435476,-2.262537809980923
0.30565020761136114,0.5820459435349337,0.9521438707396754,1.6263118023485272,-0.30565020761136114,-2.3281837741397347
0.31517522401651815,0.598223689945328,0.9490334968620115,1.6026583126645504,-0.31517522401651815,-2.392894759781312
