t1,t2
30.38,95.095
30.206815539524488,95.0520866343629
30.03482594420627,94.97345248244847
29.864326567601744,94.85911127816799
29.69560087106236,94.70908362588091
29.52891933514829,94.52339708305517
29.36453842536381,94.30208626996648
29.202699617961297,94.0451930056706
29.043628491164515,93.75276646930047
28.887533886724537,93.42486338556455
28.734607146247527,93.06154823315687
28.58502142622672,92.66289347463282
28.438931095176105,92.22897980616048
28.296471215705427,91.75989642542402
28.157757113800567,91.25574131583716
28.02288403698511,90.7166215451191
27.8919269024435,90.14265357619476
27.764940135588596,89.53396358830648
27.641957598963543,88.89068780616424
27.522992610782023,88.21297283491764
27.40803805184037,87.50097599870595
27.297066558982735,86.75486568052932
27.190030802770842,85.97482166118924
27.086863846509264,85.16103545506473
26.987479583306207,84.3137106405252
26.891773247415557,83.43306318282893
26.799621995708776,82.51932174741846
26.710885554769526,81.57272800159893
26.625406928790653,80.59353690267172
26.543013163185105,79.58201697069408
26.46351615860008,78.53845054414293
26.386713529848162,77.46313401687692
26.31238950414034,76.35637805491612
26.24031585292433,75.21850779168838
26.17025285159567,74.04986300052822
26.10195026135823,72.85079824335416
26.035148327563824,71.62168299459344
25.96957878895492,70.36290173956904
25.90496589236823,69.07485404670824
25.84102740762794,67.75795461307918
25.777475637562105,66.41263328290417
25.714018418311962,65.03933503884147
25.650360105367668,63.63851996596423
25.586202541052725,62.2106631885003
25.521245999488762,60.75625477952469
25.45519010539983,59.27579964392031
25.38773472345637,57.76981737503923
25.318580815211114,56.23884208560697
25.247431261037686,54.68342221351442
25.173991644845223,53.104120303237934
25.0979709997052,51.50151276371408
25.019082512886065,49.876189603574765
24.937044189145993,48.22875414471909
24.851579471478612,46.559822715259436
24.76241781884149,44.87002432293359
24.669295240716764,43.16000031011964
24.57195478865842,41.43040399162735
24.47014700526735,39.681900276468866
24.363630331302602,37.915165274832994
24.25217147188366,36.13088589150095
24.13554572296325,34.329759406948476
24.01353725945112,32.512493047379174
23.885939386547225,30.679803544927374
23.7525547559959,28.832416689256767
23.613195549101754,26.971066871763384
23.467683628452306,25.096496623568296
23.315850660372774,23.209456148458337
23.157538210194538,21.310702851901357
22.992597812451294,19.401000867227225
22.820891018127895,17.481120580027305
22.642289421073933,15.551838151783723
22.45667466566272,13.613935043695726
22.263938437723272,11.668197541625076
22.06398244070256,9.715416283034276
21.856718358927342,7.756385786743266
21.64206780973122,5.7919039862802695
21.41996228609498,3.822771767552231
21.19034309131769,1.8497925115095941
20.953161267094302,-0.12622835757040074
20.708377516225305,-2.104483817608401
20.455962121024307,-4.084165687532119
20.195894858325527,-6.06446505889628
19.92816491182371,-8.044572719887952
19.65277078230719,-10.023679571340617
19.3697201961725,-12.000977034426418
19.07903001243629,-13.975657449742355
18.780726128291406,-15.946914467550638
18.47484338308771,-17.91394342897675
18.161425460458492,-19.875941738010837
17.840524788160053,-21.832109224198714
17.512202435047776,-23.78164849594808
17.176528004477376,-25.72376528441339
16.83357952329701,-27.657668777959508
16.483443325485037,-29.582571947238947
16.126213929391948,-31.49769186095179
15.76199390746236,-33.40224999238921
15.39089374724751,-35.295472516892474
15.01303170246861,-37.17659060038915
14.628533632859885,-39.04484067919584
14.237532831505941,-40.8994647313042
13.840169838392654,-42.73971053939164
13.436592238914386,-44.564831945822974
13.026954446122684,-46.37408909993084
12.61141746556306,-48.16674869788543
12.190148641627314,-49.94208421548185
11.763321384447337,-51.69937613419427
11.331114876474073,-53.437912160860165
10.89371375801931,-55.15698744137602
10.451307791189754,-56.85590476879718
10.004091501808904,-58.533974786248535
9.552263799103567,-60.190516185062464
9.096027573125713,-61.82485589856859
8.6355892700855,-63.43632929196871
8.171158445986347,-65.02428034873262
7.70294729917525,-66.5880618539569
7.231170182650375,-68.12703557512673
6.756043097199216,-69.64057244072252
6.277783166674627,-71.12805271710819
5.796608096947487,-72.58886618413429
5.312735620304146,-74.02241230988014
4.826382927279342,-75.42810042495067
4.33776608812974,-76.80534989673144
3.8470994663570117,-78.15359030398963
3.3545951268793957,-79.47226161219422
2.8604622416254095,-80.76081434990698
2.364906495479298,-82.0187097865768
1.8681294956448014,-83.24542011204363
1.3703281876067148,-84.44042861803443
0.8716942809601456,-85.60322988190296
0.37241368844060396,-86.73332995283702
-0.12733401847518522,-87.8302465407214
-0.6273761340201158,-88.89350920781278
-1.1275473192833463,-89.92265956334454
-1.6276900767481202,-90.91725146114209
-2.12765519499923,-91.87685120028964
-2.62730216049024,-92.80103772884794
-3.126499533404685,-93.68940285058079
-3.6251252848167344,-94.54155143460474
-4.123067092558994,-95.35710162783286
-4.620222593432503,-96.135685070039
-5.11649958964861,-96.87694711132484
-5.611816207669672,-97.58054703172756
-6.106101007914792,-98.24615826266208
-6.5992930441150515,-98.87346860984836
-7.091341871436538,-99.46218047733257
-7.58220750283747,-100.01201109216863
-8.071860313482663,-100.52269272928844
-8.560280893403386,-100.9939729360502
-9.047459848957466,-101.42561475591933
-9.533397554012375,-101.81739695070277
-10.018103852136651,-102.16911422072687
-10.501597711441793,-102.48057742232166
-10.983906834061166,-102.75161378194896
-11.465067222583524,-102.98206710629114
-11.94512270607225,-103.17179798759942
-12.4241244285933,-103.3206840035859
-12.902130303444425,-103.42861991113466
-13.379204436520428,-103.49551783309931
-13.85541652246372,-103.52130743745374
-14.330841217432523,-103.50593610806379
-14.805557492470452,-103.44936910635434
-15.279647971578171,-103.35158972315593
-15.753198258670478,-103.21259942003029
-16.22629625764957,-103.03241795939186
-16.699031489836017,-102.81108352276564
-17.17149441297604,-102.5486528165474
-17.643775745983625,-102.24520116466294
-18.115965803484237,-101.90082258755636
-18.58815384410007,-101.51562986697438
-19.060427436260856,-101.08975459605367
-19.53287184513732,-100.6233472142614
-20.005569444081807,-100.11657702678392
-20.47859915372243,-99.56963220800701
-20.952035911597587,-98.98271978878022
-21.425950174939157,-98.35606562720905
-21.900407458917705,-97.68991436277184
-22.375467912355933,-96.9845293536107
-22.8511859325991,-96.24019259690103
-23.32760982090801,-95.45720463225746
-23.804781479413087,-94.63588442818893
-24.282736150341943,-93.77656925166889
-24.761502197908825,-92.87961452093981
-25.24110093293759,-91.94539364172287
