t1,t2,t3,t4
-28.480000000000004,55.855,130.38,195.095
-45.84965634499582,47.41463807845802,128.22831022932183,195.4757343153208
-62.91484543990333,39.134557580883275,126.05800810308051,195.5786949647437
-79.49874930482338,31.088286232120396,123.88255526468606,195.3980748161972
-95.43279249413553,23.345635372272667,121.71410717483678,194.9280827748382
-110.5599289139139,15.971483031974415,119.56334316273164,194.16305520358299
-124.73759117281256,9.024682218222537,117.43932758297501,193.09757470817257
-137.84021854447124,2.5571222715816475,115.34940447722457,191.72659318601671
-149.7612966984417,-3.3870343970365155,113.29912718923731,190.04555590726545
-160.41486179108534,-8.771924151549314,111.29222341733872,188.05052338143446
-169.73644230350772,-13.570353214341537,109.3305952444772,185.73828786238883
-177.6834331366891,-17.76396546152391,107.41435279560046,183.1064815522673
-184.2349169145005,-21.343211043059014,105.54187936406626,180.1536738699134
-189.3909662755709,-24.30712612756949,103.70992514734729,176.87945553640358
-193.17147736022332,-26.662939563040638,101.9137261560031,173.28450768099287
-195.61459809623187,-28.425526845644015,100.14714442131111,169.37065466480945
-196.77482483193202,-29.61673535846397,98.40282533246942,165.14089983550463
-196.7208471411276,-30.26460729714718,96.67236778429657,160.59944394254867
-195.53322322098575,-30.402528016006954,94.94650280573453,155.7516864398786
-193.3019674015009,-30.068327736877293,93.21527645822118,150.6042103621962
-190.12412722624993,-29.30336374416777,91.46823302713828,145.16475186825986
-186.10142082126924,-28.15160846407035,89.69459486198366,139.44215588726416
-181.33799640385058,-26.65876634537331,87.8834356324952,133.44631957477662
-175.93836540675267,-24.871439395442337,86.02384423837857,127.18812547836214
-170.00554942620172,-22.836357758347333,84.10507711905589,120.67936642925407
-163.63946963843674,-20.59968803247314,82.11669723704861,113.93266421781851
-156.93559600807862,-18.206428281890794,80.04869853559988,106.96138408254046
-149.9838629923893,-15.699895051586907,77.89161518110711,99.7795469526004
-142.86784889528167,-13.121304280909627,75.63661537926676,92.40174124224997
-135.6642078096436,-10.509444925612456,73.27557998836178,84.84303581166937
-128.44233637096775,-7.90044142223914,70.80116653427129,77.11889549479515
-121.2642523988815,-5.327598907284823,68.20685955251588,69.24510036068362
-114.18465891050214,-2.8213233597082024,65.48700843843473,61.23766963170857
-107.25116486421678,-0.4091075680260303,62.636854175173,53.11279093875404
-100.50463319292551,1.8844269879167683,59.65254643038945,44.88675535882692
-93.97962703175254,4.037442640907798,56.53115256816159,36.57589846107137
-87.70492633368872,6.030762742889181,53.27066011575396,28.196547388447442
-81.70408908641139,7.847723586594029,49.86997416033534,19.764973828306296
-75.99603388768062,9.474010486318015,46.32891103411661,11.297352578313113
-70.59562351264978,10.897486685255217,42.648189484362206,2.809725295927766
-65.5142321432732,12.10802282550069,38.82942032464949,-5.682031069892074
-60.760281983476816,13.097333679233031,34.87509533354849,-14.162231727728432
-56.33973793865173,13.858827738041853,30.788575914920493,-22.615407971697962
-52.25655180858126,14.38747412736086,26.574081768998525,-31.02632819762303
-48.51304997151464,14.679690183079245,22.23667955423136,-39.38001660587319
-45.11026079167456,14.733251919705353,17.782271255602982,-47.661770159720284
-42.04817995297376,14.547228550250303,13.217581724837475,-55.85717432240079
-39.3259736159262,14.1219411989006,8.550144630502285,-63.95211803740691
-36.942120734069356,13.45894498666118,3.78828586018367,-71.93280834776901
-34.894497081209096,12.56103277339497,-1.0588967391962,-79.78578497410241
-33.180404567126885,11.432258011988353,-5.9815585057472624,-87.49793509069458
-31.79655029396013,10.07797341688672,-10.969139269656944,-95.05650845649843
-30.73898056319728,8.504881476240733,-16.010402097052044,-102.44913297600083
-30.002975714246517,6.721092252524315,-21.093480678186626,-109.66383068582907
-29.582912282979727,4.736183431151382,-26.205936436111006,-116.68903408874326
-29.472099527120747,2.561257203100304,-31.334826236045004,-123.51360268926754
-29.662597879902258,0.20898832073983442,-36.46678131762695,-130.12683952637764
-30.14502735929198,-2.306342437722769,-41.58809775699508,-136.5185074499102
-30.908374362932932,-4.968835103602224,-46.68483840080073,-142.67884484998237
-31.939805595755566,-7.760983129154198,-51.74294580983593,-148.5985805237298
-33.22449807780804,-10.663716829208084,-56.748365318475415,-154.2689473518043
-34.74549422890509,-13.656482085223239,-61.68717687222804,-159.68169445869688
-36.483590886280005,-16.71735791787019,-66.54573386574367,-164.8290975460801
-38.41727074395041,-19.82321550699726,-71.31080678520163,-169.70396711659606
-40.5226840739229,-22.949920021278633,-75.96972908023622,-174.299654346059
-42.773687672516466,-26.07257523571578,-80.51054236933314,-178.61005441366797
-45.14194675303509,-29.165809395847162,-84.92213783582388,-182.62960716091845
-47.59710397506106,-32.204099176080646,-89.1943905141959,-186.35329501846442
-50.10701797289197,-35.16212692915248,-93.3182831107061,-189.7766382139102
-52.63807165088423,-38.01516479620938,-97.28601605704048,-192.89568734982984
-55.155548200094756,-40.739477710883726,-101.09110066570818,-195.70701351749813
-57.624070325472275,-43.312735958205614,-104.72843254111281,-198.2076961850589
-60.008095639846154,-45.714426812763286,-108.19434279605218,-200.3953091663941
-62.27245867841823,-47.926253949036976,-111.4866251201219,-202.26790503616638
-64.38294762415578,-49.93251285130351,-114.60453732976544,-203.8239984050199
-66.3069017246439,-51.72043039998236,-117.54877668094228,-205.06254850474275
-68.01381363828585,-53.28045720899293,-120.32142892242534,-205.98294155474417
-69.47591967887097,-54.60650214877078,-122.92589178581431,-206.58497338745534
-70.66876022527788,-55.69609980478448,-125.36677432112664,-206.86883280074244
-71.57169249993848,-56.550503361794114,-127.64977416759504,-206.83508608025994
-72.16833854202913,-57.17469751719506,-129.78153547222934,-206.48466309458584
-72.44695252477689,-57.57732843896384,-131.76949071003702,-205.81884531227217
-72.40069357260454,-57.77055040307227,-133.6216900990157,-204.8392560244156
-72.02779286990716,-57.76979146569061,-135.34662262379334,-203.547852981271
-71.33160703186195,-57.59344323204921,-136.95303287270613,-201.94692356940257
-70.32055331068607,-57.262482358462876,-138.44973794825427,-200.03908256974506
-69.00792609422916,-56.80003375210892,-139.8454486300256,-197.82727244972557
-67.41159815492922,-56.23088740977481,-141.14859875771828,-195.31476605725612
-65.55361405271233,-55.58098237268202,-142.3671864704937,-192.50517150384826
-63.45968681087878,-54.876872301071714,-143.50863050287953,-189.40243895097828
-61.158612303206795,-54.14518764549611,-144.5796442159893,-186.01086895050494
-58.6816185648151,-53.41210929468246,-145.58612945792916,-182.33512193835435
-56.061669345937226,-52.702867923177536,-146.53309172267367,-178.3802284423306
-53.33274257647647,-52.041282083394314,-147.4245774367323,-174.1515995407648
-50.5291049472293,-51.449346448267114,-148.2636335714048,-169.65503709923541
-47.684603528172524,-50.94687959513862,-149.05228917755875,-164.89674331771116
-44.831994262499606,-50.55123842701055,-149.79155788940992,-159.8833291396099
-42.00232536237824,-50.27710386198931,-150.48145996028586,-154.621821106404
-39.22439118738397,-50.13633989749696,-151.1210619896147,-149.11966628509103
-36.52426923519949,-50.137925682118855,-151.70853218516234,-143.38473494932694
-33.92494956204814,-50.28795790639222,-152.24120878246342,-137.4253207562528
-31.446062434223723,-50.58971874315492,-152.71567911504258,-131.25013822784737
-29.103706451189183,-51.04380280033521,-153.12786679125296,-124.86831741572979
-26.910375928301274,-51.648295147045005,-153.47312447992488,-118.28939569943482
-24.874983122904958,-52.39899146960417,-153.7463299283251,-111.52330673810846
-23.002968050987363,-53.289650818986715,-153.9419830208825,-104.58036666225198
-21.296486267623763,-54.31227121673424,-154.05430192297533,-97.4712576537703
-19.754663139944633,-55.45737856660384,-154.0773166272614,-90.20700911754065
-18.373901863937288,-56.7143198333207,-154.004958516839,-82.79897669474758
-17.14823177478452,-58.071552245637356,-153.83114486663763,-75.25881940631972
-16.0696833564383,-59.51692129862148,-153.5498575093986,-67.59847524329611
-15.128676727834556,-61.037921505877506,-153.15521518422526,-59.83013553949454
-14.314411209169187,-62.621935121967084,-152.64153935432574,-51.96621847036369
-13.615244775938375,-64.25644535700067,-152.00341351834004,-44.019342020624585
-13.019053705405558,-65.92922188291783,-151.2357362404848,-36.00229675266002
-12.513564419764986,-67.62847763536641,-150.3337682844791,-27.928018688302103
-12.086651342784592,-69.34299700610431,-149.29317435246716,-19.80956258950173
-11.726596426894776,-71.06223646775777,-148.1100600022774,-11.660075889371141
-11.422307798286528,-72.77639945460785,-146.7810043452902,-3.4927734853270955
-11.163496641973882,-74.47648792827783,-145.30308911527595,4.679086438245832
-10.940812952799728,-76.15433348293858,-143.6739246493995,12.842225438043114
-10.745942071277423,-77.80261109580586,-141.891673240808,20.98336662052644
-10.57166497784559,-79.41483871662292,-139.9550702133396,29.089255211623133
-10.41188612161066,-80.98536583101712,-137.8634429391112,37.14667791774143
-10.26163310814832,-82.50935394738146,-135.61672787578453,45.14248115648982
-10.117032874317834,-83.98275166806836,-133.21548554923126,53.06358828051724
-9.975269054218588,-85.40226663728036,-130.66091325636572,60.897015958595084
-9.834525114403814,-86.76533623443635,-127.95485511931571,68.62988991332301
-9.693917538525762,-88.07009842664452,-125.09980899293967,76.24946024351976
-9.553422905331342,-89.31536372950549,-122.0989296196556,83.74311658051056
-9.413802164617056,-90.500588772106,-118.95602734478636,91.09840334023261
-9.276524808708173,-91.62585153768933,-115.67556165751469,98.30303533667703
-9.14369499631616,-92.69182797136905,-112.26262881149789,105.34491401612736
-9.017981042927198,-93.69976932283328,-108.72294280845487,112.21214455565364
