num_links,ftst_time,ne_time
2,0.09836580000410322,0.284025400003884
3,0.15567670000018552,0.42405600000347476
4,0.19252879999839934,0.5984446999937063
5,0.26388199999928474,0.7272768999973778
6,0.282531700002437,0.8812590999950771
7,0.3445218999986537,1.0820306000023265
8,0.42209400000137975,1.2821506999971461
9,0.44188999999460066,1.4373473999949056
10,0.4737310999989859,1.6586150000002817
11,0.5511318999997457,1.8366463999991538
12,0.6036027999944054,1.9786158999995678
13,0.6290479000017513,2.3816588999980013
14,0.7130850999965332,2.443773200000578
15,0.7620571000006748,2.8384837999983574
16,0.8606960000033723,2.7424287000030745
17,0.8491914999976871,3.0583775999984937
18,0.9074975999974413,3.284148600003391
19,0.9748293999946327,3.6205506999976933
20,1.0528083000026527,3.740444300005038
