t1,t2,t3,t4,t5,t6
226.57999999999998,222.625,228.48,244.14499999999998,269.62,304.905
202.54400646197146,219.39043570694358,224.87933153946494,241.8668469728867,268.9629928075126,305.07306156525
178.5078056302505,216.14965227069698,221.2745030969313,239.5854178887196,268.3029565314768,305.23787359272166
154.47360640615892,212.90279512294137,217.66570086735783,237.30082499469424,267.63992260276575,305.39942805713696
130.44361708406288,209.6500106059304,214.05311148848529,235.01318078829135,266.97392261429025,305.557717029773
106.4200449697918,206.39144596176413,210.436922020386,232.72259800554494,266.30498831786144,305.7127326790633
82.40509599933866,203.12724932141168,206.8173199249161,230.42918960926528,265.6331516210283,305.8644672711854
58.400974357940775,199.85756969348404,203.19449304507523,228.13306877722002,264.9584445838902,306.01291317063414
34.40988209964333,196.58255695275597,199.5686295842768,225.83434889027487,264.28089941588536,306.158062840783
10.434018767443256,193.3023618284384,195.93991808553244,223.53314352049568,263.6005484725559,306.2999088444296
-13.524418985884196,190.01713589220128,192.30854741055458,221.22956641921505,262.91742425228864,306.4384438443293
-37.46323777617773,186.72703154594768,188.67470671878078,218.92373150506393,262.2315593930348,306.57366060371373
-61.38024786540286,183.43220200934053,185.03858544632388,216.61575285197213,261.5429866690062,306.7055519867965
-85.27326353818387,180.13280130708142,181.4003732848508,214.30574467713785,260.8517389873509,306.8341109592635
-109.14010347725832,176.82898425594303,177.7602601603951,211.99382132897023,260.15784938480704,306.95933058875113
-132.97859113775496,173.5209064515583,174.11843621210696,209.68009727500586,259.4613510243372,307.0812040453093
-156.78655512019685,170.208724254963,170.4750917709429,207.36468708980158,258.7622771917417,307.1997246018505
-180.56182954213418,166.89259477889757,166.83041733830063,205.04770544280578,258.0606612922537,307.3148856345856
-204.3022544083068,163.57267587386696,163.1846035646038,202.72926708621048,257.35653684711457,307.4266806234447
-228.00567597924268,160.24912611396033,159.53784122783765,200.4094868427864,256.6499374901319,307.53510315248417
-251.66994713819648,156.9221047824325,155.8903212120425,198.08847959370217,255.9408969642195,307.6401469102803
-275.29292775633104,153.59177185705,152.2422344857669,195.76636026633156,255.2294491179207,307.7418056903075
-298.87248505604947,150.2582879951998,148.59377208048673,193.44324382204957,254.51562790191463,307.8400733913036
-322.40649397238246,146.92181451876797,144.9451250689905,191.1192452440191,253.7994673655071,307.93494401762024
-345.89283751233944,143.58251339878518,141.2964845437404,188.7944795249732,253.08100165310665,308.02641167955943
-369.3294071121278,140.24054723984506,137.64804159520742,186.4690616549905,252.3602650006853,308.11447059369607
-392.71410299215347,136.89607926429386,133.99998729018785,184.14310660927026,251.6372917322254,308.19911508318586
-416.0448345097074,133.54927329619804,130.35251265010572,181.81672933590704,250.91211625615324,308.2803395780595
-439.3195205092508,130.2002937450896,126.70580862930262,179.49004474366723,250.1847730617601,308.35813861550264
-462.53608967020875,126.8493055894887,123.06006609332096,177.16316768977018,249.45529671561036,308.4325068401217
-485.6924808521835,123.49647436021456,119.41547579718457,174.83621296767632,248.72372185793915,308.5034390041951
-508.78664343750194,120.14196612348016,115.77222836368034,172.50929529488275,247.9900831990374,308.57092996791175
-531.8165376710127,116.78594746377301,112.13051426164436,170.18252930073106,247.25441551562815,308.6349746995934
-554.7801349970349,113.42858546653189,108.49052378425945,167.85602951422737,246.516753647233,308.695568275905
-577.6754183933975,110.07004770061525,104.85244702736345,165.52991035187813,245.77713249252818,308.75270588204967
-600.5003827024625,106.71050220056942,101.21647386777693,163.2042861055424,245.03558700569292,308.8063828119499
-623.2530349590626,103.35011744869577,97.58279394165271,160.87927093030464,244.29215219275085,308.85659446841555
-645.9313947152705,99.98906235692368,93.95159662284988,158.55497883236816,243.54686310790294,308.90333636329666
-668.5334943619167,96.6275062484904,90.32307100133976,156.23152365697365,242.79975484985428,308.9466041176237
-691.0573794467816,93.26561883943283,86.69740586164457,153.90901907634242,242.0508625581347,308.9863934617326
-713.5011089893786,89.9035702198927,83.0747896613143,151.58757857764772,241.3002214094153,309.0227002353773
-735.8627557922565,86.5415308352414,79.45541050944631,149.26731545101808,240.54786661381837,309.0555203878276
-758.1404067487434,83.17967146702583,75.83945614525327,146.9483427775702,239.79383341122505,309.08484997795335
-780.3321631470609,79.81816321374193,72.22711391667684,144.63077341747868,239.03815706757837,309.11068517429584
-802.4361409707294,76.45717747143635,68.61857075906131,142.3147199980802,238.2808728711842,309.1330222551243
-824.4504711952064,73.09688591414253,65.0140131738838,140.0002949020191,237.52201612901024,309.15185760847993
-846.3733000806665,69.73746047415685,61.41362720754587,137.68761025543088,236.7616221629824,309.1671877322059
-868.2027894608811,66.3790733221514,57.81759843023521,135.37677791616943,235.9997263062825,309.17900923396405
-889.9371170281054,63.02189684714095,54.22611191485424,133.06790946208025,235.2363638996429,309.18731883123826
-911.5744766139231,59.66610363629583,50.63935221602918,130.76111617931898,234.4715702876443,309.1921133513245
-933.1130784659789,56.31186645460862,47.05750334919158,128.45650905072014,233.70538081501303,309.19338973130766
-954.5511495205361,52.95935822442651,43.48074876974894,126.15419874421555,232.93783082292066,309.1911450180252
-975.8869336707917,49.6087520048404,39.909271352338834,123.854295601308,232.16895564528534,309.1853763680181
-997.1186920309074,46.26022097095206,36.34325337017441,121.55690962559657,231.39879060507744,309.17608104746824
-1018.2447031956717,42.91393839300339,32.7828764744866,119.26215047136279,230.62737101062737,309.1632564321231
-1039.2632634957547,39.57007761539718,29.22832167406264,116.97012743221194,229.85473215193804,309.14690000720805
-1060.1726872485024,36.22881203558809,25.679769314890592,114.68094942977976,229.08090929700353,309.1270093673254
-1080.9713070041923,32.890315082873215,22.137399059907096,112.3947250024977,228.30593768813154,309.103582216341
-1101.6574737877309,29.55476019706721,18.601389868858632,110.11156229442538,227.52985253827254,309.0766163672587
-1122.2295573357142,26.222320807081047,15.071919978274906,107.83156904414997,226.75268902735633,309.0461097420811
-1142.6859463288192,22.893170309400716,11.549166881562257,105.55485257375231,225.97448229863497,309.01206037166
-1163.0250486194711,19.56748204647394,8.033307309218117,103.28151977784636,225.19526745503526,308.97446639553254
-1183.2452914547396,16.245429285017806,4.524517209171563,101.01167711268954,224.41507955551856,308.93332606174647
-1203.3451216944266,12.927185194232166,1.0229717272535481,98.74543058536636,223.6339536114495,308.88863772667304
-1223.3230060242902,9.61292282394892,-2.47115481220132,96.48288574304996,222.85192458297675,308.84039985480797
-1243.1774311643799,6.302815082705536,-5.9576889256131835,94.22414766234095,222.06902737542197,308.78861101856046
-1262.906904072429,2.997034715752349,-9.436457989277358,91.96932093868537,221.28529683568127,308.73326989803036
-1282.5099521422692,-0.3042457169965189,-12.907290258339088,89.71850967587555,220.50076774863783,308.6743752807748
-1301.9851233972427,-3.6008538630680818,-16.370014885622084,87.47181747563117,219.71547483358714,308.6119260615616
-1321.330986678565,-6.892617599584895,-19.824461940305298,85.22934742727081,218.92945274067478,308.5459212421129
