t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
1305.68,1203.625,1111.3799999999999,1028.945,956.3199999999999,893.505,840.5,797.305,763.92,740.345,726.5799999999999,722.625,728.48,744.145,769.62,804.905
-1367705.5484758269,46649.25959536778,-54366.48764509148,-125016.80830891835,-167980.41482765815,-186702.38380181885,-185214.44294819253,-167985.52608262555,-139784.18526944466,-105526.99105952041,-70080.88865415662,-37983.17706814966,-13041.278112778868,2222.8964633196483,7310.685866706044,4676.98838123267
-1598045.8829810293,24392.833807443207,-79080.55540787212,-163138.31743970438,-222677.99201697184,-255574.21727439482,-262369.45137565734,-245899.98195711744,-210915.61629970922,-163681.82215232687,-111495.79585163214,-62013.247400766886,-22281.276479323653,2584.108898166614,11040.044883616194,6889.532171548011
-955106.197379689,-6904.977619956176,-54898.12307243279,-111097.82435022028,-163690.72546453643,-203313.20726363122,-223935.61540104816,-223086.088502022,-201720.87841983043,-163909.3737096006,-116324.81874639758,-67388.38592932971,-25867.46845299138,1168.6729103537532,10854.64575289193,6893.219465359497
-324704.4276430428,940.0789047243221,-5724.918162148995,-33067.32156455645,-71152.02428503614,-109318.69053937017,-138584.86020961206,-152911.05041275147,-149695.30018628572,-129863.46806339365,-97685.25612649355,-60164.09713165616,-25696.629445671948,-1818.5745544453484,7686.118932749728,5341.878937131651
-64582.19688494315,19545.8384813104,28105.470144380928,17590.113628657968,-7008.363749314316,-37673.15523255843,-66315.46324436655,-86559.00608653984,-94537.92584214779,-89186.3627477271,-72321.61453549757,-48452.09214018102,-23954.317477000284,-5297.961887829684,3518.4827807678166,3356.011394762896
-34901.72228322795,22180.358865063365,34294.250565951734,32272.42464144187,17903.40278535662,-3421.263293779306,-25637.018765129837,-43779.501590832515,-54607.59021001363,-56650.165020307446,-50187.39276569189,-37301.37422931774,-21726.14825675121,-8037.100194534465,43.78576936193639,1745.0328238460443
-53046.16466010248,13805.936735602983,25908.381975910263,27482.65094034771,19325.530942773563,5536.329922370429,-9408.191121197116,-22241.126899026644,-31131.979415212936,-35232.0152943541,-34252.11181899285,-28497.380528264373,-19315.890544162223,-9386.161351667239,-2024.0650391873405,755.1851609248027
-54770.270033811765,6243.107241766073,16818.23895535723,18676.557892459758,13039.106069649588,3752.6778390432714,-5676.272605811118,-13396.644570466817,-19011.12626482197,-22615.588869597366,-23912.7778208158,-22111.064347647807,-16844.44579238262,-9405.222302950806,-2800.4556919557,264.6776227513654
-43067.88206687019,3734.166105792866,11826.138831620903,11958.593552027085,6503.412406063025,-554.8475979578136,-6418.837293611897,-10358.798801621608,-13117.513756298138,-15584.80391401018,-17576.423083465183,-17655.278392893408,-14447.548350913545,-8519.217682442235,-2726.930085897419,66.09093815169932
