t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-336078.39730372257,-284174.0392574493,-233777.95493142185,-185686.43467595987,-140735.85272688884,-99805.85321348584,-63808.925873447995,-33657.057719212666,-10192.614219230569,5933.039954961887,14452.873871055961,15771.132359033501,11365.182842255184,4319.529551734046
-529995.5368121392,-453418.3798590522,-378077.4610152862,-304820.13154582155,-234747.8536840949,-169267.57528565184,-110098.97524325358,-59209.30968422349,-18640.566736544188,9808.655714427136,25076.83325251712,27516.293363894194,19716.86651625009,7372.608731117906
-531618.1318039154,-464681.09657411266,-396969.20823159924,-328557.22853931726,-260070.03391173144,-192844.12581353213,-129023.93715026297,-71525.07618597247,-23778.167535567918,10830.871134854606,29866.3740773861,33036.735424569015,23455.601858977836,8546.981850678185
-398601.3855930994,-360977.9874017597,-320463.60518990597,-276112.45536062936,-227645.89422695257,-175750.5365948027,-122345.87710387219,-70698.08440596088,-25205.827305340485,9319.638780327052,28962.661135460894,32446.515001603733,22796.891563853507,8047.265594111374
-231415.51611695468,-222219.14953374362,-209359.886676451,-191272.47971520774,-166873.7843585705,-135949.83915189755,-99609.56823450209,-60640.55143586076,-23495.855570900312,6395.137944351558,24158.716307162653,27622.427504388295,19253.220510548294,6586.767303367857
-102819.29061446516,-109542.57543537124,-113296.18729876804,-112525.83470089536,-105805.94683153849,-92213.15968284286,-71875.37189850971,-46537.162839675395,-19816.85260348798,3263.6420902381533,17750.107622078238,20991.798458362766,14641.413145767727,4906.105525537886
-33305.01076129385,-43576.17761121995,-52184.883553499094,-58013.01970830594,-59780.864642982546,-56314.612545437936,-47045.369772447724,-32634.599467577016,-15426.906722065356,719.5223585109779,11577.342982239543,14511.959726211928,10313.031803852153,3465.2030388198727
-8331.837392366246,-15671.304641085122,-22416.794147040568,-27968.0898815718,-31464.882903954007,-31918.1739498065,-28547.39176521021,-21290.36143381232,-11285.906867423764,-960.5267662549024,6637.497731019616,9248.749281454942,6904.747823700808,2406.697631514811
-5163.470868076851,-8455.824928497763,-11658.484347031312,-14543.418450474514,-16693.26123586955,-17529.837347594304,-16459.63019419404,-13155.581166254122,-7909.096887680938,-1859.011411691611,3180.8377897083465,5473.96152993105,4489.479513965591,1678.9638463917938
