q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qd10,qd11,qd12,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8,qdd9,qdd10,qdd11,qdd12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.010004835585169168,0.020008669693899427,0.030010500949998905,0.04000932817775974,0.05000415050217504,0.0599939674491257,0.06997777904552707,0.07995458591942553,0.0899233894000349,0.09988319161770254,0.1098329956037954,0.11977180539049584,0.9999499503799746,1.999599613059655,2.9986487504365313,3.9967972250966435,4.993745049891303,5.989192437992761,6.982839852921797,7.974388058540229,8.963538169001323,9.949991698651116,10.93345061187365,11.913617372873118,-0.010004835585169168,-0.08003467877559771,-0.2700945085499901,-0.6401492508441559,-1.250103762554376,-2.159782828168525,-3.4289111732308264,-5.117093498843234,-7.283794541402827,-9.988319161770253,-13.289792468059243,-17.247139976231402
0.020008669693899427,0.04000932817775974,0.0599939674491257,0.07995458591942553,0.09988319161770254,0.11977180539049584,0.13961246409658923,0.15939722379534893,0.17911816292737373,0.1987673854861838,0.21833702417967868,0.23781924358009823,0.9997998065298275,1.9983986125483217,2.9945962189963806,3.9871940292701145,4.974995849325558,5.956808686436559,6.9314435461579755,7.897716227047251,8.854448112698574,9.800466960645227,10.734607687687326,11.65571315120403,-0.020008669693899427,-0.16003731271103896,-0.5399457070421313,-1.2792733747108085,-2.4970797904425632,-4.3117849940578505,-6.841010740732872,-10.201422322902332,-14.508571197117272,-19.87673854861838,-26.41877992574112,-34.24597107553414
0.030010500949998905,0.0599939674491257,0.0899233894000349,0.11977180539049584,0.1495123269811236,0.17911816292737373,0.2085626433139806,0.23781924358009823,0.26686160841350115,0.2956635754923206,0.3241991990529282,0.3524427732627378,0.9995495834788438,1.9963974793309205,2.9878460563337743,3.971205790957706,4.943799308428412,5.902965408465716,6.84606307061806,7.770475434136019,8.673613747357654,9.552921281613791,10.405877204702456,11.230000409028547,-0.030010500949998905,-0.2399758697965028,-0.8093105046003141,-1.9163488862479334,-3.73780817452809,-6.448253865385454,-10.21956952238505,-15.220431589126287,-21.61579028149359,-29.56635754923206,-39.228103085404314,-50.751759349834245
0.04000932817775974,0.07995458591942553,0.11977180539049584,0.15939722379534893,0.1987673854861838,0.23781924358009823,0.27649026092157586,0.3147185102287024,0.3524427732627378,0.38960263886223556,0.4261385996847186,0.4619921475009909,0.9991993062741609,1.9935970146350572,2.9784043432182794,3.9488581135236256,4.900233480322614,5.827856575602015,6.7271170381643,7.593480400741367,8.42250030677141,9.209830529339737,9.951236765191972,10.642608177191757,-0.04000932817775974,-0.3198183436777021,-1.0779462485144626,-2.550355580725583,-4.969184637154595,-8.561492768883536,-13.548022785157217,-20.141984654636953,-28.547864634281762,-38.96026388622356,-51.562770561850954,-66.52686924014269
0.05000415050217504,0.09988319161770254,0.14951232698112357,0.1987673854861838,0.24752513195946313,0.29566357549232053,0.34306227465971256,0.38960263886223556,0.4351682250374387,0.479645028998042,0.5229217706681386,0.5648901725037229,0.9987490099782607,1.9899983397302232,2.966279585057047,3.9201867842580906,4.844407365840661,5.731752768968275,6.575188629199918,7.367864423471789,8.103142470013653,8.774626180969008,9.376187467895313,9.901993203050326,-0.05000415050217504,-0.39953276647081015,-1.3456109428301122,-3.180278167778941,-6.1881282989865785,-10.64388871772354,-16.810051458325916,-24.934568887183076,-35.248626228032535,-47.9645028998042,-63.27353425084477,-81.34418484053609
0.0599939674491257,0.11977180539049584,0.17911816292737373,0.23781924358009823,0.2956635754923206,0.3524427732627378,0.40795228865780836,0.4619921475009909,0.5143676700838485,0.564890172503723,0.6133776464013928,0.6596554146499501,0.9981987396654602,1.985602895478853,2.951482704232858,3.8852377170680095,4.776460640806896,5.615000204514273,6.3910227333943945,7.095072118127838,7.718127875189265,8.251661002541937,8.687687345335675,9.01881819779689,-0.0599939674491257,-0.47908722156198336,-1.6120634663463635,-3.8051078972815717,-7.391589387308015,-12.687939837458561,-19.98966214423261,-29.567497440063416,-41.66378127679173,-56.4890172503723,-74.21869521456853,-94.99037970959282
0.06997777904552707,0.13961246409658923,0.2085626433139806,0.27649026092157586,0.3430622746597126,0.40795228865780836,0.47084215372040206,0.5314235271805788,0.5893993846729739,0.6444854764142861,0.6964117208513027,0.7449235288435215,0.9975485504173996,1.9804124417594215,2.934027030264883,3.8440668789510286,4.6965633065713694,5.478019485766624,6.175522297564534,6.776850169848303,7.2705761527623585,7.6461655141060785,7.894067172400562,8.005798324292549,-0.06997777904552707,-0.5584498563863569,-1.8770637898258256,-4.423844174745214,-8.576556866492815,-14.6862823916811,-23.0712655322997,-34.011105739557046,-47.74135015851089,-64.4485476414286,-84.26581822300763,-107.2689881534671
0.07995458591942553,0.15939722379534893,0.23781924358009823,0.3147185102287024,0.38960263886223556,0.4619921475009909,0.5314235271805788,0.5974522097930433,0.6596554146499501,0.7176348555409482,0.7710192909545448,0.819466901132071,0.9967985073175286,1.9744290567618128,2.9139282878010073,3.7967402003706834,4.604915264669868,5.321304088595879,5.929743898617265,6.415236149110819,6.764113648347667,6.9641956758316494,7.004929664892437,6.8775181355381445,-0.07995458591942553,-0.6375888951813957,-2.140373192220884,-5.035496163659238,-9.74006597155589,-16.631717310035672,-26.039752831848364,-38.23694142675477,-53.43208858664596,-71.76348555409481,-93.29333420549992,-118.00323376301822
0.0899233894000349,0.17911816292737373,0.26686160841350115,0.3524427732627378,0.4351682250374387,0.5143676700838485,0.5893993846729738,0.6596554146499501,0.7245665014610757,0.7836066946447396,0.836297613412944,0.8822123227934016,0.9959486854445914,1.9676551361552388,2.891204582452551,3.743333469676182,4.501745816674251,5.14541858345951,5.654892563259613,6.012545465197927,6.2028440397769975,6.212572318355303,6.031033287735819,5.650221599340314,-0.0899233894000349,-0.7164726517094949,-2.4017544757215106,-5.639084372203805,-10.879205625935967,-18.51723612301855,-28.880569848975718,-42.21794653759681,-58.68988661834713,-78.36066946447396,-101.19201122296622,-127.03857448224983
0.09988319161770254,0.1987673854861838,0.29566357549232053,0.38960263886223556,0.479645028998042,0.5648901725037229,0.644485476414286,0.7176348555409482,0.7836066946447396,0.8417411658035716,0.8914568277869506,0.9322564414336316,0.9949991698651116,1.9600933921290453,2.8658763844841375,3.6839322117358946,4.387313090484504,4.950996601525163,5.352315859874255,5.571356540665319,5.5913150865197725,5.3988129231493485,4.984162078748572,4.34157823220914,-0.09988319161770254,-0.7950695419447352,-2.660972179430885,-6.233642221795769,-11.99112572495105,-20.336046210134022,-31.579788344300013,-45.928630754620684,-63.47214226622391,-84.17411658035716,-107.86627616222101,-134.24492756644295
0.1098329956037954,0.21833702417967868,0.3241991990529282,0.4261385996847186,0.5229217706681386,0.6133776464013928,0.6964117208513027,0.7710192909545448,0.836297613412944,0.8914568277869506,0.9358295137190885,0.9688787666460292,0.9939500556248773,1.9517468523067867,2.8379665103733975,3.618631550978899,4.26190339449787,4.738738552001278,5.02349729152763,5.094494301739954,4.934481780874761,4.531056435225974,3.8769830630952744,2.9704287094821114,-0.1098329956037954,-0.8733480967187147,-2.9177927914763537,-6.818217594955498,-13.073044266703466,-22.08159527045014,-34.12417432171383,-49.34523462109087,-67.74010668644846,-89.14568277869506,-113.2353711600097,-139.5185423970282
