t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
2011.9999999999998,1870.7049999999997,1739.2199999999998,1617.5449999999998,1505.6799999999998,1403.6249999999998,1311.3799999999999,1228.945,1156.32,1093.505,1040.5,997.3050000000001,963.9200000000001,940.345,926.58,922.625,928.48,944.145,969.62,1004.905
-5778824.367255763,-5196400.221174554,-4618871.307020345,-4049122.1127421563,-3490542.872547431,-2947173.0147083006,-2423814.991944294,-1926101.3644909426,-1460492.230163434,-1034174.1285673347,-654826.2190275582,-330216.02377886267,-67586.90539435983,127195.35317032108,250756.76880169334,303587.5656952365,291635.92157217057,228039.19783942009,134849.58669299702,44542.743963868816
-4593725.905815269,-4289265.747185581,-3973165.853740568,-3640570.2799489317,-3287860.241826139,-2913188.2838910664,-2517070.899687512,-2102994.063238443,-1677944.5729921788,-1252733.9231054005,-841938.8461035173,-463257.50351755135,-136091.8130342779,120762.92915767494,292290.0769781924,371017.04755766515,360798.04944255087,279714.43442970025,160954.1140473359,50517.50237320157
-1101227.2687909482,-1169878.759213812,-1226664.2476002555,-1265299.0214053746,-1279296.815838052,-1262278.282579514,-1208584.5265360088,-1114221.7215704445,-978089.7648264968,-803334.6621899961,-598519.7292422701,-378167.27480820235,-162142.22642532864,26581.673383723926,165928.72281823077,240083.37995077376,245026.49169176508,192356.74156837145,109256.02774606591,33088.92298603801
4442.326736245324,-51563.531648902535,-107169.85994410887,-161518.07731538033,-212984.77306343283,-259012.3797040689,-296073.4792092789,-319860.91306327446,-325801.9215629589,-309960.6834394527,-270297.9908429657,-208089.93084918414,-129091.87365678238,-43843.7196826693,33523.309651842814,88346.30046701073,110053.29730689332,97066.66783001042,59797.9377666674,19350.433859932207
-170985.50448691723,-152265.35885235365,-133414.83212430912,-114723.51392639277,-96881.74772571801,-81037.17414718382,-68707.2507743991,-61452.393814969226,-60251.801799999455,-64653.543707531884,-71999.55783342247,-77277.45750110723,-74225.3097249013,-57943.093931254,-28310.674019831305,7707.389187470518,37343.549472386665,48101.498113179085,36467.05695492397,13422.315864075927
-198528.22209686492,-188943.79267613695,-175708.865511845,-157386.79770872954,-133233.52774905905,-103713.56807060658,-71026.03397314719,-39329.64597007471,-14228.619472719056,-1168.1368780351743,-2867.1348651448316,-16778.735981666916,-34378.37699082791,-43962.936012413724,-36847.1508322996,-13795.083018442332,13512.326121757813,29255.08970755506,25435.92407451359,9671.641917545023
-87722.35107843098,-97808.32080803583,-104625.31225321876,-106334.45723640654,-101186.11732266072,-88079.14371359632,-67403.61632402432,-41872.16850157123,-16740.53762568741,1295.5766804490777,6804.665860882266,-941.4439848288305,-15995.944027223642,-27657.998866695714,-26611.801237899657,-11799.721816575347,7763.774005963532,19314.938575501135,16775.012885419317,6144.987101855072
-28303.73443545284,-39103.85760271977,-48383.69134022352,-54973.24061364447,-57449.291029165746,-54487.97935412243,-45544.68817943526,-31686.67207391738,-16085.683706621434,-3481.4057945945315,1765.2226147129056,-1600.9818900802413,-10058.952835251526,-16668.70787037989,-15515.166514448778,-6284.458347290497,5136.447918530556,11291.395975808697,9346.624555193188,3243.1968347498287
-18921.914613606965,-24253.022570709676,-28857.187284965003,-32114.888318155445,-33246.10863861307,-31529.871612351795,-26716.71900253127,-19495.79200870295,-11683.959187222657,-5752.207658848358,-3622.103134849793,-5327.662264111515,-8627.367555002855,-10254.836657375206,-8178.580029886642,-3118.025515661991,2043.0550290992464,4513.685511743481,3635.0539425998295,1136.0074000721545
-22961.137838042505,-24614.049363685353,-25508.61185700233,-25220.390487842342,-23414.064953928602,-20067.33300041294,-15701.609693026392,-11402.41412326953,-8420.894771785834,-7430.041634904374,-7955.250139944127,-8616.442255798847,-8189.452439520522,-6561.499595316393,-4594.231629506783,-3088.6870635462296,-2094.7559174816593,-1270.8888536434729,-586.3855452695149,-337.4540498047693
-28773.296731405375,-28248.520421343877,-26679.71052881914,-23712.584335890595,-19381.44714118397,-14381.54736228022,-10097.903386307818,-8059.453248359391,-8843.354434555064,-11203.200760239231,-12574.460419757783,-11128.338377920081,-7630.297546721438,-4873.28523655525,-4862.319754917222,-6751.175450336607,-7876.3284749540235,-6593.924354850032,-3710.5310403748294,-1315.8210587558906
-37250.22350960309,-33844.79075344157,-29226.72788280687,-23306.293822540905,-16778.21177742081,-11286.444986929526,-8913.951086483485,-10763.71529812806,-15402.44800675856,-18955.92766146286,-17893.83211324775,-12554.795434915983,-7432.224228801496,-6990.086705939194,-11155.520748849991,-15515.094987151326,-15804.587392439125,-11596.640342912291,-5851.2765369688805,-1852.399459530323
-48473.41734318208,-39977.60035874119,-30814.24332441279,-21771.192551079545,-14790.014875180623,-12447.356552894678,-16212.315837375185,-24198.662417646672,-30800.648685532782,-30283.69655207398,-22356.05878255183,-13682.60283464197,-12088.310057332843,-18818.00166598318,-27443.372458656082,-30346.122996589846,-25246.56771501738,-15689.539227570449,-6906.311170557205,-1998.2747197061376
-55286.54039546786,-40909.80404708911,-28317.015407009025,-20044.7268660517,-19281.209728436454,-27625.540330626,-41957.496623035,-53645.747513852155,-53556.23649828573,-40784.901897741955,-25911.60434390674,-22354.055531810693,-33286.54171640903,-48707.35898013797,-55579.11828642182,-48992.17936838975,-33699.65937053279,-17850.914725894094,-6911.573388543884,-1931.2008466850111
-45171.80337847214,-31964.991892017875,-25732.999993224843,-30563.258168221626,-48100.5299615508,-73397.34846022892,-93486.89763129324,-94182.03725457656,-73487.13350825608,-48060.73209872875,-40605.32671957761,-57908.39775355218,-84245.79533506787,-97518.5866559391,-88512.86898979353,-64197.82888380086,-37560.4810219645,-17607.172468694098,-6544.954721363044,-2099.0453959654637
-19869.357831530167,-27201.38543690958,-46726.73493816883,-80380.59502193444,-121564.53027879487,-152983.05980106667,-154790.28424779006,-123244.56714553582,-82386.01166574722,-67971.56807646732,-93215.6700095617,-135018.88790924457,-157774.09573349022,-145429.62669823194,-108268.26150907714,-66686.95705892338,-34860.00041128711,-16275.674350327492,-7478.093622875399,-3242.4341911117453
-18799.9484701039,-66180.66004682911,-123008.06662577289,-182234.7365326622,-224431.5783064436,-226057.8638638793,-181745.5267062679,-122178.77206299527,-97542.14264676202,-130463.48796156656,-190694.91597493476,-225600.71542454814,-209410.19599073468,-156493.8212590169,-97323.84368070184,-52940.51353775125,-28109.890998885832,-17261.28392681625,-11934.002114242827,-6023.185236090986
-91006.72319412426,-168911.68927596838,-239789.71960254197,-285270.1508300176,-282223.75513661845,-224845.6894790167,-147100.19237004494,-110197.047320315,-147635.8966111229,-225445.49898941975,-273834.1058894947,-254798.24720027333,-186260.46237926473,-110427.78392587381,-56503.35717411742,-30440.787744107496,-23809.471020334266,-24180.164611484066,-20993.404435251483,-10209.38512891573
-213074.79239503003,-274618.9213122993,-307660.4982195276,-292411.51186475245,-223567.37251462124,-132924.15280883352,-84220.6796908982,-120075.9448090348,-209502.22541497662,-270976.972858759,-252969.72662234705,-173726.0444137423,-86324.84165332216,-28633.826885463655,-7966.054813201722,-12991.78305064764,-27648.14166855036,-37444.86549603625,-32590.541746646948,-14148.390391788982
-279623.72264713846,-280970.87086729717,-246102.29476644922,-169288.93177222225,-74537.63344228378,-17519.43041134476,-44526.49872315458,-135173.30772867656,-207325.61231184105,-197122.0895615598,-116649.33761275228,-25197.968476154834,31201.49887191701,42918.188267210106,23170.09723191784,-9741.86681983484,-39462.05656926946,-52423.47397870077,-41598.91138711211,-15596.840952205375
-222380.26933848017,-166075.88439655217,-86547.49057968333,2959.1519710743464,62524.65912427521,49647.83770933925,-30216.738729632994,-107975.34797999157,-112791.91953327997,-42749.21633061199,45305.383953550154,98988.7673112811,104307.77326584318,74301.86552126634,27835.552707710725,-19217.386903107108,-53050.76672047937,-61805.16179605274,-43113.89696111474,-13586.97939592162
-89394.94229834471,-13897.019313731807,63335.77132791196,119288.52378110467,121320.91931108746,61806.33580171636,-13562.584669469548,-37012.27833613342,11993.021856288155,90110.76065346367,142610.311792235,148492.7490543819,117569.95658502505,67928.0519798397,13942.717135218962,-32955.07376171914,-60894.11143960538,-60634.7806113624,-36266.13189216338,-9318.391486084303
26598.135540166564,88044.58332698901,135900.17423476785,149144.23450244174,113714.49164621858,49970.78855630259,10930.748818134325,32438.679267016916,94220.63258257225,146500.34127719974,159803.95091445066,136861.5709027852,93552.08864448551,43191.746450101375,-5261.543262110666,-42791.79563481125,-59064.38033571841,-49500.96369278422,-24692.144524119827,-4996.529965160057
83878.69039399417,121658.15769697887,140330.4226718664,126123.8939260696,80782.75870851989,35395.441491284575,29680.89578568082,68953.69061733378,118266.51426771338,142141.6017287766,132576.60122288179,100805.08291546318,59606.519312182805,17035.97212890861,-20554.880318906944,-44956.00610925161,-48629.18659844615,-33418.01444599659,-13421.492404445162,-2061.6799508823324
96927.07554922327,115640.86714518195,115512.67134242825,89698.26860094618,48944.232235694115,23784.55289948655,37168.74278199666,76752.20713070844,109151.0187811186,114667.52811699465,96282.81787277777,65401.96523372885,30631.051702612825,-2669.9540240632004,-28593.351558277012,-39910.63883012516,-33813.39290451814,-18126.131512225224,-5558.483931898453,-614.288686603752
92861.81325119852,98757.15753014087,87953.37918403577,58834.67264724811,26512.784470688566,16849.730886247424,39134.738634202244,73037.20607086402,91925.5018380008,87386.85949952606,66636.39183305432,38999.30715463022,10378.995316125132,-14568.974099833495,-29807.90583432029,-30395.417407748075,-19207.267988261327,-7065.664728254573,-1395.922405060586,-29.79670480546082
86539.99139289587,83413.8824235842,66246.64953232903,37467.05727984073,14073.662419175627,15901.089235473526,41706.62338398194,68481.24800270323,77213.32098841674,66903.8840080293,45877.78081691195,21319.548638000255,-2232.499312483612,-19950.28298178934,-26180.469633570206,-19577.930293095156,-7765.8306410942805,-661.9509890388579,409.96080757588226,300.66214064845417
81495.83456076987,71597.22744641503,50745.176065623586,24608.080763730097,10257.472493485873,20657.38689671092,46550.490457858024,65675.917805892,66462.02283814707,52592.395039840645,31987.702834405096,10054.83345633696,-9206.278368302099,-20658.851609496734,-19955.1063482744,-9801.10839747159,-158.43547866264996,2594.908002293201,1358.3734014920649,683.818636781629
77411.95625461766,62635.31894699255,40393.4696295012,18754.231164613982,13184.670618573744,29399.359163137055,52719.80533450297,64150.3635201396,58763.85654392194,42775.357448494855,22916.104925308628,3258.108561838958,-12242.730718203207,-18373.46002889154,-12875.732238136641,-1915.484566524355,4719.916717586051,4616.8470152097825,2351.1410789128304,1178.632883299096
73953.38099649707,56112.76448412317,34446.520471932774,18488.358380040783,20754.21631221137,40085.69352767726,59038.96602778939,63372.73798895168,53437.66271574239,36311.50634634817,17268.470571063906,-450.8980089165965,-12604.251637788666,-14243.29785823703,-5633.110873519621,4676.378524705218,8576.261610468766,6666.882720926165,3636.8598356318043,1723.9173162127206
71059.4047549742,51720.98377319359,32007.890763651692,22042.293298861554,30625.814931705667,50796.83736138518,64634.320440064,63022.56780065389,49954.12569572078,32266.15906915546,13922.005925806963,-2096.7794873120833,-11000.058382034968,-8533.134807854467,2176.0991677166317,11121.078580170253,12506.12210464888,9030.93586320274,5044.054896839945,2217.555895753928
68149.302756998,48506.325970908016,31439.021595146212,26968.631292841375,40071.623574760335,59478.48504208756,68408.3681414761,62338.0642103844,47339.33510581705,29462.42884809775,11809.52303811179,-2274.397298139029,-7375.842054243341,-765.783511450757,11091.707973537994,17750.15249767241,16365.040524357126,11246.729522672662,6227.226500296533,2550.2852624062584
63850.30345985468,44783.27841242987,30503.16166713362,30452.120292679643,46222.71364831647,63908.7243316081,68806.53309198376,59924.448229881426,44134.75497613128,26595.68904115774,10163.507609843735,-964.4029507979424,-1265.7115943440563,9060.670149103265,20269.668564694974,23357.152137206802,19074.901668918897,12598.93802093574,6849.083981889857,2632.061690104433
56762.672099763,39008.792888290955,27384.108302195888,30412.409355500153,47080.680832667,62513.01496730052,64533.3903343307,54479.94064199131,39105.772980094414,22832.131434461455,8813.751868188116,2067.6866266045095,6879.222490303909,18975.368992433083,27086.076859124252,25988.060122743518,19577.61121718815,12589.365031087684,6711.54764318604,2431.216833985655
46677.0575933088,30948.963095232808,21851.08514022294,26692.583335410436,42699.623942634185,55523.565005054115,55704.62593311732,45868.90354145074,32075.338292559907,18207.286288101335,7888.743183000397,6174.267810182957,14589.786240826348,25366.84790795184,28882.78348307218,24600.83784338163,17639.339948925997,11181.031896515078,5842.590232079064,2008.585962122405
35010.82629391033,21952.715201346513,15383.569321500747,21108.00699462342,35270.10261814519,45195.23530826772,44186.651195997045,35425.95686893309,23980.28600907184,13263.058436469631,7048.141580616853,9318.13156453369,18434.40491139064,25622.663052917105,25233.286566887087,19917.40015113042,13933.764786777792,8775.802230560876,4508.746140518906,1505.4751517056352
23920.13978275012,13940.954849954238,9965.213062825405,16059.966707767764,27702.735832046088,34554.87847255259,32583.13333275889,25092.15377129213,16053.956274414308,8327.57058637029,5305.958745577949,9320.503816394543,16734.68067895765,20328.28320645041,18225.211906874927,13775.97144462099,9553.327015332612,6018.397319786869,3119.5217196270337,1071.5633954224697
14960.291433049264,8099.065143356179,6680.002046237976,12943.039945534063,21908.131455153387,25743.68638645217,22792.907422310618,16250.10999645419,9023.538444360069,3327.74431493635,1896.733985761938,5746.905771496309,10916.809453989485,12559.873047434963,10714.568816915176,7918.146366748308,5480.696844803275,3554.0780571585938,2048.9375879742784,780.6848527206706
8499.898314839724,4438.323860293188,5326.407310068024,11676.720004811483,18185.408204015657,19336.55111515977,15388.824426410481,9291.880702867566,3028.009907075476,-1762.3924985623235,-2839.1570005091403,255.6283843870383,4087.3122293069123,5414.21649461054,4620.008361835312,3324.2292781621054,2337.3787073187395,1832.108569695544,1471.6422065417973,604.1220480952886
4084.757622597063,2288.7456885862525,5032.437301409588,11363.500171440872,15817.472554220083,14824.221086344185,10005.154709232082,3978.0680786935054,-1981.2229632688743,-6553.219138269938,-7615.396995759088,-4831.9050265470505,-1281.977308108301,415.7247484020568,528.9019780080067,260.0562707250498,374.57016602014926,1001.7036946200926,1313.609551023802,456.7575718659673
1089.1623163363276,979.1665481719647,5022.283992278701,11153.206413368887,13969.999605660398,11449.84178994351,6035.095021619957,-40.93994965840352,-5953.6310882561775,-10396.445342252038,-11135.669904189497,-8065.146758493318,-4371.2230326163535,-2393.630801989346,-1790.4351219790292,-1403.3006795796337,-447.3682050127542,912.9329844016366,1336.2177098031596,265.46814204705964
-913.9013434305418,151.58101962378703,4941.710702965008,10645.419111630421,12176.717152170457,8707.757800116235,3044.548397883628,-2982.23579317512,-8765.766513212122,-12803.17374000397,-12817.231756075056,-9266.279310341464,-5567.459493806706,-3619.5249809807283,-2807.2386388692557,-1943.9783503486244,-382.4624311803984,1207.0395276447234,1282.314300748188,5.3974958609449
-2135.21142273688,-301.2491337304236,4755.660338313865,9815.661339201279,10340.954831250125,6401.941372933095,823.3417178646279,-4952.707353047596,-10367.369560292731,-13678.63072439299,-12825.472072174523,-9008.390371006464,-5609.8656800106,-3879.043251053142,-2944.2410311546505,-1696.5825352849006,160.57572959503761,1458.194764829043,990.8823340124889,-305.48686900350384
-2708.175897345431,-430.9532334265824,4506.522260935632,8767.625258925375,8528.553602204769,4494.014268530994,-729.5609187221753,-6046.939183394503,-10851.406923064043,-13258.247561238499,-11688.679302542207,-7975.126468163826,-5084.915636213789,-3599.716060445217,-2548.1011525289723,-1056.4990754073508,685.706306539955,1319.996034683787,434.6563739484739,-630.0990392570666
-2819.1020128048463,-381.07498545918406,4143.391662497632,7547.33405640918,6788.512492672354,2950.6566026103806,-1721.052488701262,-6412.062891917705,-10432.07997845498,-11922.807720791097,-9944.550198098554,-6657.461257110843,-4347.909532049376,-3080.997013966079,-1966.3392130023205,-497.07175671628494,717.9109235819242,636.6151936064506,-306.1878372381963,-931.989928944251
-2776.1880136629557,-440.5149794471665,3474.0526687109605,6083.568122909341,5075.932423464815,1662.0858098496255,-2330.356116857928,-6277.263182455884,-9407.574781512523,-10075.38592554878,-8012.217295710034,-5361.2880369282475,-3641.8874911285,-2614.7582692862006,-1610.9667887096539,-515.1325477641396,-35.447466574067704,-511.1657867532604,-1097.8976087200413,-1184.5969952823818
-3009.271049729061,-1008.0673932892605,2220.1920401963666,4228.404431421644,3259.0140543074904,425.40910862750326,-2831.270410528685,-5965.281325985285,-8147.940319193994,-8118.168608078164,-6226.921032126388,-4323.769700328132,-3214.1018760842026,-2543.2860209304736,-1918.1339874358728,-1451.1353466008404,-1522.5781877410768,-1846.3549358233909,-1807.1504360264473,-1373.1466303122666
-3980.0926055135765,-2465.6407420062997,152.65590454330794,1860.4754094519571,1182.2275666842293,-1015.3733198901482,-3562.436097159358,-5867.82635692583,-7076.941751713883,-6458.287876506411,-4895.647167555897,-3781.0880871212503,-3331.351079845492,-3190.7885231338487,-3157.3091706779965,-3240.7035002124817,-3310.4355090271424,-3020.5748928223893,-2341.761878319197,-1493.2718047477556
-5997.051460888493,-4979.557389065207,-2736.188325073602,-991.9480125371783,-1236.3468544253205,-2872.984388973695,-4828.387645255132,-6350.862521883524,-6593.042518490998,-5459.221920862148,-4275.8293950172,-3925.24009816606,-4174.270628456379,-4671.380961921751,-5171.230556802174,-5308.021142590094,-4775.211017978787,-3772.506521781112,-2670.62522464203,-1548.110328922289
-9010.654573261201,-8327.972985007942,-6120.401050117758,-4077.1252190975433,-3915.8205555978966,-5195.277512953992,-6755.5952242940075,-7602.828816053176,-6926.855864799497,-5322.860201546051,-4473.784905967845,-4783.084196089342,-5676.5907747255615,-6696.847975028424,-7287.314161997324,-6807.547518525988,-5444.88690905036,-4032.2008986430674,-2819.326093511018,-1544.3590145637518
