num_links,le_time
2,2.2944614
3,9.6298008
4,28.9014621
5,72.6537497
6,150.2632171
7,291.3126127
8,508.1604058
9,846.1100163
10,1335.492562
11,2003.8478
12,2959.2066
13,4235.2788
14,5880.0619
15,8028.234
16,10799.9322
17,15248.007243499975
18,18854.385001700022
19,25132.58156239998
