t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
368.825,364.87,365.82000000000005,371.675,382.435,398.1,418.67,444.145,474.525,509.81
17668.95627740561,13829.563053865288,10206.412104467705,6907.841125701317,4044.402657832967,1726.9338267601265,60.249714675477776,-871.249579983906,-1031.4029441587231,-480.614686703665
32074.241750579054,25162.919612263202,18592.066375413677,12548.895984331371,7239.855639461156,2887.977991945354,-281.9387166448796,-2078.3163836042895,-2407.8516510386507,-1380.7697719574687
41483.91820323738,32796.47545506289,24434.8083089152,16615.12770027395,9611.7464409003,3757.0538706117904,-583.6748049431103,-3076.848234718701,-3538.233786709781,-2109.4988076191275
45067.23200460265,36062.47598065463,27231.69753215932,18764.580257836715,10965.35237283731,4261.624608049256,-829.3586304409087,-3801.626709951592,-4346.577266520946,-2616.0521587331564
43309.37120895715,35241.381461915495,27107.9667195687,19026.26768479278,11288.542123404786,4388.458244069758,-1013.9181286733498,-4229.674993832975,-4805.897443927953,-2885.673083458185
37657.115008585206,31329.715235439035,24682.383047232513,17733.800996056816,10726.192132551427,4177.786441763533,-1141.7515699355245,-4377.940164993289,-4935.694197104327,-2936.786840574072
29956.86335543496,25654.222830435338,20827.949011548237,15395.786191717169,9523.116785601705,3707.377300256194,-1223.5543386851953,-4293.420218135618,-4790.775264949973,-2811.7825153521403
21917.200402977316,19489.371768754427,16423.405793008307,12553.395662858755,7956.989097893852,3072.1697975680186,-1272.4364897986172,-4039.5035834601968,-4445.597153763152,-2564.8759181746805
14761.61411894711,13795.55604236321,12171.176681408866,9667.86890914547,6280.926141863358,2365.155896773126,-1300.6400426466278,-3682.498722841532,-3978.617311510459,-2250.6079767255237
9121.388465924863,9120.188983760812,8514.219330009106,7059.681349069163,4687.452022540787,1663.5040377705327,-1317.6044164356406,-3281.272679490746,-3460.0380677173994,-1915.4626636372566
5119.2419638071,5635.6792588223,5642.235250144852,4898.734262163228,3296.0344006522496,1021.4948162160626,-1329.4559058771829,-2881.2852593545895,-2944.533400782415,-1593.5526281765005
2548.0334068965826,3253.0679355336115,3553.2306570558953,3230.12171592358,2159.200285898047,469.68068670827336,-1339.5115038138156,-2512.8101993742303,-2468.860212836741,-1305.9775910062876
1055.4081120689284,1750.0268369959974,2132.7057282047676,2015.6214392168679,1279.0802392820397,18.385137068979446,-1349.2124252139956,-2192.2091682044806,-2053.159809297017,-1062.6872884012798
280.9457304794617,873.1104907626091,1223.0723613965754,1174.6467275209861,626.681154205629,-336.67495362503894,-1358.9909586377557,-1924.8494459486612,-1704.3700484317724,-865.5176198294379
-69.11556145943418,399.58514285477406,670.6268301199717,615.4611632134169,158.6697729699855,-608.4839621588328,-1368.7920052559848,-1708.4613045373762,-1420.3319417580456,-711.3285700299751
-198.90329594953943,162.62979940350743,349.39303602246605,254.11572873358438,-170.67524535274117,-813.6823749763902,-1378.1899322833497,-1536.158847373166,-1193.614868511146,-594.6023013266307
-231.41104287492647,52.01403089301438,167.6187729514603,22.854057193027216,-402.464191781247,-968.837335551467,-1386.1912761650774,-1398.7822027926095,-1014.5619098486112,-509.26069752240426
-229.9153376051083,2.752263818210068,64.25680694271351,-128.5431875153344,-570.0514805435553,-1087.9937938308692,-1390.883763022162,-1286.5394364336046,-873.4284020131939,-449.7346238653042
-220.24229545827018,-19.280856194846464,1.442423859642119,-235.06344656908982,-698.288388922916,-1181.2280800199203,-1389.1067487274013,-1190.1022162285913,-761.7073279025511,-411.44964452143404
-208.3329988731465,-29.960089019040794,-43.258469603384924,-319.89394559608957,-803.8937381753625,-1253.8931127663693,-1376.3081567779066,-1101.3623211648542,-672.8230773141065,-390.92020763363513
-191.9820753520496,-36.07644856233436,-83.02450346122941,-397.4779529680035,-896.0727920757776,-1306.3505465645444,-1346.735511747039,-1014.0267651653126,-602.37517954215,-385.6138168900064
-167.7693118873238,-41.13413245253135,-125.84594546448882,-475.51366864091545,-976.9667912678783,-1334.155635178305,-1294.0814013547104,-924.1546973957566,-548.0710272744984,-393.6970915594852
-134.7402517438189,-48.48453136307704,-176.5890269236429,-555.7741065841976,-1041.9247146580237,-1328.827819761482,-1212.6494418074708,-830.6469655435446,-509.4351076008763,-413.7301378675039
-96.09771292240163,-62.511573977178514,-237.40486767414035,-634.0038218298514,-1079.9245584043838,-1279.4397999875332,-1099.0052464263974,-735.6102540878682,-487.34212418482696,-444.34428404299535
