t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
878.9449999999999,806.3199999999999,743.505,690.5,647.3050000000001,613.9200000000001,590.345,576.58,572.625,578.48,594.145,619.62,654.905
-182511.43679666586,-151912.9563788092,-122365.79710923256,-94422.18682816923,-68656.73094768061,-45665.42069555618,-26052.626399478773,-10397.290045361338,813.9438953550127,7302.525886094407,9181.797315722308,7229.879484031099,3272.539730835738
-304447.50176565256,-255883.14098850056,-208467.59491290568,-162920.59603042042,-120116.79369239484,-81107.9400602114,-47106.962423851845,-19410.291657403224,770.6050947197256,12598.614183062567,16043.87141479339,12461.500865291888,5275.860329114006
-335965.6876028021,-287219.8775985348,-238583.07531850477,-190440.938291468,-143558.01334496916,-99164.29485979614,-58972.68898264545,-25073.57187807623,356.1036613151451,15580.532924561621,20075.05550611039,15450.998516962138,6309.142136729027
-290148.8158061606,-254719.80031259675,-217895.49388873394,-179427.00414715413,-139623.43181589435,-99540.04779990563,-61090.496317390614,-26979.094958488397,-327.6477646174229,16099.140955212115,21047.315397244354,16059.946880529238,6361.614086362547
-205727.59361664028,-187991.64603517466,-167778.59796455296,-144244.32187961778,-117112.1728264565,-86967.97127505024,-55518.19735581021,-25648.396077125508,-1066.3046783168986,14643.044602642476,19509.11811206464,14772.4226278297,5694.392300465143
-121445.41357074285,-117997.98625515786,-111863.09742129869,-101887.45199215069,-87316.82377386432,-68158.24657981734,-45583.60031850451,-22167.80102347706,-1654.1474054937144,12023.043980825432,16423.355216906737,12377.49332242661,4669.99373562014
-59516.728107087714,-63778.49267253754,-65870.65743153714,-64661.55944997229,-59170.90741573701,-48931.25102476985,-34475.12474240935,-17733.634291656243,-1979.9848117931888,9037.385461708487,12768.506181289,9637.076424617777,3596.7280549462344
-24042.468022144676,-30308.037468571845,-35204.05886572272,-37839.55727890664,-37266.82532273525,-32779.63257078644,-24391.165694002495,-13309.471265414362,-2042.4924930728628,6260.9135989169745,9274.14616143043,7083.15231046167,2654.9432504578804
-8529.69459353357,-13649.19788287753,-18090.814401396165,-21268.363670955572,-22436.156576993057,-20892.996925134186,-16370.73305830387,-9481.241960223157,-1912.5783298202539,3990.186688576987,6338.255881033503,4973.8663561547455,1903.5336591285225
-4117.600140373074,-7208.867143938283,-10035.738739571461,-12268.866870717256,-13420.368957720751,-12958.840459539651,-10568.064071657003,-6481.146373196901,-1682.2820221381294,2295.257761827767,4077.152040126124,3355.101609068287,1326.3636876323333
-4134.1469866136995,-5549.031280692292,-6853.0791901778875,-7881.325271838134,-8374.87999463729,-8035.659885136226,-6656.07291151962,-4297.57917060888,-1429.4324344413112,1108.5386156993852,2428.997191367594,2154.932226269346,879.4525211324333
-5029.412162970258,-5468.251979917937,-5788.259914876733,-5901.4338765818675,-5710.178817936247,-5137.08779565302,-4152.899599414934,-2795.4966335664117,-1206.12228050185,302.47046377793,1251.4528715585327,1262.1976966196717,520.342141957161
-5520.647908456226,-5575.362807899148,-5435.874807876086,-5029.308376416023,-4348.779000227536,-3488.9176848735387,-2608.236980353119,-1806.9352010985617,-1044.7432946286026,-261.865694030265,387.900758853673,572.8654060965324,219.26176790287514
-5470.490706826189,-5504.187773606029,-5257.23319589981,-4635.583373936934,-3668.112994213023,-2570.560844391756,-1674.3011479249483,-1184.1448445765554,-971.8400469715792,-712.6145292966244,-298.3154424759966,8.729566471836307,-40.65732173444478
-5133.307229758911,-5318.503433120583,-5144.841640124606,-4478.00950800792,-3348.9415881834725,-2062.524503492251,-1112.376906636863,-825.301822227475,-1022.6287344431003,-1161.1438349091825,-911.399893093323,-480.30074935485254,-267.1883068815713
-4809.937177300019,-5200.302078152056,-5157.153781367638,-4496.002645629595,-3238.293366288109,-1777.06515533554,-777.3954287513945,-686.360613233638,-1252.0890490187069,-1701.8313281758556,-1521.3657090224053,-920.7839121029807,-462.98914516488867
-4751.87508385529,-5332.286567566657,-5391.750552785842,-4691.608106068745,-3257.154826598389,-1606.532781202849,-605.5618212865659,-788.185989689028,-1739.3898041498167,-2410.0999877426693,-2165.5715902005904,-1321.8213767868044,-628.5207186119089
-5166.397954687111,-5869.109221982817,-5931.836975767355,-5067.079278749158,-3349.777213449627,-1499.9781630877285,-614.8866021660195,-1220.23586729618,-2581.344994088979,-3334.5016191317286,-2850.2557046582124,-1680.681232380141,-763.9762727194004
-6234.553337789366,-6927.692021877286,-6817.313515849536,-5592.470591516592,-3466.6211157259327,-1468.4297648214672,-916.0104191352273,-2133.40827650983,-3869.8489731615414,-4482.380555042199,-3552.1393575240163,-1987.8949134610025,-870.6399528300196
-8100.015877706999,-8562.58526935903,-8017.565079302971,-6192.732433792419,-3577.641333716867,-1612.092432006259,-1718.2746093691649,-3708.3026937203786,-5650.911177319601,-5803.091807092209,-4222.187511796006,-2232.3209734520506,-951.9807553078773
-10814.356542023737,-10718.993706088508,-9406.309853553392,-6758.439728144732,-3713.1270739555357,-2150.604772260041,-3304.628777966393,-6086.457294279223,-7871.298783689025,-7177.211165520305,-4794.044656676546,-2406.426444961854,-1014.5348793979831
-14247.667518866412,-13179.326786958061,-10756.528571400937,-7188.883637867775,-4017.719198526816,-3420.922378072592,-5947.185135429503,-9267.09205698826,-10331.679135514216,-8422.381260698523,-5198.373644499077,-2511.3968228907784,-1068.3661774103332
-18001.847800913165,-15539.633604346982,-11779.839154237681,-7464.091942256463,-4780.938619463634,-5799.351780156434,-9755.970221452777,-13000.489278266252,-12675.592852361642,-9323.450843236657,-5381.598168488458,-2560.990307760591,-1126.6906008400044
-21389.532707732535,-17259.13135527075,-12220.407932604649,-7714.276970849428,-6391.060496786279,-9526.189103119363,-14501.17236637823,-16737.701127211323,-14440.69894138424,-9685.208837143024,-5324.421592520706,-2582.6310462686597,-1204.2028873118468
-23540.814562132615,-17803.17499425672,-11976.910532531432,-8228.944677799793,-9176.45054886736,-14474.12702981372,-19503.32337865477,-19698.73395046147,-15175.50620000145,-9393.305313110313,-5053.614900189214,-2614.409199339331,-1313.8833573895408
-23650.47304501963,-16845.16285324356,-11186.4903704065,-9355.319420023663,-13165.5823599614,-19979.21889717433,-23699.904041752787,-21077.312376349302,-14587.880107785271,-8459.976061135989,-4641.429789101785,-2697.6148560960887,-1462.663715601777
-21289.81142219095,-14434.527680554618,-10199.34591710844,-11296.661114195891,-17885.802026731177,-24880.624818931774,-25930.79265478902,-20321.00332688462,-12662.876884150197,-7033.07666051746,-4190.896295819585,-2866.0499939490187,-1647.1594684408171
-16633.963796841195,-11026.080999622827,-9426.16566467188,-13908.885188694976,-22357.446407322073,-27835.267162396856,-25354.728138613904,-17360.464405664185,-9690.650142644326,-5361.100836173274,-3810.751285634599,-3135.06309601302,-1851.3099580391686
-10465.727780616357,-7329.601624917091,-9128.981103005752,-16636.495040583537,-25361.075721373512,-27806.883211305292,-21799.88418493646,-12666.454621594161,-6185.190902696897,-3726.456760159251,-3588.1552120778233,-3494.146104102371,-2047.6437338973
-3927.642221513763,-4045.7997563761555,-9280.16276222419,-18667.870042241386,-25886.99813451409,-24490.158668227858,-15858.68994015778,-7098.305192999579,-2728.9569941194327,-2373.066160706453,-3568.337954567104,-3906.28260237654,-2202.7122233589403
1862.2111952629043,-1626.542646692226,-9579.58215145787,-19251.123991084238,-23539.46724253222,-18440.606025024183,-8673.64825591425,-1619.1750890223047,187.74018292645093,-1454.5806204826786,-3747.3224802362924,-4315.0104826365405,-2285.373491625063
6142.850123948902,-175.84597749198096,-9616.016158690212,-18000.397559551933,-18680.0840379252,-10848.429308726301,-1533.222952061672,2985.014375808481,2270.1578081010366,-1017.269036182301,-4078.534463506301,-4657.257711784903,-2275.0516634929554
8652.368456861666,486.8902744184698,-9068.406119641735,-15029.736772868022,-12253.297777759522,-3096.3893442672193,4517.731146380778,6270.0611707796115,3440.258593204489,-1015.3035291685544,-4489.152628702901,-4877.820263004587,-2166.8579985237584
9562.778843354674,671.7336407338944,-7833.521308775328,-10867.098745665886,-5417.566065756949,3667.0695198815843,8895.474053220843,8148.163183704182,3791.1553901433517,-1344.840912843592,-4899.632377669145,-4940.929215725425,-1971.7983823415357
9294.07708252063,668.7765421027638,-6032.100039146514,-6227.860166352947,818.9491584578473,8768.450259718944,11486.843425473071,8794.189535413912,3511.718796587561,-1880.9778725830488,-5240.403857151857,-4835.779966523674,-1712.4600807580894
8319.707193978025,665.6599709736282,-3923.104236835615,-1778.188822586232,5814.075382029191,12028.330685964469,12517.170506561308,8514.468604318547,2815.721301244861,-2506.389171494876,-5462.23558737476,-4575.3209096344735,-1416.330781632083
7036.030772056013,737.7471738806379,-1791.8926527273602,2016.3588793353579,9327.403036411757,13630.96579316706,12375.76249441336,7634.834453653857,1894.1356356684653,-3127.4723354189587,-5539.581135727722,-4189.849833976842,-1109.3975255619123
5711.307662321882,881.6760477988752,133.76447068281104,4932.157677940716,11430.787997933381,13947.198694780838,11472.143944357502,6432.565307337771,893.2316937104756,-3679.240247322824,-5468.2609331638,-3718.2100331367383,-811.9156756872121
4492.277689472781,1058.3795998632118,1719.3924826244117,6947.5106353682595,12373.403854170136,13385.578517132719,10151.428579171423,5110.37130969791,-88.03387313823225,-4122.658864349849,-5259.7469370013805,-3199.4141675247815,-536.9158725110103
3436.9856566855683,1224.8707531785785,2918.8184402306088,8167.68123966198,12461.42832844528,12301.49898890621,8663.642398808779,3798.4840932123934,-989.9689746494016,-4438.241333845166,-4934.354887989531,-2666.67087707705,-290.9044919341004
2550.5001463682565,1349.5129345766377,3747.8485240441178,8752.228911424474,11979.086728344182,10960.767622428197,7167.945535296663,2570.2557206682322,-1780.2608813917523,-4618.767857149916,-4515.205217886688,-2144.581526517048,-75.71394933150805
1812.517245854386,1414.8938493635144,4254.489839441263,8863.541786391736,11151.831600929367,9539.643440317608,5752.980490904725,1461.1126494604696,-2442.3358778613438,-4662.990793223923,-4024.1766658886654,-1649.1916626316956,109.46736528028333
1194.9980863599046,1415.007965276696,4496.252868858648,8639.88459623495,10139.91310348948,8142.795541167993,4460.640320223718,485.54589077235653,-2965.97871320708,-4571.495352312584,-3480.3717243000383,-1189.9060510762579,266.48747513502934
672.2506441592827,1351.9308143628198,4527.774374269247,8187.726528134887,9048.556120867052,6826.072780006193,3306.78953238015,-349.92115729606985,-3341.187032268377,-4345.429547363504,-2900.8851578202034,-772.0744966683587,397.25752425544283
226.51121002020923,1234.3954125842456,4397.33273612156,7585.675543699034,7944.113271523564,5617.005022563568,2296.6392740474744,-1038.3298913839114,-3555.8839514388505,-3988.290914330469,-2302.988937212267,-399.2386171377865,503.3588191919505
-149.0149681581392,1078.3127874709542,4148.858698916013,6893.300059798207,6869.769564463303,4530.192613211816,1434.4577603631574,-1568.6024865237032,-3597.854573921879,-3510.1216832281184,-1706.3782145304851,-74.43540878400842,586.0552438590626
-449.1327793072425,907.8386774460374,3825.7964544012775,6160.097865622775,5857.598706301123,3576.919572077121,727.8797595815045,-1926.649628404651,-3460.565003429874,-2932.3809099517857,-1134.0741262129131,199.58353973657967,646.5165552620564
-658.1146184342654,755.0803692933393,3473.7520517490766,5431.677237212642,4935.67567144942,2769.1913898000257,187.23230005164396,-2100.8663772993787,-3151.1730164865926,-2290.9059877946506,-611.0849529597369,420.9686601561485,686.087528326961
-754.2199358143674,656.9018991426504,3139.898340090511,4751.673266422489,4130.06494301135,2118.873906510271,-179.25196269306247,-2090.434184417122,-2697.4824467066624,-1634.4590997659557,-160.89421390677848,589.7430704683644,706.4824700256952
-717.0604879298714,648.4546131893087,2868.54948537484,4159.312836121319,3462.466950058036,1633.2916665035507,-372.4838063367919,-1913.3195799385458,-2149.8716271777507,-1017.8285987331852,199.10228591561815,708.6020219634428,709.8320042225307
-536.2048816840345,754.7366846137224,2694.054177387212,3684.01084038678,2945.361969813415,1309.546807073917,-408.8925684366976,-1609.9895217402209,-1575.41560552572,-490.9623230370234,461.4649974696621,783.1459194012021,698.5593193355973
-218.20960587867106,982.9719838050753,2633.678053284572,3339.6163235608865,2577.330061276497,1130.4070989352213,-322.87391480485434,-1239.7649508677032,-1044.6541490308225,-87.8924294908752,630.3087406485373,821.3940209596152,675.1164898805498
210.83820926237854,1318.9843967155737,2683.657707586812,3121.275524532669,2341.2247515800077,1064.1901249191408,-163.2499649129733,-869.6689814581305,-615.308584793494,180.19921417659032,719.9683039579921,832.6896473155997,641.6599306483089
708.723036930672,1729.4904677021593,2820.5693561533617,3006.87306190536,2206.6707858368773,1069.4155584248226,15.755102045416947,-559.3469300181127,-319.3354526667711,325.1143080441926,751.2596967407487,826.3018576168101,599.771385435687
1225.4206078055372,2169.762862825113,3007.8776795310364,2962.9426845879566,2136.3330410873514,1102.7683145391868,165.84942213648634,-347.8876166265517,-158.39831179017403,375.38512776322517,746.7233379164213,810.0958403364527,550.3222939730462
