t1,t2,t3,t4,t5
172.625,178.48000000000002,194.145,219.62,254.905
82.62042895495975,126.59334069109397,172.62900842307067,217.05165843665196,257.7799463963113
-6.081124294668626,75.15888963479394,150.94479813931196,213.9332681665266,259.8737833033496
-91.8451448905442,25.0227878130181,129.40152315296072,210.29705185536878,261.14647409806844
-173.14841068912455,-23.01828989231838,108.29644953237599,206.17938994309193,261.5647310229983
-248.6299013454774,-68.2415898186076,87.90679331178211,201.61984535678016,261.1027439157386
-317.1330432973698,-110.01902825937408,68.4824926898781,196.66009603007595,259.74267631229117
-377.7373434579478,-147.83333711719212,50.24019913682852,191.3428168645092,257.4749202678802
-429.7782088266938,-181.2890139202321,33.35869855079477,185.71055529807447,254.2981132814212
-472.85454587543177,-210.11781412429056,17.975890406266288,179.80464463133515,250.2189317960512
-506.8245144784827,-234.17885368475666,4.187366080574918,173.6641967201888,245.25168521812503
-531.7905137929296,-253.45369435924906,-7.953456638699777,167.32521079230466,239.4177417618148
-548.075050754941,-268.0370417950723,-18.433761913943698,160.8198283700935,232.7448223948111
-556.1895503721063,-278.1238814916884,-27.278509499988047,154.17575611070242,225.26620164550386
-556.7983933201709,-283.9940011692367,-34.54658353052409,147.41586941112288,217.01985413677352
-550.6805110084762,-285.9948977510229,-40.32617608386025,140.55800051050653,208.04758370034992
-538.6907477881613,-284.52404728029353,-44.72967699772602,133.61490616139125,198.3941681827583
-521.7229434248759,-280.01143610790484,-47.888336388832755,126.59440226948199,188.1065480366576
-500.67633360047006,-272.90312483981285,-49.94694667781886,119.49964663575895,177.23308098380818
-476.4264527960422,-263.64645812478085,-51.058759632597216,112.32954635329847,165.8228789058806
-449.80129229255544,-252.6773590986159,-51.38081448559211,105.07926364320815,153.92523708420958
-421.563051515133,-240.40997182343426,-51.069809128515985,97.74079294335942,141.58916031186365
-392.3954517192401,-227.22875081188525,-50.278601128754744,90.30358274547343,128.86298549490488
-362.8962766877549,-213.4829532149424,-49.15338180234913,82.75517776286678,115.79409630625295
-333.574576431988,-199.4833727241217,-47.83152718672663,75.08186018302722,102.42872232996253
-304.85181940868694,-185.50106772381838,-46.440096173086346,67.26927265715041,88.81181293539534
-277.0662021549658,-171.76777988045814,-45.09491928925715,59.30300993599857,74.98697478931557
-250.47931307372596,-158.47771099705267,-43.90020203988226,51.1691703308121,60.99646134651913
-225.2843867337858,-145.7903217446729,-42.948554144413734,42.85486215401781,46.88120272795761
-201.61546243492114,-133.83383095566168,-42.321349882330026,34.34866372881569,32.68086496111281
-179.55686201339603,-122.7091232974154,-42.08932419630281,25.641038267307536,18.433928484676485
-159.15251432089306,-112.49381125191144,-42.313313204240785,16.724706791091343,4.177776984113159
-140.4147669763396,-103.24623984928816,-43.04505528091157,7.5949832614966795,-10.051211080275916
-123.33243182539948,-95.009265776343,-44.32797889597427,-1.7499237832182857,-24.217574551888696
-107.8779035610254,-87.81368345161168,-46.19791506596492,-11.3086394466037,-38.286690244006365
-94.01326805589018,-81.68120751232563,-48.68368488078963,-21.076378243757,-52.22470592406444
-81.69537707095543,-76.62695285170447,-51.80752556045449,-31.04472696697405,-65.99848819308383
-70.87990968675808,-72.6613795854734,-55.585331507907995,-41.20145637938478,-79.57558679803849
-61.52446977526163,-69.79169141890857,-60.0266996084432,-51.53036579632184,-92.92421599718972
-53.590785554183846,-68.02269256433624,-65.13478044289337,-62.011166878415885,-106.0132528037171
-47.0460845823573,-67.35712162212882,-70.90594904210863,-72.61941495927994,-118.81225125963836
-41.863718381495175,-67.79549179447727,-77.3293202321549,-83.32649777321282,-131.29147133725954
-38.02310797571745,-69.3354765337118,-84.38614438549436,-94.09969236385018,-143.42192062670014
-35.509077484258334,-71.97088917813403,-92.04912931375085,-104.90230110157822,-155.17540664363474
-34.31063952566858,-75.69031500660222,-100.28174282797372,-115.69387701242789,-166.52459738015938
-34.41929514841587,-80.47546485181056,-109.03755776386336,-126.43054696725159,-177.4430876225171
-35.82691332327711,-86.29933100184343,-118.25970653764728,-137.06543869416492,-187.90546857014135
-38.52326120435734,-93.12423826495495,-127.88051500952103,-147.54921411551433,-197.88739840678036
-42.49326632939502,-100.89989507713541,-137.82138500794426,-157.83070729076056,-207.3656716887319
-47.71410509520307,-109.56156036263863,-147.99299076856968,-167.8576604473161,-216.3182857157225
-54.15222711937328,-119.02845021147748,-158.29584633498973,-177.57754643719596,-224.72450242038303
-61.76044094981688,-129.20251284324593,-168.62128841222759,-186.93846074952123,-232.56490473183376
-70.47520111800429,-139.96769927538602,-178.852902280478,-195.89006125120693,-239.82144681297422
-80.21424762471887,-151.18984922043546,-188.86839751816606,-204.38452944877253,-246.47749801245288
-90.87475439915195,-162.7172959129131,-198.5419161745251,-212.37752358451968,-252.51788078284102
-102.33214100190776,-174.38226919962457,-207.7467297810028,-219.82909159170404,-257.9289031692021
-114.4396901034176,-186.0031433413223,-216.3582546628887,-226.70451107388976,-262.698386743219
-127.0290908738965,-197.3875353541069,-224.25728915910486,-232.97502420683588,-266.8156910287782
-139.91199495112323,-208.33621297894683,-231.33335350473195,-238.6184378582672,-270.27173552385136
-152.88262762972226,-218.64772093890943,-237.48799522837564,-243.61956324912597,-273.0590203672946
-165.72144390605064,-228.1235831779355,-242.63791176679487,-247.97047499858917,-275.17164653313813
-178.19975963958026,-236.57389095305055,-246.71773907197908,-251.67057615926836,-276.6053361729012
-190.08522594088873,-243.82304590666598,-249.6823612457087,-254.72646352181016,-277.3574533897964
-201.1479543065725,-249.71539741821456,-251.50861200154966,-257.1515956414656,-277.42702534463695
-211.16704576406937,-254.12049799376427,-252.19626360478134,-258.96577426054046,-276.81476319284644
-219.93723416113892,-256.93770171733246,-251.7682316953236,-260.1944576043553,-275.5230819674842
-227.2753260966126,-258.09985019592426,-250.26996316373655,-260.8679309689429,-273.5561181857105
-233.0261112994935,-257.5758278969602,-247.76801654574436,-261.02036570299117,-270.91974369302625
-237.06742965873138,-255.3718226804309,-244.34788735191438,-260.68880180187244,-267.6215740926556
-239.31411508062433,-251.53119454898555,-240.11117132825655,-259.9120916678483,-263.67097005109406
-239.7205905851256,-246.1329317563753,-235.1721939355818,-258.7298430537487,-259.0790298314838
-238.28196041792066,-239.2887530518871,-229.6542618010884,-257.18139782410185,-253.85857158206744
-235.03352871070905,-231.1389921269246,-223.6857096019138,-255.30488007964482,-248.02410418751808
-230.04876438840455,-221.8474694418394,-217.39592263393948,-253.13634264141143,-241.59178585942686
-223.43582190202778,-211.59561230552657,-210.91151092296985,-250.70903520218224,-234.5793700760925
-215.33281015714184,-200.5761222001792,-204.35279575902027,-248.05281100252918,-227.00613895468152
-205.9020714382271,-188.98650620775186,-197.83074539796542,-245.1936820770166,-218.89282462268338
-195.32378304982686,-177.0227860393844,-191.44446545720842,-242.15352633983593,-210.26151962244134
-183.78922325573043,-164.87367441319233,-185.2793137622712,-238.9499434035697,-201.13557780651092
-171.49404825945916,-152.71546685478077,-179.4056718167655,-235.59625036191414,-191.539507540456
-158.63190881861965,-140.70784127952172,-173.8783683679537,-232.10160405934928,-181.49885930612092
-145.3886959378969,-128.99069280340817,-168.73671715750018,-228.47123278092437,-171.04010998081884
-131.93764890094715,-117.68206245613057,-164.00510286530044,-224.70675790414066,-160.1905461507057
-118.43549084848385,-106.87715115109424,-159.6940278791754,-220.80658486388762,-148.97814880029443
-105.01968302998532,-96.64834922152441,-155.80151862056482,-216.76634272129613,-137.43148161036765
-91.8068146960049,-87.04616099029235,-152.31478385452624,-212.57935257057935,-125.57958490373514
-78.89207686775313,-78.10086597113569,-149.21201826206345,-208.2371067930536,-113.45187701590223
-66.34970953905426,-69.82473486669126,-146.46425163176323,-203.72974357511328,-101.07806455128917
-54.23426662734033,-62.21460969868857,-144.03715607405874,-199.04650393476533,-88.48806263138847
-42.582513180843954,-55.25466216400545,-141.89273921943058,-194.17616153842272,-75.71192586483551
-31.415755513460372,-48.919160685622174,-139.99086892389667,-189.10741863804193,-62.77979038498749
-20.742406287577747,-43.175101974558785,-138.29059313729573,-183.82926434278414,-49.72182692026223
-10.560601194071612,-37.98459422882806,-136.75123603161381,-178.33129401257753,-36.56820449569855
-0.8607090637517203,-33.306913298219825,-135.33326721980768,-172.60399070979093,-23.349064018028756
8.372390224346287,-29.10018737348848,-133.9989541816231,-166.6389712911901,-10.094500675921799
17.15734915901634,-25.3226975616492,-132.7128184002798,-160.4292008219213,3.165446204565246
25.514769179802375,-21.93380918373606,-131.4419230211121,-153.96917953647875,16.400797469227193
33.46600705220531,-18.89457049589482,-130.15602412333763,-147.25510657956647,29.58163445499299
41.03235676899085,-16.168031130739376,-128.827619189567,-140.28502428145225,42.67809735196141
48.234567749309306,-13.719341797130994,-127.43192544028003,-133.05894583102307,55.66038378514984
55.092641993888634,-11.515700057484008,-125.94681783177764,-125.57896799862769,68.49874988736552
61.62584186096744,-9.52620508272755,-124.3527521924769,-117.84936913903334,81.16351617088728
67.85283596172778,-7.7216781682649795,-122.6326936879326,-109.87669119251461,93.62508047423653
