t1,t2,t3,t4,t5,t6,t7
221.675,232.435,248.10000000000002,268.67,294.145,324.525,359.81
1273.6996019164756,941.6589013749652,651.5958668985447,422.25793463181765,272.0296511094622,216.77199657868624,263.83992402650586
2264.179115209028,1611.2359040561,1032.9783635518502,566.0235648143317,247.36394578213478,109.6733395576324,168.519396390332
3139.6985317615477,2207.331134952458,1374.2560743711185,693.243227495389,220.19579234521132,6.282818234473041,76.85460383928023
3857.6849973887033,2702.6057845441046,1660.6736284731053,798.3672593369312,190.69204478146048,-90.62341633526592,-8.456763788513172
4389.887330626715,3078.335858664592,1881.7755586743597,877.3849532698837,159.12561625828934,-178.706693117832,-85.18232787616063
4723.98787304399,3325.463232137728,2031.974679282526,928.0294311247329,125.85559794106655,-256.1841015195312,-151.66803341538878
4863.271556501059,3444.523476894313,2110.5922478978464,949.8107892307904,91.3031116749932,-321.8961880803781,-206.8988714764372
4824.583646687359,3444.565139884363,2121.412554134168,943.8882580208249,55.92559358098066,-375.32137058551933,-250.50529611199306
4635.043070808822,3341.3094785633543,2071.8561513220616,912.8109803648631,20.19183726114767,-416.54054820540006,-282.71956589774345
4328.10497256252,3154.8771170297105,1971.9144197829744,860.1696979896172,-15.440431656268828,-446.1605104260377,-304.2913484691825
3939.5744960666757,2907.421934038909,1832.9998161206345,790.2068816657695,-50.54327895812483,-465.2081822635781,-316.37526786359194
3504.080423170687,2620.9698453622864,1666.8529538772284,707.4308584308726,-84.73294989702109,-475.0092103137405,-320.4043870474908
3052.357114264496,2315.6782037852086,1484.6158835332876,616.2717032970504,-117.67970603029823,-477.0639753335929,-317.96300539744624
2609.4982969975595,2008.6320821132542,1296.1392251382108,520.8052463027338,-149.11318596394938,-472.93218333604796,-310.67000827569314
2194.175036322913,1713.1975031108586,1109.5479159485724,424.5588774623784,-178.82355633902233,-464.13428260449916,-300.0809000971584
1818.6798738258642,1438.8743433593665,931.0533814829703,330.40101894013367,-206.6588515363236,-452.0746670879413,-287.6131908796855
1489.582357945528,1191.5415629303363,764.9733583111779,240.50668623666593,-232.5190104871119,-437.98847937416195,-274.49652473416756
1208.7572117446477,973.965863901787,613.905938868818,156.38525935242416,-256.3472292148018,-422.9112005834605,-261.7462263261664
974.5647056062984,786.4476246467678,479.00077990230085,78.95352226408447,-278.1193639721846,-407.6683211165382,-250.15701116127417
783.008126471701,627.4976391489741,360.2753136218883,8.636767700126569,-297.8322344222107,-392.8812740763557,-240.3125043361405
628.7499888798856,494.46668348110035,256.9340306010227,-54.51744463019958,-315.491774644177,-378.985404418248,-232.60585733330703
505.92412742609156,384.0801203578319,167.6613632606834,-110.72529231631198,-331.1020463801578,-366.25588465195494,-227.26698045851137
408.7267586430351,292.8565373321497,90.87089520131661,-160.36145097312016,-344.6561512397026,-354.83798423279643,-224.39252501124787
331.8021937205293,217.40996533889808,24.90390284843238,-203.8683612260733,-356.1300474374472,-344.7787741374701,-223.97556721421898
270.4579145953605,154.64869693351363,-31.82221336648996,-241.68307184437234,-365.48018485315856,-336.05805302531485,-225.93281128756433
220.75130232193357,101.8906860442475,-80.71036549741007,-274.1827874511985,-372.6457121194885,-328.6169145341736,-230.12793250494911
179.48958809267717,56.917316285008475,-122.91769305512952,-301.64904464378793,-377.5557714209442,-322.3828808465347,-236.3903585221642
144.17881871940932,17.98557795577544,-159.31938798456457,-324.24984474185084,-380.1420697770734,-317.2908903575026,-244.52931316405227
112.94950068583819,-16.18511187201746,-190.4959997578832,-342.03888097064896,-380.35649102133095,-313.29966237013156,-254.34332394202212
84.47804666297942,-46.43988343542762,-216.73962933532528,-354.97097754086235,-378.1929900443671,-310.40310418707645,-265.62564318116506
57.9153638137728,-73.22231211344823,-238.07642683809112,-362.93277836546196,-373.7124057745677,-308.6365200645345,-278.166181330369
32.82744780444367,-96.6125409943623,-254.3045491845142,-365.7873913123675,-367.0681809828663,-308.0774720884375,-291.75062954691805
9.147828111560926,-116.37025568756025,-265.04787561480816,-363.4309811591737,-358.5303528698457,-308.8412684349095,-306.1574832096802
-12.861909123812815,-131.98542615498957,-269.82607860572784,-355.85817050315484,-348.5046741277899,-311.07124109988524,-321.15368868814454
-32.6496257891646,-142.74084920551093,-268.14096182552873,-343.23162102678566,-337.54345580273764,-314.92423382231357,-336.4896352819927
-49.41538508268044,-147.79038509808385,-259.5772823150589,-325.94951527009613,-326.34481130008317,-320.55204475610196,-351.8942082315921
-62.16658063196696,-146.2553430022504,-243.91369938002555,-304.7031426867694,-315.73752669584735,-328.0799329409434,-367.07060590083074
-69.79123017143203,-137.3387893084954,-221.23634728641025,-280.5157991010782,-306.6498404818657,-337.58366266009205,-381.6935979911111
-71.15263043541233,-120.45384248519883,-192.04431379162406,-254.75414910255435,-300.06196622004734,-349.06687409253385,-395.4088515107565
-65.20482908772036,-95.35769963577205,-157.33368681961676,-229.10443432996712,-296.94412135892344,-362.4407765497089,-407.8348651492141
-51.12378102673864,-62.278862052270824,-118.6455572252193,-205.50864128502397,-298.18392466554633,-377.50821024233596,-418.56791969559595
-28.444167553147324,-22.02162767202438,-78.06413920567357,-186.05992737186205,-304.50900297502284,-393.9539751865017,-427.19026520695604
2.8125488531736735,23.969686044460218,-38.15447572364128,-172.86189046837052,-316.41217324926004,-411.3429642335627,-433.28152469689155
42.036251641873925,73.60331643400949,-1.8351241592048453,-167.86198730251343,-334.08732139606104,-429.1270716915958,-436.4330083720637
87.97055492431653,124.20182922552982,27.810670294912136,-172.67464556580632,-357.38384836367595,-446.66112023501734,-436.26432155740963
138.71516595676178,172.63826905530857,47.77251336900275,-188.41336169565528,-385.7862000730134,-463.22722550746954,-432.44134304498624
191.7983539764744,215.5422137807206,55.3773167977247,-215.55242272316136,-418.4226231058952,-478.06618971645037,-424.6943856794505
244.32123217892087,249.56051111499988,48.551890711175524,-253.83725100555364,-454.1041600671793,-490.4137818087118,-412.83516729269206
293.1653879935393,271.6474495999273,26.051531906330673,-302.2576598967381,-491.3914370082291,-499.53921698509293,-396.77115386950913
335.2451147248024,279.3517962509727,-12.376157391475068,-359.09102654460787,-528.6835049371418,-504.7828673965936,-376.515913976019
367.77702205907633,271.0652434367502,-65.9165694735008,-422.0135769822251,-564.3203777081925,-505.59026187287907,-352.19435341413845
388.53492941453254,246.19937850938285,-132.71608561822595,-488.26904706470594,-596.6893602419702,-501.53976846594867,-324.0420705768023
396.05792297406964,205.26634367373293,-210.0128247553642,-554.8764315685804,-624.3250102595692,-492.3619607231139,-292.39855341281816
389.7846461780257,149.8508024014553,-294.35620803447364,-618.8536460723608,-645.9936340534437,-477.9494716635864,-257.69447715549757
370.0966177216446,82.47563547833067,-381.8893685185581,-677.4324975760703,-660.7553798738282,-458.35703788801356,-220.43389512789412
338.26600819287967,6.378371901769945,-468.66047645620165,-728.2425365320274,-667.9998908706743,-433.792319726713,-181.1725776485865
296.3166155178219,-74.7728599860571,-550.9264784028687,-769.4466285411819,-667.4546503466589,-404.5988483601732,-140.49408878990832
246.81838583906995,-157.18810967210646,-625.4158108119084,-799.8183928976994,-659.1681282962616,-371.2330158664193,-98.985357036181
192.6437402337828,-237.25222939654404,-689.5245123829311,-818.7596752521157,-643.4722298531753,-334.2373401525226,-57.2134767794507
136.71700055732268,-311.7770259252834,-741.4311427869244,-826.263620026881,-620.9300985382797,-294.21229184441063,-15.705281844379243
81.78618659263161,-378.18564512924604,-780.1278986609319,-822.8346099158148,-592.2759461556388,-251.7887878974033,25.06910785508822
30.240189092084798,-434.6174316080033,-805.3762171138447,-809.379702119777,-558.3533261928026,-207.60308840197678,64.70800016245883
-16.01465907909641,-479.95333200471754,-817.6033408891275,-787.0870641691072,-520.0573170270502,-162.27534729653416,102.8848096117355
-55.61442779244401,-513.7720295723523,-817.7608744943632,-757.3055894145373,-478.2846827261295,-116.39253782928687,139.34985541011042
-87.73858720532131,-536.2540070883289,-807.1671644659591,-721.436957919643,-433.8944968101618,-70.49596675631616,173.92781150958672
-112.06357387030445,-548.0540197413569,-787.352949250315,-680.8476485205143,-387.6801834619306,-25.07316001427793,206.51161685046736
-128.6840812275791,-550.1621797025894,-759.9251534104766,-636.8045263317069,-340.3526277685122,19.446419501878324,237.05380897692666
-138.0179950950853,-543.7707721732406,-726.4581218911995,-590.4342055734786,-292.53303565521526,62.692560642951776,265.5562810033521
-140.70918789368068,-530.1591349055757,-688.4160866032846,-542.7037865043736,-244.75361884386987,104.35321774276679,292.0593964597469
-137.53903940911678,-510.6035871201655,-647.1060410449635,-494.41893135009406,-197.46391689293722,144.17194528209217,316.63125487279706
-129.35349468182596,-486.31445846434275,-603.6569254548641,-446.2345333804549,-151.04058564101035,181.9445485411077,339.35771371615965
-117.00852425853279,-458.39839594969436,-559.0192056525337,-398.6732736882261,-105.79869979631528,217.5154936831393,360.33357001231474
-101.33360751413976,-427.8416117555007,-513.9784032460375,-352.1479182274195,-62.00295702389653,250.77444474859746,379.6551136512338
-83.11062255881743,-395.5085588216024,-469.17658000075454,-306.9840462560994,-19.877563386884503,281.6531176708281,397.4141039372918
-63.064342486660976,-362.1504461232569,-425.13681622394824,-263.44082100125877,20.386024639174195,310.1224808132506,413.6931026029016
-41.8604615548574,-328.4186844582729,-382.2870039581011,-221.72827356422803,58.62395854777867,336.19020076168977,428.5620242957268
-20.107455451806125,-294.8794299114326,-340.98053621155464,-182.02029417733326,94.69758670971478,359.89813954118154,442.0757362671002
1.6406573870698793,-262.02656990225876,-301.5125524298227,-144.46308747165068,128.4936197073023,381.31965925544677,454.27254437315185
22.882679567135398,-230.29157576538717,-264.1312333658996,-109.1792652936502,159.92647247173824,400.55648296651555,465.1734310545206
