t1,t2
69.62,104.905
69.60119886224459,104.8377862794064
69.57138417714798,104.72619160936353
69.53044174914808,104.57028531830191
69.47826907106626,104.37016180077254
69.41477585340414,104.12594035158548
69.33988450794638,103.83776496100715
69.25353058260578,103.5058040719791
69.15566314476457,103.13025030050106
69.0462451107066,102.71132012049307
68.92525351909578,102.24925351461263
68.79267974683486,101.7443135926544
68.6485296660297,101.1967861792979
68.49282374118576,100.60697937309529
68.32559706617147,99.97522307870202
68.14689934089274,99.30186851445218
67.95679478803179,98.58728769746114
67.75536201060626,97.8318729085053
67.54269379150033,97.03603613898063
67.31889683650041,96.2002085222753
67.08409146273578,95.32483975191178
66.83841123477113,94.41039748881755
66.58200255092481,93.45736676007022
66.31502418268684,92.46624935143743
66.0376467703862,91.43756319598923
65.75005227850154,90.37184176100573
65.4524334142246,89.26963343533463
65.14499301306856,88.1315009192724
64.82794339546241,86.95802061895104
64.50150569838853,85.74978204711074
64.16590918620219,84.50738723202707
63.82139054481856,83.23145013624266
63.468193163466815,81.92259608662641
63.10656640819054,80.58146121715333
62.73676489122252,79.20869192565901
62.359047740278434,77.80494434568627
61.97367787170246,76.3708838343975
61.580921271257544,74.90718447738482
61.18104628618792,73.41452861106657
60.77432293199308,71.89360636321882
60.361022217141866,70.34511521204898
59.94141548872747,68.76975956408516
59.515773801819606,67.16825035102052
59.084367315011875,65.54130464552624
58.647464714394175,63.889645295924126
58.2053326679024,62.21400057949455
57.75823531171634,60.51510387408707
57.30643377009058,58.79369334759897
56.85018570971796,57.05051166479367
56.38974492944149,55.28630571084474
55.92536098585116,53.50182633091362
55.45727885502913,51.69782808499995
54.98573863044277,49.875069017242204
54.51097525673012,48.03431043879388
54.033218298881145,46.176316723356415
53.552691746088996,44.30185511441355
53.06961384933202,42.41169554318449
52.58419699154907,40.50661045629188
52.09664758909073,38.58737465212911
51.60716602296462,36.654765124904365
51.11594659824944,34.709560915341086
50.62317752992484,32.75254296702035
50.129040953258226,30.78449398736567
49.63371295680037,28.806198312287727
49.13736363597295,26.818441773531273
48.64015716518009,24.822011567793908
48.142251886344255,22.817696126719188
47.64380041175213,20.806284986901975
47.14494973909932,18.78856865908263
46.64584137664232,16.765338495748814
46.14661147640192,14.73738655640669
45.64739097341251,12.705505469829589
45.148305729077094,10.670488292638316
44.64947667676511,8.633128363616292
44.15101996788086,6.594219153210453
43.65304711673127,4.554554107718474
43.15566514263316,2.5149264877113233
42.658976707820315,0.47612920028974104
42.163080249838885,-1.5610453751792306
41.66807010725421,-3.5958055681512624
41.174036637632526,-5.627360605078786
40.68106632690582,-7.654920804883059
40.18924188937596,-9.677697781893311
39.69864235776456,-11.694904656378831
39.20934316286632,-13.705756272757345
38.72141620251449,-15.709469425523357
38.23492989971792,-17.705263092900683
37.74994924997631,-19.692358678186473
37.26653585792581,-21.669980258717313
36.78474796360727,-23.637354842354565
36.30464045878527,-25.593712631352307
35.82626489387498,-27.538287293440586
35.34966947615692,-29.4703162399257
34.87489906007355,-31.38904091058148
34.40199513050791,-33.293707065077335
33.930995780040575,-35.18356508066344
33.461935681267676,-37.05787025580759
32.99484605533773,-38.91588311945515
32.52975463792898,-40.75686974556054
32.066685643940794,-42.58010207251653
31.60565973221201,-44.38485822708735
31.146693971605373,-46.17042285243136
30.68980180981079,-47.93608743978008
30.23499304621965,-49.68115066332227
29.782273810208885,-51.404918717824366
29.33164654614637,-53.106705658501426
28.883110006387984,-54.785833742638594
28.4366592534832,-56.44163377244582
27.992285672738404,-58.073445438616865
27.549976996207814,-59.68061766404878
27.109717339089933,-61.26250894716622
26.671487249404155,-62.81848770428408
26.23526377170842,-64.34793261043126
25.80102052549498,-65.8502329380487
25.368727798768948,-67.32478889296813
24.938352657173738,-68.77101194707
24.509859068881486,-70.18832516701401
24.083208045313537,-71.5761635384329
23.65835779760145,-72.93397428497532
23.23526390853978,-74.26121718158625
22.81387951962333,-75.55736486141161
22.394155532603346,-76.8219031157185
21.97604082484039,-78.05433118622696
21.55948247757998,-79.25416204925644
21.144426016130268,-80.42092269109871
20.730815660780998,-81.55415437404228
20.318594587172754,-82.6534128924847
19.907705194703826,-83.71826881858799
19.49808938145364,-84.74830773694967
19.08968882400481,-85.74313046778305
18.682445260463908,-86.7023532781255
18.276300774914237,-87.62560808061805
17.87119808148299,-88.5125426194295
17.467080806171523,-89.36282064292905
17.063893764581238,-90.17612206274536
16.66158323366969,-90.95214309888493
16.26009721569115,-91.69059641062223
15.859385692515001,-92.39121121291298
15.459400868571063,-93.05373337812492
15.060097400745926,-93.67792552292367
14.661432613645399,-94.2635670801975
14.263366698745902,-94.81045435595092
13.865862896080898,-95.31840057114584
13.468887657245709,-95.78723588851696
13.072410788653851,-96.21680742443854
12.676405574139741,-96.60697924596887
12.28084887617316,-96.95763235324893
11.88572121512987,-97.26866464748144
11.491006826247393,-97.53999088476539
11.09669369408333,-97.77154261610943
10.702773564484346,-97.96326811399487
