q1,q2,q3,q4,q5,q6,q7,q8,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.010001262038257639,0.020001523672838986,0.029999784600135873,0.03999504471666636,0.04998630421911285,0.05997256370433014,0.06995282426931346,0.07992608761111651,0.9999499861281274,1.9995998990305683,2.9986497155078835,3.996799512406119,4.99374951662204,5.989200155087346,6.982852104724872,7.9744063423697895,-0.010001262038257639,-0.08000609469135594,-0.26999806140122284,-0.6399207154666617,-1.2496576054778212,-2.159012293355885,-3.4276883891963594,-5.115269607111457
0.020001523672838986,0.03999504471666636,0.05997256370433014,0.07992608761111651,0.0998476330127668,0.11972922927965327,0.13956292176583562,0.15934077499172275,0.9997999495152842,1.9983997562030595,2.994600077543673,3.9872031711848948,4.975013693905143,5.9568394992327605,6.931492433274451,7.897789128306882,-0.020001523672838986,-0.15998017886666543,-0.5397530733389713,-1.2788174017778642,-2.4961908253191702,-4.310252254067517,-6.838583166525946,-10.197809599470256
0.029999784600135873,0.05997256370433014,0.08989135612670945,0.11972922927965327,0.1494593234182308,0.17905487581906576,0.2084892448718631,0.23773593406191137,0.9995499051692944,1.9964000516957818,2.987854731549596,3.9712263328218405,4.943839375028695,5.9030345291244135,6.846172617153709,7.770638586497603,-0.029999784600135873,-0.23989025481732057,-0.809022205140385,-1.9156676684744522,-3.73648308545577,-6.445975529486367,-10.215972998721291,-15.215099779962328
0.03999504471666636,0.07992608761111651,0.11972922927965327,0.15934077499172275,0.19869733661701205,0.23773593406191137,0.27639409605301823,0.3146099601064053,0.9991998781015298,1.9936015855924474,2.9784197496163802,3.948894564153441,4.9003045018174785,5.827978939873202,6.727310672154566,7.593768278800595,-0.03999504471666636,-0.31970435044446605,-1.0775630635168794,-2.549452399867564,-4.967433415425301,-8.55849362622881,-13.543310706597893,-20.13503744680994
0.04998630421911285,0.0998476330127668,0.1494593234182308,0.19869733661701205,0.24743856805588546,0.2955611552320791,0.34294478237309317,0.3894709812493948,0.9987499033244079,1.9900054775620573,2.966303625017217,3.9202436014539828,4.8445179198720405,5.731942927720376,6.575488950329893,7.368309894740893,-0.04998630421911285,-0.3993905320510672,-1.3451339107640772,-3.179157385872193,-6.1859642013971365,-10.640201588354847,-16.804294336281565,-24.926142799961266
0.05997256370433014,0.11972922927965327,0.17905487581906576,0.23773593406191137,0.2955611552320791,0.35232237152267637,0.40781524548937237,0.4618400056546346,0.9982000258478909,1.9856131664109202,2.9515172645622068,3.8853192932488017,4.776619106433647,5.615272217345027,6.3914512868186435,7.0957060104913685,-0.05997256370433014,-0.47891691711861306,-1.6114938823715919,-3.803774944990582,-7.389028880801978,-12.683605374816349,-19.982947028979247,-29.557760361896616
0.06995282426931346,0.13956292176583562,0.20848924487186307,0.27639409605301823,0.3429447823730932,0.4078152454893723,0.4706876591424366,0.5312539863137096,0.9975503006749817,1.9804264095069861,2.9340739787801606,3.844177526945466,4.6967778216642095,5.478386817273124,6.176099355500983,6.777700858672559,-0.06995282426931346,-0.5582516870633425,-1.8764032038467677,-4.422305536848292,-8.57361955932733,-14.681348837617403,-23.063695297979393,-34.00025512407741
0.07992608761111651,0.15934077499172275,0.23773593406191137,0.3146099601064053,0.3894709812493948,0.4618400056546346,0.5312539863137096,0.5972687838126852,0.9968007927962237,1.9744472820767205,2.913989469936601,3.7968841394002975,4.605193684213058,5.321779507868526,5.930488251338489,6.416329168029537,-0.07992608761111651,-0.637363099966891,-2.1396234065572024,-5.033759361702485,-9.73677453123487,-16.626240203566848,-26.03144532937177,-38.225202164011854
0.08989135612670944,0.17905487581906573,0.26676861582197114,0.3523223715226763,0.4350234273678976,0.5142021656747203,0.5892174884216107,0.6594620081201323,0.9959515771831987,1.9676781763748044,2.891281817898744,3.7435148115633514,4.502095672131723,5.146014067349155,5.65582132104333,6.013903144394195,-0.08989135612670944,-0.7162195032762629,-2.4009175423977402,-5.637157944362821,-10.875585684197441,-18.51127796428993,-28.871656932658926,-42.20556851968847
