q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.010000944513180845,0.02000088871796791,0.029998832406019662,0.03999377556908902,0.04998471849904561,0.059970661887867927,0.9999499893038872,1.999599924435377,2.9986498012419656,3.996799715603932,4.993749913433218,5.989200840651306,-0.010000944513180845,-0.08000355487187163,-0.26998949165417696,-0.6399004091054243,-1.24961796247614,-2.1589438279632454
0.02000088871796791,0.03999377556908902,0.059970661887867927,0.07992355541023123,0.09984447347103712,0.11972544619774463,0.9997999622176885,1.998399857801966,2.994600420325653,3.9872039833258346,4.975015279165712,5.956842236552772,-0.02000088871796791,-0.15997510227635608,-0.5397359569908113,-1.2787768865636997,-2.496111836775928,-4.310116063118807
0.029998832406019662,0.059970661887867927,0.0898885098275832,0.11972544619774463,0.14945461380206518,0.17904925245042702,0.9995499337473218,1.9964002802171021,2.9878555022304525,3.971228157701848,4.943842934431866,5.903040669611718,-0.029998832406019662,-0.2398826475514717,-0.8089965884482488,-1.915607139163914,-3.7363653450516296,-6.445773088215373
0.03999377556908902,0.07992355541023123,0.11972544619774463,0.15933575924661852,0.1986911124234661,0.23772853156695056,0.999199928900983,1.9936019916629173,2.978421118276386,3.9488978023247014,4.900310811172914,5.827989810393012,-0.03999377556908902,-0.3196942216409249,-1.0775290157797017,-2.5493721479458964,-4.967277810586652,-8.55822713641022
0.04998471849904561,0.09984447347103712,0.14945461380206518,0.1986911124234661,0.24743087638378833,0.2955520545854333,0.9987499826866437,1.9900061116662846,2.96630576065912,3.920248648938331,4.844527741204375,5.731959820959307,-0.04998471849904561,-0.39937789388414846,-1.3450915242185866,-3.1790577987754576,-6.185771909594708,-10.6398739650756
0.059970661887867927,0.11972544619774463,0.17904925245042702,0.23772853156695056,0.2955520545854333,0.35231167302614874,0.9982001401085511,1.985614078850924,2.951520334805859,3.8853265402620076,4.776633184132756,5.615296382363319,-0.059970661887867927,-0.4789017847909785,-1.6114432720538432,-3.803656505071209,-7.3888013646358335,-12.683220228941355
0.06995060692759553,0.1395585196989648,0.20848272304659848,0.276385551255398,0.3429343424166186,0.4078030681677261,0.9975504561627252,1.980427650361844,2.934078149559019,3.8441873566354694,4.696796878701701,5.478419450292904,-0.06995060692759553,-0.5582340787958592,-1.8763445074193863,-4.422168820086368,-8.573358560415464,-14.68091045403814
0.07992355541023123,0.15933575924661852,0.23772853156695056,0.3146003147603548,0.3894592825170735,0.46182648653729375,0.9968009958314586,1.9744489011623507,2.913994905196506,3.796896926602429,4.6052184184392555,5.321821743348257,-0.07992355541023123,-0.6373430369864741,-2.139556784102555,-5.033605036165677,-9.736482062926838,-16.625753515342574
0.0898885098275832,0.17904925245042702,0.26676035290858857,0.35231167302614874,0.43501056092554113,0.5141874589670069,0.9959518340768174,1.967680223203906,2.8912886792993824,3.743530921575546,4.502126752667138,5.146066969393023,-0.0898885098275832,-0.7161970098017081,-2.4008431761772973,-5.63698676841838,-10.875264023138529,-18.51074852281225
0.09984447347103712,0.1986911124234661,0.2955520545854333,0.3894592825170735,0.47947429786870915,0.5646975006285585,0.9950030558331423,1.9601243244691655,2.8659799104796533,3.6841747347514042,4.387779614119505,4.9517877963639485,-0.09984447347103712,-0.7947644496938644,-2.6599684912689,-6.231348520273176,-11.986857446717728,-20.329110022628107
0.10979045053124847,0.21825348093751681,0.32407772025092085,0.4259837017756266,0.5227393324645868,0.6131747895257446,0.9939547559985542,1.951784227888582,2.8380913799828034,3.618923344469256,4.262462874602189,4.739683574843591,-0.10979045053124847,-0.8730139237500673,-2.916699482258288,-6.815739228410026,-13.06848331161467,-22.074292422926803
0.11972544619774463,0.23772853156695056,0.35231167302614874,0.46182648653729375,0.5646975006285585,0.6594448210027005,0.992807039425462,1.9426632701310038,2.8076481911816593,3.547881162232171,4.12648983030329,4.510517820594193,-0.11972544619774463,-0.9509141262678023,-3.170805057235339,-7.3892237845967,-14.117437515713963,-23.740013556097217
0.12964846675842726,0.25710847281989063,0.3802284986124694,0.4969302832496827,0.6052439054873406,0.7033410359117636,0.9915600209100753,1.932765100268756,2.7746777469800286,3.471161865633788,3.9802004185418576,4.265115466114888,-0.12964846675842726,-1.0284338912795625,-3.4220564875122244,-7.950884531994923,-15.131097637183515,-25.320277292823487
0.1395585196989648,0.276385551255398,0.4078030681677261,0.5312389208463627,0.6442771796247977,0.7447054201797312,0.990213825180922,1.9220936783177347,2.739209725146452,3.3888882164579983,3.8239603679128145,4.004359891115867,-0.1395585196989648,-1.105542205021592,-3.670227613509535,-8.499822733541803,-16.106929490619944,-26.80939512647032
0.14945461380206518,0.2955520545854333,0.43501056092554113,0.5646975006285585,0.6816997385039922,0.7833890736142467,0.9887685868863733,1.9106532736531021,2.701276051600283,3.3011918642426323,3.6581602839528116,3.729189742598953,-0.14945461380206518,-1.1822082183417333,-3.9150950483298703,-9.035160010056936,-17.042493462599808,-28.20200665011288
