t1,t2,t3,t4,t5,t6
226.57999999999998,222.625,228.48,244.14499999999998,269.62,304.905
-251.6752019392603,156.92136498818522,155.88951049190297,198.0879636291351,255.94073911332416,307.64016987992545
-713.5110669802508,89.90207579943,83.07318013657675,151.58654696506153,241.29988737042254,309.022715598575
-1142.6995464868087,22.890951764821395,11.546820398557031,105.55333571102183,225.97396309629968,309.0120364873036
-1525.2289994065331,-42.73622306811343,-57.23240737720707,60.86783529956725,210.24421009151067,307.58492424329586
-1850.1403848800303,-105.61663337530163,-121.93119221896052,18.340194281694266,194.38493489827488,304.7354056308359
-2110.0655834533927,-164.47025395053362,-181.39717890592144,-21.32043431455358,178.65242158331858,300.4738287339488
-2301.4338193804174,-218.16766523547062,-234.70382599250965,-57.530859806013126,163.27515054920872,294.82534728893523
-2424.353403677095,-265.7889036971295,-281.1800780000578,-89.8507576754487,148.4459150575268,287.8279906830461
-2482.2126012632584,-306.667432967923,-320.42341720551684,-117.99086875520968,134.31624588378617,279.5305169334799
-2481.070290378518,-340.4152406077725,-352.2964450113019,-141.81261426429873,120.99334454581106,269.9902339850546
-2428.92140493276,-366.92746497150233,-376.90859883673846,-161.31993320862261,108.53951406062218,259.2709452926132
-2334.9235756820776,-386.3673922891195,-394.58576490572307,-176.64468843155402,96.97388614560029,247.4411349214216
-2208.661723926501,-399.1347409703356,-405.83128930442547,-188.02733795792741,86.27609293187517,234.57246195900652
-2059.5098959549887,-405.82159657864827,-411.28218111936394,-195.79471580798432,76.3914303638319,220.73859009935123
-1896.128260273712,-407.16105990491803,-411.66417268527726,-200.33672507874797,67.23701285165427,206.01434078191707
-1726.111639113614,-403.97365166564424,-407.74883574777243,-202.0835505674339,58.70842106714335,190.47513042876528
-1555.7871463334584,-397.1159197201346,-400.31526148811935,-201.48469559707786,50.686388574748364,174.1966354144276
-1390.144299693034,-387.4347170728304,-390.1180166559393,-198.9907885489469,43.043146753009395,157.25462200910718
-1232.8720851974676,-375.72947089238517,-377.8622951011615,-195.0387355050628,35.648138658252336,139.72488094598373
-1086.4736446470997,-362.72362723725024,-364.1864765192517,-190.04045381838554,28.372909324358716,121.68321499850293
-952.4296504937987,-349.0454671424229,-349.65173456161176,-184.3751330726528,21.09507268223939,103.2054402923327
-831.3848090756662,-335.21772495612873,-334.73792721011404,-178.38474845193235,13.701336696875686,84.36737549907023
-723.337029484362,-321.65492485638003,-319.84475128650365,-172.37240012266437,6.089634169305668,65.24480555280246
-627.8144994926696,-308.6670706005682,-305.2970304012003,-166.60296586619566,-1.8295447658462223,45.91341674713476
-544.0313775768929,-296.46823358763766,-291.3530018208055,-161.30552267841895,-10.132490720211848,26.448707338968028
-471.01749677020223,-285.18862828212855,-278.2145397266142,-156.6770036102467,-18.882139333441444,6.925882024391527
-407.7211133400803,-274.8888830301806,-266.03836921475516,-152.8865956265409,-28.128313105330484,-12.580259786560097
-353.08627045116344,-265.57535663614846,-254.9474616211869,-150.08044076905378,-37.908197253284,-31.99543247997097
-306.1078814714598,-257.2154790359283,-245.04193896063168,-148.38626659609156,-48.24691776216714,-51.24596200990606
-265.8683487537385,-249.75218842558672,-236.40894258862062,-147.91763543324296,-59.15810564795376,-70.25886805259542
-231.55962950598618,-243.11659779275828,-229.13103462694804,-148.77756064175804,-70.64434969163463,-88.961928575666
-202.49434016361786,-237.23807103908678,-223.29280169807615,-151.0612894602533,-82.69745944870219,-107.28372775085352
-178.10892399845184,-232.05095908503048,-218.98542417580137,-154.85809558258453,-95.29848086290025,-125.15369092664729
-157.96122472269116,-227.49738538506,-216.3090670995316,-160.25196176504085,-108.41742863570528,-142.50211311572994
-141.72410530567396,-223.52572339898413,-215.37304717221502,-167.32106605160823,-122.01272346571064,-159.2601902704904
-129.17608905002788,-220.08480718878707,-216.2938374378095,-176.13601839608043,-136.03034948093605,-175.36006562165008
-120.18942066989734,-217.11446348067508,-219.191086913997,-186.75683203569469,-150.4027786496746,-190.73490651609325
-114.7154784450842,-214.53361098715956,-224.18195147274503,-199.22866074650588,-165.04774510908845,-205.3190302756463
-112.76714070976647,-212.2278538455185,-231.37414480752756,-213.57639358148893,-179.8669925270451,-219.04810012092523
-114.39754878347145,-210.03906881545754,-240.85821115715117,-229.7982761398386,-194.74515953141622,-231.85941344137197
-119.67474422691316,-207.75979033643668,-252.69958016131955,-247.8588227736689,-209.54900767256504,-243.69230378100957
-128.65191943496654,-205.13507699096618,-266.9309763120665,-267.6813947483436,-224.12722714737737,-254.48867400966003
-141.33352409924987,-201.8738864073622,-283.54571375093025,-289.14093788812943,-238.31106995614337,-264.19367066002405
-157.63820787965307,-197.67077240503156,-302.4923126805896,-312.0574870367527,-251.91605021167894,-272.7564981919017
-177.36050329349825,-192.23705142366265,-323.67073726434995,-336.1911361686889,-264.7449100277188,-280.13135749325755
-200.13416149750847,-185.3387013632844,-346.9303967567528,-361.23922123829726,-276.59197280998825,-286.2784764526518
-225.4009905831215,-176.8364989469929,-372.06989829392836,-386.8364464031491,-287.24889462672263,-291.16518379003935
-252.38970936563368,-166.72266122065474,-398.83841899322493,-412.55858519557023,-296.51168537464673,-294.7669627837075
-280.1095003771795,-155.14787910396382,-426.9384991400295,-437.93019669535096,-304.1887176118945,-297.06841142086836
-307.36243164221844,-142.43332424845312,-456.03005799942883,-462.43651508939394,-310.10929031238356,-298.0640318268915
-332.7776055249586,-129.0639719221366,-485.7354939832067,-485.5393162668856,-314.1321884076262,-297.7587758621979
-354.8678021184998,-115.66217189853137,-515.6458297326182,-506.6961693099369,-316.1535974578097,-296.1682857784494
-372.106693540912,-102.94337322926836,-545.3279654674956,-525.3820881019512,-316.1137127744652,-293.3187879511563
-383.0217545024184,-91.65871291677817,-574.3331708778702,-541.112259590358,-314.0014331769173,-289.2466221003396
-386.29524480969917,-82.53127346106619,-602.2069420518985,-553.4642902825648,-309.85665121372006,-283.9974154904693
-380.8635952673816,-76.19380202742536,-628.5002555656972,-562.0983217475557,-303.76983393812134,-277.624938446952
-366.00463525794527,-73.13539893704322,-652.7820690453675,-566.773442883609,-295.87881204678075,-270.1897013156314
-341.402642203054,-73.66322270462169,-674.6526723053114,-567.3590733367066,-286.3629349427172,-261.75737137839906
-307.1832148728298,-77.88294761799122,-693.757231371827,-563.8403872140112,-275.4349770914857,-252.39709962634595
-263.91324880024564,-85.69901166790365,-709.7986453491546,-556.3173466367991,-263.33137049579443,-242.17985096746267
-212.5653554324627,-96.8330977421953,-722.5487068277591,-544.9974631167577,-250.30146814208805,-231.1768275669484
-154.4502908478005,-110.85721088595997,-731.8565590941189,-530.1829369331164,-236.59660093622654,-219.458064493867
-91.12468062048755,-127.23640955883981,-737.6535922726986,-512.2532791435472,-222.4596725942876,-207.09126114291624
-24.28397278327143,-145.37580172868613,-739.9542022412201,-491.64484777210725,-208.11594937005322,-194.14089280785763
44.348249518422556,-164.6667484268429,-738.8522119093714,-468.8288977634482,-193.76555865005344,-180.66762620212168
113.12381550924677,-184.52813470597877,-734.5131682889922,-444.2897442694633,-179.57803217499696,-166.7280424599456
180.55733215710222,-204.43982283404029,-727.1631191428331,-418.50448362719055,-165.68903827492278,-152.37465277060124
245.39106628585853,-223.9667487830732,-717.0747847106858,-391.92543749816423,-152.19926466578744,-137.65617650856868
306.63427571368027,-242.7733577823774,-704.5522340655566,-364.9661270975795,-139.17525724250362,-122.61804031929259
363.57711643616375,-260.629061019279,-689.9152347623838,-337.99119533657904,-126.6519037277938,-107.30304946488957
415.78195563539214,-277.4060671496819,-673.484373690452,-311.31032175450014,-114.63618047480433,-91.7521797700467
463.0568244431106,-293.0712945308573,-655.567870112526,-285.1758565485179,-103.11175638521175,-76.00543930317639
505.41671944914094,-307.6741437639554,-636.4507543212524,-259.78366156303787,-92.0440646599398,-60.10275273548241
543.0385444626185,-321.33177258684924,-616.3868067836934,-235.2764996054693,-81.38550196289728,-44.08482715314784
576.2148389444694,-334.2132430634097,-595.5933797008269,-211.7492576959575,-71.08048444626823,-27.99396480500043
605.3103061638421,-346.52357676538156,-574.2489842103847,-189.25531321443268,-61.07016938714193,-11.874794622690047
630.7237911624063,-358.48841628540947,-552.4933402994815,-167.8134359100702,-51.29672921155347,4.225100850717315
652.856999205986,-370.3396920913723,-530.4294609866176,-147.41474175281576,-41.707132479090035,20.254684298693416
672.0900687468867,-382.302455052089,-508.12727739758793,-128.0293549994972,-32.25643721459437,36.159110571362405
688.7632330872026,-394.58286363853665,-485.6283014797738,-109.61257326311596,-22.910631351488206,51.87954879176241
703.1632740306021,-407.3572065979532,-462.9508598820714,-92.11045106781779,-13.649060771373684,67.35321444361712
715.5132910150194,-420.76178799088177,-440.09550630856717,-75.46480876036505,-4.46646742730627,82.51365549058444
725.9644478445582,-434.88349495173094,-417.0503198475212,-59.617728391554095,4.625379485924185,97.29134460990765
734.5887617769106,-449.7509093433098,-393.79591121059195,-44.5156131161844,13.59653266100213,111.61463266418276
741.3725983143255,-465.32592106874756,-370.31007276070716,-30.112862827656784,22.398334813848564,125.41111203415511
746.2112499717396,-481.495966633944,-346.57210410597804,-16.37516156731303,30.96370784682253,138.60941783199436
748.9057148521731,-498.0672608996425,-322.56690391755126,-3.2822917606440285,39.20851193006483,151.14145689594767
749.1634395444412,-514.7597044573922,-298.2889236980732,9.169698853656826,47.034237038855025,162.94499802112617
746.6052212880737,-531.2044941053983,-273.74602134488873,20.967231079780703,54.33225289616733,173.96648534255266
740.7805379292408,-546.9457615366337,-248.9631360022306,32.07913106855409,60.98974270971558,184.1638584310717
731.1931642401312,-561.4477057777549,-223.9855531705556,42.45807000463864,66.89727569526598,193.5090908177919
717.3379587576433,-574.1085509115915,-198.88138025033507,52.043737714163086,71.95773996357791,201.99011029716655
698.7481726598937,-584.2821676773483,-173.74275872998115,60.767838878302484,76.09608407050912,209.61175709600954
675.0506726835615,-591.3073387351806,-148.68534956907115,68.56079104335035,79.26904264144478,216.39548386645288
646.0243588452722,-594.5435246530924,-123.84577422518188,75.35974886524022,81.47380270523072,222.37761025205467
611.655197205326,-593.4108104388662,-99.37697266344284,81.11731607954218,82.7544612057016,227.6061082631804
572.1801461401828,-587.4307527863629,-75.44180684234279,85.81008361641048,83.205180894401,232.13609315561874
528.1122613382616,-576.264359385535,-52.20561071293109,89.44600014197655,82.96919880468383,236.02439654242917
480.2406853751833,-559.743556264972,-29.828662856443955,92.06958332370877,82.23327065402754,239.32376639312514
429.60205001358446,-537.8932056780504,-8.459641746158496,93.76414021327008,81.21769629980041,242.07733643234343
377.42369450789863,-510.94181896034314,11.769036739314743,94.65047880477442,80.16267890058475,244.3140098293873
325.04337422579465,-479.32025717748763,30.743493225608745,94.88202324536074,79.31231437777163,246.04530124544266
273.81396095906086,-443.6486392246,48.36830896513209,94.63672668395222,78.89787968113484,247.26399050564874
225.0041954787241,-404.71223715375004,64.56470169958041,94.10662486530757,79.12220684583919,247.9446927168217
179.70725548859843,-363.4273916929614,79.26798381176877,93.48620575860491,80.14676232855928,248.04618824463446
138.76756640806636,-320.7986581860112,92.42550464898429,92.96091880923834,82.08262463762318,247.51512871863562
102.73319907968036,-277.86877506148545,103.99613454590767,92.69707843062571,84.98595034809273,246.2905812688018
71.83706290424846,-235.66380649755928,113.95191558632217,92.83413924252604,88.85785894142856,244.30881544033184
46.00583058981187,-195.1368958574541,122.2818902639305,93.47988642964447,93.64807968336407,241.50777848284216
24.892012069538836,-157.1151804272307,128.99747959601393,94.70857646088862,99.26129780025708,237.830828627367
7.9224648674872995,-122.25511716736099,134.1382773930295,96.56157902321553,105.56497720434041,233.22947225503438
-5.6438819619878196,-91.0113359459707,137.77687898612032,99.04970270689438,112.39753120268075,227.66504288641806
-16.65539901856011,-63.622956793753396,140.02142379176993,102.15620311102913,119.57601443192117,221.10943261458368
-26.008720030980346,-40.11917581463549,141.01487757600236,105.83950404108265,126.90293118189199,213.5451128668172
-34.593764618463794,-20.34323543482106,140.9306241052636,110.03489959544504,134.17219064919266,204.96474584836764
-43.243665292165986,-3.9912272028945353,139.9645530850189,114.65489732834814,141.17458675362758,195.37068799195745
-52.68963623661759,9.339884250095892,138.32439509547834,119.58833156232262,147.70336313578815,184.77463067540813
-63.520924833542544,20.101653153589197,136.21746330240137,124.69882870662612,153.56040698545334,173.19752794708205
-76.15079191650855,28.747428277382994,133.83815742851039,129.8235538289615,158.56340762989458,160.669846928967
-90.79054759012382,35.694736226605755,131.35655639693118,134.77333996218184,162.55396755743763,147.232065476691
-107.43452482647098,41.30001527831487,128.90920193652747,139.33526098991732,165.40624428610624,132.93525249144918
-125.85907708209123,45.84667012319342,126.59281492767715,143.27845637038212,167.03532322680155,117.8415129077955
-145.63800819637012,49.54529110719665,124.4612629430281,146.36359033064372,167.40426035287174,102.02406921167402
-166.17530670131316,52.5432411514402,122.525687054732,148.3557984320657,166.5286520327486,85.56678470985992
-186.75392823913688,54.93985714321438,120.75736618181296,149.04042579898456,164.47771586070982,68.56300436918943
-206.5970807463179,56.8032912148316,119.09269953393385,148.24037869738015,161.3711890536982,51.1136851932686
-224.93649967169196,58.18546160512162,117.43965091918736,145.83356332275002,157.37182164701673,33.324894697847654
-241.08096603940095,59.13254338599312,115.68512376207966,141.76871410494326,152.67378547244806,15.30485688183498
-254.4780632891354,59.68971680793943,113.7029922253299,136.07792878321786,147.48785016685287,-2.839194750223605
-264.7629202309842,59.9003061036737,111.36283999602215,128.88441165263083,142.0246121419754,-21.004049661861963
-271.78927275193956,59.80079249571283,108.53976582575272,120.40424476639295,136.47733814398015,-39.09312200039499
-275.64027391643504,59.41429388177207,105.1258007711755,110.94141926617895,131.00606656397127,-57.01833706597647
-276.6187071634604,58.74580680433215,101.04344686246719,100.87583062357831,125.7244934883534,-74.70108671352459
-275.2182561598128,57.782657522190064,96.26151837544407,90.64444854050018,120.69088205003436,-92.07213554106363
-272.079005461797,56.5030903174265,90.81282473594926,80.7164001825194,115.90381999855065,-109.07047559745772
-267.93127824093534,54.89466756160243,84.81233068712028,71.56324201237496,111.30317013742706,-125.64124916727474
-263.5322939431031,52.98219312415294,78.47339957180343,63.6262204651774,106.77607111968535,-141.73297453156204
-259.60009369985505,50.86235835593651,72.11878018966868,57.282798430080305,102.16740413874086,-157.29440683239108
