q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qd10,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8,qdd9,qdd10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.010000944513180845,0.02000088871796791,0.029998832406019662,0.03999377556908902,0.04998471849904561,0.059970661887867927,0.06995060692759553,0.07992355541023123,0.0898885098275832,0.09984447347103712,0.9999499893038872,1.999599924435377,2.9986498012419656,3.996799715603932,4.993749913433218,5.989200840651306,6.982853193139077,7.974407966651669,8.963566506691357,9.950030558331424,-0.010000944513180845,-0.08000355487187163,-0.26998949165417696,-0.6399004091054243,-1.24961796247614,-2.1589438279632454,-3.427579739452181,-5.115107546254799,-7.28096929603424,-9.984447347103712
0.02000088871796791,0.03999377556908902,0.059970661887867927,0.07992355541023123,0.09984447347103712,0.11972544619774463,0.1395585196989648,0.15933575924661852,0.17904925245042702,0.1986911124234661,0.9997999622176885,1.998399857801966,2.994600420325653,3.9872039833258346,4.975015279165712,5.956842236552772,6.931496776266455,7.897795604649403,8.854561004417576,9.800621622345828,-0.02000088871796791,-0.15997510227635608,-0.5397359569908113,-1.2787768865636997,-2.496111836775928,-4.310116063118807,-6.8383674652492745,-10.197488591783586,-14.50298944848459,-19.86911124234661
0.029998832406019662,0.059970661887867927,0.0898885098275832,0.11972544619774463,0.14945461380206518,0.17904925245042702,0.2084827230465985,0.23772853156695056,0.26676035290858857,0.2955520545854333,0.9995499337473218,1.9964002802171021,2.9878555022304525,3.971228157701848,4.943842934431866,5.903040669611718,6.846182348971045,7.770653080524015,8.673866037898147,9.553266368265511,-0.029998832406019662,-0.2398826475514717,-0.8089965884482488,-1.915607139163914,-3.7363653450516296,-6.445773088215373,-10.215653429283327,-15.214626020284836,-21.607588585595675,-29.555205458543334
0.03999377556908902,0.07992355541023123,0.11972544619774463,0.15933575924661852,0.1986911124234661,0.23772853156695056,0.276385551255398,0.3146003147603548,0.35231167302614874,0.3894592825170735,0.999199928900983,1.9936019916629173,2.978421118276386,3.9488978023247014,4.900310811172914,5.827989810393012,6.7273278741120714,7.593793853204858,8.422944573544978,9.210436836878511,-0.03999377556908902,-0.3196942216409249,-1.0775290157797017,-2.5493721479458964,-4.967277810586652,-8.55822713641022,-13.542892011514502,-20.13442014466271,-28.537245515118048,-38.94592825170735
0.04998471849904561,0.09984447347103712,0.14945461380206518,0.1986911124234661,0.24743087638378833,0.2955520545854333,0.34293434241661863,0.3894592825170735,0.4350105609255411,0.47947429786870915,0.9987499826866437,1.9900061116662846,2.96630576065912,3.920248648938331,4.844527741204375,5.731959820959307,6.57551563018238,7.3683494695028084,8.10382815480085,8.77555922823901,-0.04998471849904561,-0.39937789388414846,-1.3450915242185866,-3.1790577987754576,-6.185771909594708,-10.6398739650756,-16.803782778414313,-24.925394081092705,-35.235855434968826,-47.94742978687091
0.059970661887867927,0.11972544619774463,0.17904925245042702,0.23772853156695056,0.2955520545854333,0.35231167302614874,0.40780306816772616,0.46182648653729375,0.5141874589670069,0.5646975006285585,0.9982001401085511,1.985614078850924,2.951520334805859,3.8853265402620076,4.776633184132756,5.615296382363319,6.391489358675054,7.095762324464342,7.719100454089535,8.25297966060658,-0.059970661887867927,-0.4789017847909785,-1.6114432720538432,-3.803656505071209,-7.3888013646358335,-12.683220228941355,-19.98235034021858,-29.5568951383868,-41.64918417632756,-56.46975006285585
0.06995060692759553,0.1395585196989648,0.20848272304659848,0.276385551255398,0.3429343424166186,0.4078030681677261,0.47067393093392956,0.5312389208463627,0.5892013247094364,0.6442771796247977,0.9975504561627252,1.980427650361844,2.934078149559019,3.8441873566354694,4.696796878701701,5.478419450292904,6.176150620428627,6.777776432915997,7.271876354546484,7.647920735825629,-0.06995060692759553,-0.5582340787958592,-1.8763445074193863,-4.422168820086368,-8.573358560415464,-14.68091045403814,-23.06302261576255,-33.99929093416721,-47.72530730146435,-64.42771796247978
0.07992355541023123,0.15933575924661852,0.23772853156695056,0.3146003147603548,0.3894592825170735,0.46182648653729375,0.5312389208463627,0.597252484110874,0.6594448210027005,0.7174180244319057,0.9968009958314586,1.9744489011623507,2.913994905196506,3.796896926602429,4.6052184184392555,5.321821743348257,5.930554378801497,6.416426271242971,6.765776730891289,6.966429345225727,-0.07992355541023123,-0.6373430369864741,-2.139556784102555,-5.033605036165677,-9.736482062926838,-16.625753515342574,-26.03070712147177,-38.22415898309593,-53.415030501218745,-71.74180244319058
0.0898885098275832,0.17904925245042702,0.26676035290858857,0.35231167302614874,0.43501056092554113,0.5141874589670069,0.5892013247094364,0.6594448210027005,0.7243492331907598,0.7833890736142467,0.9959518340768174,1.967680223203906,2.8912886792993824,3.743530921575546,4.502126752667138,5.146066969393023,5.655903831313932,6.014023760792257,6.204899133624383,6.215316237664922,-0.0898885098275832,-0.7161970098017081,-2.4008431761772973,-5.63698676841838,-10.875264023138529,-18.51074852281225,-28.870864910762386,-42.20446854417283,-58.67228788845155,-78.33890736142467
