theta1,theta2,thetadot1,thetadot2,thetaddot1,thetaddot2
0.0,0.0,0.0,0.0,-19.041428571428572,37.38857142857143
-0.0009536850855510607,0.0018724349610669052,-0.19051615180375447,0.3740361437995722,-19.0233259917794,37.342661969506565
-0.003811346760302461,0.007479673713932896,-0.3808034343023362,0.7474569095551717,-19.00073423670988,37.282481504281435
-0.008572054668898491,0.016819933095192908,-0.5708052704853729,1.1200847979512645,-18.965878536244684,37.18338812661886
-0.015236204634542993,0.029895755547975876,-0.7603844444298665,1.4914937348714463,-18.905919944553784,37.00467114248597
-0.02379745626643611,0.046688220887425094,-0.9491930082137203,1.8605814011734,-18.80334785535282,36.69074020705864
-0.03424268002474228,0.06715677684312817,-1.1366714914169205,2.22556662094041,-18.636883734129295,36.17385984151978
-0.04655195722059019,0.0912392390591168,-1.322048901121535,2.5839893614813567,-18.383101230616116,35.37904380188693
-0.06069858001607278,0.11885179109386698,-1.5043427219117145,2.932710733330725,-18.01890252388807,34.231530112027585
-0.07664905142424729,0.14988898442029894,-1.682358915873693,3.2679129902485977,-17.524836946834718,32.666800353157306
-0.09437055094493588,0.18424705789637416,-1.8547553799847858,3.5853138524018,-16.888584559175168,30.64107300180055
-0.11379608555042661,0.22171544468015192,-2.0200609045328104,3.8801125365610982,-16.110066061960534,28.146988656203806
-0.13482597907105315,0.26197745530653194,-2.176914146759378,4.147701241492953,-15.2042356589548,25.222353228849126
-0.15736133053116916,0.304712903988525,-2.324282288447037,4.384423599432806,-14.199271956753606,21.94482459082968
-0.18130420661837082,0.3495987039944404,-2.461462173018246,4.58757868982074,-13.133583252130395,18.42322877750299
-0.20655764168349716,0.39630886764788686,-2.5880803055353736,4.755421039301483,-12.051043919090313,14.783602760893455
-0.2330256377406298,0.4445145063277717,-2.7040928527006995,4.887160621724404,-10.99545294534361,11.152908187476706
-0.2606131644670929,0.49388383046830125,-2.809785642856415,4.982962858143518,-10.005348143109721,7.643777192290076
-0.28922615920345346,0.5440821495589809,-2.9057741659846195,5.043948616817478,-9.11010263185793,4.343021248549844
-0.31877152695352107,0.5947718721446147,-2.993003573707327,5.072194213209586,-8.327799252206471,1.305335218680297
-0.3491571403843479,0.645612505825306,-3.0727486792864576,5.070731409987781,-7.664907220550055,-1.4477869335653684
-0.38029309670404143,0.6962645820186826,-3.1465524468276724,5.043429516178966,-7.1176400362761365,-3.924208838278152
-0.41212180660377745,0.7464735064956866,-3.2154265955842067,4.993036215483159,-6.677235939635408,-6.144747473760694
-0.44461653347858643,0.7960580828209206,-3.2803369857937663,4.921575517911314,-6.331298055250037,-8.140945186476717
-0.47775305049239414,0.8448421580560117,-3.3421998059368914,4.830940875644637,-6.065106520114046,-9.94991852912517
-0.5115089187340848,0.8926545329234348,-3.4017696352730677,4.722756045717047,-5.863065480625899,-11.609450563014189
-0.5458634872175004,0.9393289618065128,-3.459639443840725,4.598375090015174,-5.709461718319878,-13.155498167311032
-0.5807978928814417,0.9847041527494174,-3.5162405924572386,4.458882375278352,-5.588922410784833,-14.6205960487359
-0.6162950605896669,1.028623767457168,-3.5718428327189273,4.305092573098631,-5.486636805847843,-16.03296502761275
-0.652339703130893,1.0709364212956327,-3.626554307001056,4.137550659920765,-5.388404726677153,-17.416139101446177
-0.6889183212187948,1.1114956832915273,-3.680321548457833,3.956531917042221,-5.2805662777390605,-18.78895338800587
-0.7260192034920059,1.1501600761324162,-3.7329294810224125,3.7620419306131723,-5.1498564096909725,-20.165769690109723
-0.763632426514117,1.1867930761667118,-3.784001419406893,3.5538165916365054,-4.9832176693919505,-21.556850376113285
-0.8017498547736779,1.2212631134036749,-3.8329990691023177,3.331322095967815,-4.767595670359051,-22.96882093125446
-0.8403501820233318,1.2534194509521888,-3.8795914466986883,3.0940470696529676,-4.489087048888198,-24.409945948884545
-0.8793991684051121,1.2831014016187388,-3.9232582324105483,2.8419273783753063,-4.1340736935553934,-25.884769290620433
-0.9188657507223912,1.3101717577744938,-3.9628998958955703,2.5748506362969437,-3.690403047139867,-27.388770523707215
-0.9587063590492199,1.334490612842329,-3.997392570875853,2.292711836843642,-3.146525713924695,-28.916084747398713
-0.9988648740109655,1.3559152894082291,-4.025589352849229,1.995413861706803,-2.4917302090567612,-30.460093426040146
-1.0392726267843126,1.3743003392212902,-4.046320299089268,1.6828674808434656,-1.716416565334537,-32.01400879452568
-1.079848399097263,1.389497543193718,-4.058392428645274,1.3549913524763073,-0.812400578319859,-33.57145960297053
-1.1204984232291348,1.4013559114008292,-4.060589722342288,1.011712023093641,0.22675892669696673,-35.12706883937398
-1.161116382010563,1.40972168308105,-4.051673122781087,0.6529639274494241,1.4054192885658705,-36.67701396421378
-1.2015834088235002,1.4144383266359182,-4.03038053433818,0.27868938856324776,2.7255110574839847,-38.219560105185
-1.241768087601215,1.4153465396300815,-3.9954268231658143,-0.11116138227966088,4.1862063104506495,-39.75555643848445
-1.2815264528282937,1.4122842487912974,-3.945503817191973,-0.5166302855284313,5.7836138068232374,-41.28888537244252
-1.3207019895406393,1.405086610010435,-3.879280306120374,-0.9377513333665575,7.510518755715178,-42.82685278457051
-1.3591256333254709,1.3935860083414728,-3.7954020414304703,-1.3745506497118973,9.356186920997581,-44.380504904225035
-1.3966157703213262,1.3776120580015,-3.6924917363774514,-1.827046470216667,11.306253914982106,-45.964852605347005
-1.4329807615142194,1.3569970994902651,-3.5691994226301764,-2.2955195034392992,13.344143456618188,-47.60129704109605
-1.4680245727987435,1.331613809490292,-3.424835623206719,-2.781362696744025,15.458791320096914,-49.333653159634245
