theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,thetaddot1,thetaddot2,thetaddot3
0.0,0.0,0.0,0.0,0.0,0.0,-4.334651162790699,2.737674418604656,1.9391860465116244
-0.00021716667380455415,0.00013715789875616544,9.715351207758984e-05,-0.04338990121793972,0.02740414784310156,0.019411271665224668,-4.334651006674972,2.7376741723855575,1.9391860106129313
-0.0008686616912193495,0.0005486237024163807,0.00038861289958612433,-0.08677970182820097,0.054808137035138746,0.03882252020846953,-4.334648664930626,2.7376704790765443,1.9391854721195818
-0.0019544855029011055,0.0012343981215769077,0.0008743782667567258,-0.13016937639290424,0.08221192746629377,0.0582337397669456,-4.334638517369814,2.7376544747289167,1.9391831386335232
-0.0034746459807677853,0.002194493572319008,0.00155445142068098,-0.17355896468318202,0.10961558182796846,0.0776449394512902,-4.334611197117457,2.737611386324199,1.939176856283884
-0.005429143366085323,0.003428910435719631,0.002428832414898287,-0.21694827712303924,0.13701880110545483,0.09705607566149066,-4.33455359077019,2.7375205320241216,1.939163609886091
-0.007817970160862121,0.004937636886553455,0.0034975195244599123,-0.2603368927324378,0.16442092133429384,0.1164670516142226,-4.334448838729449,2.737355321652399,1.9391395231712603
-0.010641111127849054,0.006720648893292887,0.0047605092459289886,-0.30372415912729667,0.19182091360027526,0.1358777173428498,-4.3342763359143675,2.737083257785735,1.93909985924592
-0.013898543290539463,0.008777910218108058,0.006217796297380515,-0.34710919251949146,0.21921738403943752,0.1552878696974243,-4.334011733109597,2.7366659378955647,1.9390390215211923
-0.017590235933169166,0.011109372416866834,0.007869373618401355,-0.3904908777168549,0.2466085738380682,0.17469725234468633,-4.333626939252781,2.736059058046385,1.9389505554307513
-0.021716150600716442,0.013714974839134806,0.009715232370090242,-0.43386786812317674,0.27399235923270343,0.1941055557680644,-4.333090125016173,2.7352124187217295,1.93882715133556
-0.026276241098902052,0.016594644628175302,0.011755361935057777,-0.4772385857382035,0.30136625151012825,0.21351241726767525,-4.332365728085971,2.734069933413045,1.9386606490915204
-0.03126917219727053,0.019746272348067057,0.013989594648978938,-0.5205970157777731,0.32872120419941764,0.23291688005097455,-4.331414333685799,2.7325693318109217,1.9384419062558866
-0.03669360665310267,0.023167744906702478,0.016417779678722703,-0.5639367362487182,0.3560475830551852,0.25231785597377976,-4.330192719584297,2.7306422678996656,1.9381608417069243
-0.04255032081142719,0.026860288512887034,0.01904002580381896,-0.6072577519071036,0.3833451750793294,0.27171500187579306,-4.328654138317453,2.7282149961103235,1.9378067411226605
-0.04883994915464636,0.030824905637361392,0.021856413206407466,-0.6505591440932827,0.41061232317538754,0.2911078013356461,-4.326748183885669,2.725208029292263,1.9373681087914811
-0.05556296716899043,0.03506234794447409,0.024866991337850305,-0.693839014819023,0.43784584366501667,0.31049555760431197,-4.324420810922408,2.721536167664125,1.936832682413445
-0.06271969134451759,0.03957311629218151,0.028071778918731898,-0.7370944867675059,0.4650410262879938,0.3298773936051047,-4.321614358284808,2.7171085347588817,1.9361874509355088
-0.07031027917511404,0.044357460732047896,0.03147076393885903,-0.7803217032933268,0.49219163420221607,0.34925225193367965,-4.318267576523526,2.7118286185831324,1.9354186743444959
-0.07833472915849385,0.049415380509245356,0.035063903657260795,-0.8235158284224953,0.5192899039837001,0.3686188948580333,-4.314315660131154,2.705594319703695,1.9345119059383766
-0.08679288079619916,0.054746624062553845,0.03885112460218863,-0.8666710468524349,0.5463265456265828,0.38797590431850343,-4.309690285494387,2.6982980080109606,1.9334520176501184
-0.09568441459360005,0.060350689024361207,0.04283232257111636,-0.9097805639519831,0.573290742543121,0.40732168192776896,-4.304319655499231,2.689826589948041,1.9322232290425267
-0.10500885205989445,0.06622682222066309,0.04700736263074007,-0.9528366057613913,0.6001701515636909,0.4266544489708499,-4.298128551760946,2.680061588038255,1.9308091406235146
-0.11476555570810841,0.07237401967106304,0.05137607911697824,-0.995830418992325,0.6269509029367893,0.44597224640510774,-4.291038395468566,2.6688792345872088,1.9291927721476967
-0.12495372905509584,0.07879102658877243,0.05593827563497166,-1.0387522710278638,0.6536176003290328,0.46527293486024474,-4.282967317848089,2.6561505814810653,1.9273566065677321
-0.13557241662153868,0.08547633738061058,0.060693725059083506,-1.0815914499225012,0.6801533208251573,0.48455419463830474,-4.27383024125633,2.6417416280459682,1.9252826402763525
-0.14662050393194676,0.0924281956470045,0.06564216953289924,-1.1243362644021446,0.7065396149280196,0.5038135257136725,-4.263538971918918,2.625513468975808,1.9229524402330522
-0.15809671751465793,0.09964459418198923,0.07078332046922668,-1.1669740438641156,0.7327565065585957,0.5230482477330743,-4.252002305318511,2.607322464372217,1.920347208497828
-0.16999962490183795,0.10712327497320762,0.076116858550096,-1.2094911383771496,0.7587824930559814,0.5422555000155772,-4.239126145222196,2.587020433971646,1.9174478545945812
-0.18232763462948065,0.11486172920191026,0.0816424337267597,-1.2518729186813964,0.784594545177393,0.5614322415525896,-4.224813637309227,2.5644548776573672,1.9142350759978948
-0.1950789962374077,0.12285719724295577,0.0873596652196926,-1.2941037761884193,0.8101681070981666,0.5805752510078614,-4.2089653183187945,2.5394692243645567,1.9106894468788125
-0.20825180026926882,0.13110666866481058,0.09326814151859195,-1.336167122981196,0.8354770964117577,0.5996811267174835,-4.191479281582887,2.5119031114846955,1.90679151505624
-0.22184397827254163,0.13960688222954884,0.09936742038237717,-1.3780453918141178,0.8604939041297424,0.6187462866898877,-4.172251359737952,2.4815926968544995,1.9025219068829766
