time,theta_1,theta_2,theta_3,theta_4,theta_5,theta_dot_1,theta_dot_2,theta_dot_3,theta_dot_4,theta_dot_5,theta_ddot_1,theta_ddot_2,theta_ddot_3,theta_ddot_4,theta_ddot_5
0.0,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.0,0.0,0.0,0.0,0.0,-6.438842415810007,-0.46434112424970575,-0.06193332368583096,-0.4027254073520018,-5.576222379242161
0.01001001001001001,0.7850756525889954,0.7853748331534041,0.7853950494568639,0.7853779782727425,0.7851188302280685,-0.06442244707201858,-0.004674698483971675,-0.0006243809474070693,-0.004034691289707526,-0.05580349233896581,-6.429720792034163,-0.4723265041663522,-0.06326117906518931,-0.40374677044887225,-5.571860850325013
0.02002002002002002,0.7841090344708928,0.785304042048324,0.7853855743230859,0.785317320402871,0.7842812679941182,-0.1286621325683468,-0.009509386888605247,-0.0012754391710833397,-0.008089890273647354,-0.1115195674084471,-6.402312486482966,-0.4963188701555268,-0.0672726471844159,-0.4068287140911095,-5.558746710116445
0.03003003003003003,0.782501056354218,0.78518338522459,0.785369335390645,0.785215880560359,0.7828867914218218,-0.1925354417772564,-0.014664762258583312,-0.0019804072961222253,-0.012186458768859263,-0.1670602228426316,-6.356491264966955,-0.5364220208195838,-0.074051272186148,-0.41202427412598974,-5.536792524155634
0.04004004004004004,0.780256311325865,0.7850088429019331,0.7853456522004436,0.7850731373711751,0.7809376016019364,-0.25585712977806446,-0.020302837535020594,-0.0027676380961780675,-0.01634596257436794,-0.22233630157131257,-6.29206019892507,-0.5927928396369748,-0.08373570527793163,-0.4194200906931297,-5.505856649140598
0.050050050050050046,0.7773812573583607,0.7847747652094808,0.7853135528817701,0.7848883488573304,0.7784367997965704,-0.31843969296919195,-0.02658738960958084,-0.003667130858081542,-0.02059098844679908,-0.2772569851640111,-6.208771472205403,-0.665617643539991,-0.09651873162150494,-0.4291337927551003,-5.465749287050401
0.06006006006006006,0.7738842421971703,0.7844738537537419,0.7852717543256811,0.7846605404196745,0.7753884067831461,-0.38009303514446635,-0.033684027664197924,-0.004711098338039963,-0.024945444786459898,-0.33172934769477636,-6.106353410640489,-0.7550800441320968,-0.11264571194290032,-0.44131036804830526,-5.416240857182069
0.07007007007007007,0.7697755308022995,0.7840971424689418,0.7852186384648125,0.7843884906402362,0.771797385429988,-0.44062430226248733,-0.041760102858783926,-0.005934439258018378,-0.02943480635895457,-0.38565800553798313,-5.984543890832371,-0.8613213841965909,-0.13241236094269587,-0.45611756043474944,-5.357072488663858
0.08008008008008008,0.7650673293456673,0.7836339869974912,0.7851522211949105,0.7840707141551326,0.7676696667905684,-0.4998383059817738,-0.050983867349519846,-0.007375281379174615,-0.03408632069294595,-0.4389448962296789,-5.843128709171114,-0.9843957149529796,-0.15616146338278403,-0.4737403906097076,-5.287968413606055
0.09009009009009009,0.759773810174578,0.7830720535608429,0.7850701207033187,0.7837054437912485,0.7630121772476623,-0.5575380109197997,-0.061523634399682114,-0.009075366952870399,-0.03892914687433751,-0.49148915558418715,-5.6819838640647715,-1.1242203923486878,-0.18427883450647634,-0.4943748760311384,-5.208649850726544
