theta1,theta2,thetadot1,thetadot2,thetaddot1,thetaddot2
0.0,0.0,0.0,0.0,-3.567272727272727,3.1213636363636357
-0.00017873001729278278,0.00015640130216895234,-0.03571116822206524,0.031251029395975925,-3.567818621851886,3.122591896873283
-0.0007149537626729765,0.0006256809364660681,-0.07142774596360171,0.0625142286047694,-3.56836319681315,3.1238171559425716
-0.0016087261837094062,0.001407962539871958,-0.10714971749109649,0.09378956188603293,-3.568903251292446,3.1250321276806368
-0.002860106324783833,0.0025033790923573913,-0.1428771017663884,0.12507707269705598,-3.56943353058844,3.1262248473467054
-0.004469148970282713,0.00391205386915661,-0.17860979069771826,0.15637651501711708,-3.5699467246111336,3.1273786664348644
-0.006435904584316111,0.005634100303356414,-0.21434754801017553,0.18768735077287316,-3.5704334666293125,3.1284722486175847
-0.008760419310717705,0.007669621985896156,-0.25009000924569824,0.21900874983835977,-3.5708823324326615,3.1294795668952484
-0.011442734973044778,0.01001871266556774,-0.285836681763073,0.25033959003499096,-3.5712798400539825,3.1303699023657297
-0.014482889074578228,0.012681456249015637,-0.32158694473793503,0.28167845713155926,-3.5716104502260175,3.1311078450934184
-0.01788091479832255,0.015657926800736858,-0.3573400491627683,0.31302364484423584,-3.571856567776316,3.1316532976220963
-0.02163684100700587,0.018948188543080984,-0.3930951178469052,0.34437315483657044,-3.5719985441925193,3.1319614817410697
-0.025749940545257626,0.022550649692172575,-0.4288491457521451,0.37572133114502076,-3.572014799555522,3.13198326907568
-0.0302194755040217,0.02646369769003248,-0.46459887476663203,0.40706200975759216,-3.5718817944579095,3.131665108861552
-0.03504594497653926,0.030688428170138296,-0.500344041110433,0.4383938784565441,-3.5715737886993386,3.13094837425758
-0.04022976964301122,0.035225761186133575,-0.5360839004359588,0.4697145863612249,-3.5710629939074905,3.1297697754188474
-0.045771281749135806,0.04007641925416049,-0.571817201334105,0.5010206992275441,-3.5703195914539942,3.128061409658259
-0.05167072510610853,0.04524092735285992,-0.6075421853342508,0.5323076994479723,-3.5693117551222007,3.1257508252825916
-0.05792825509062224,0.050719612923371356,-0.6432565869042601,0.5635699860515415,-3.5680056803018734,3.122761104036864
-0.06454393864486707,0.056512605869332995,-0.6789576334504812,0.5948008747038448,-3.5663656201753056,3.1190109635388943
-0.07151775427653044,0.06261983855688166,-0.7146420453177467,0.6259925977070365,-3.564353929361212,3.11441488108675
-0.07884959205879716,0.06904104581465287,-0.7503060357893729,0.6571363039998322,-3.561931115477656,3.1088832402054702
-0.08653925363034924,0.07577576493378074,-0.7859453110871613,0.6882220591575087,-3.559055899071958,3.102322501263535
-0.09458645219536604,0.08282333566789812,-0.8215550703713969,0.7192388453919037,-3.5556852823437026,3.0946353974327967
-0.10299081252352428,0.09018290023313649,-0.8571300057408496,0.7501745615514166,-3.5517746270552686,3.0857211571856347
-0.11175187094999794,0.097853403308126,-0.8926643022327736,0.781016023121008,-3.5472777419826524,3.075475754418894
-0.12086907537545825,0.1058335920339954,-0.9281516378229068,0.8117489622221989,-3.542146980206472,3.0637921871636147
-0.13034178526607382,0.11412201601437216,-0.9635851834254721,0.8423580276130725,-3.5363333464789446,3.0505607856821286
-0.14016927165351065,0.12271702731538245,-0.998957602893176,0.8728267846882728,-3.529786614826426,3.035669550568039
-0.15035071713493187,0.13161678046565098,-1.0342610530172105,0.9031377154790051,-3.5224554564590904,3.019004521250249
-0.16088521587299798,0.1408192324563013,-1.0694871835272504,0.9332722186530357,-3.5142875779587253,3.0004501750582286
-0.17177177359586676,0.15032214274095534,-1.1046271370914553,0.9632106095146921,-3.5052298696033812,2.9798898567335623
-0.18300930759719347,0.16012307323573402,-1.1396715493164704,0.9929321200048635,-3.495228563563351,2.9572062379721062
-0.19459664673613047,0.1702193883192567,-1.1746105487474234,1.0224148987009998,-3.4842294015678728,2.9322818062540406
-0.20653253143732753,0.18060825483264142,-1.2094337568679272,1.051636010817112,-3.4721778114965045,2.904999381866935
-0.21881561369093172,0.19128664207950502,-1.244130288100079,1.0805714382037737,-3.459019092194961,2.875242661652885
-0.23144445705258743,0.20225132182596284,-1.2786887498044601,1.109196079348117,-3.4446986056532314,2.842896787617172
-0.24441753664343618,0.213498868300629,-1.313097242280136,1.137483749373838,-3.429161975516617,2.8078489381279117
-0.25773323915011714,0.22502565819461615,-1.3473433587646568,1.1654071800411925,-3.412355290729109,2.7699889390167813
-0.2713898628247665,0.23682787066153563,-1.381414185434057,1.1929380197469974,-3.394225312936654,2.7292098914671237
-0.28538561748501773,0.24890148731749764,-1.4152963014028543,1.220046833524632,-3.374719686107309,2.685408813152037
-0.29971862451400194,0.2612422922411108,-1.4489757787240531,1.2467031030440354,-3.3537871466592706,2.638487288668503
-0.31438691686034714,0.2738458719734825,-1.48243818238914,1.2728752266117094,-3.3313777322297033,2.5883521249114443
-0.3293884390381789,0.2867076155182186,-1.5156685703280854,1.2985305191707148,-3.3074429870700723,2.534916006650402
