theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,thetaddot1,thetaddot2,thetaddot3
1.5707963267948966,1.0471975511965976,0.0,0.0,0.0,0.0,1.5233685482017856,-0.9081620191202954,-0.2636599410349243
1.5708726492036467,1.0471520524468505,-1.3210187822486975e-05,0.015249504307794733,-0.009090594003645014,-0.0026395591935733037,1.5235393293241717,-0.9081269905845937,-0.2637559751713823
1.5711016330360015,1.0470155602438218,-5.284953364289938e-05,0.030502430349112573,-0.01818048576862692,-0.005281046729065897,1.5240516588043294,-0.9080218221908385,-0.26404412143680567
1.5714833298860194,1.0467880848020246,-0.0001189472682059147,0.045762196163398355,-0.027268974491383352,-0.007926382969029836,1.5249055017699367,-0.9078462725232562,-0.26452452195147297
1.5720178258604,1.046469643137903,-0.00021155243575046528,0.061032217359041414,-0.036355354433947676,-0.010577488067065334,1.5261008002097198,-0.9075999391864058,-0.2651974150601194
1.57270524101472,1.0460602597065916,-0.000330733007445543,0.07631590963387308,-0.045438912589481094,-0.013236288568307095,1.5276374699229078,-0.9072822554381318,-0.266063132431708
1.573545729353432,1.0455599664019155,-0.000476575881390199,0.09161668877516671,-0.05451892868227264,-0.01590471740942433,1.5295153992549566,-0.90689248856122,-0.2671220993260741
1.5745394788298663,1.0449688025563912,-0.0006491868826135432,0.10693797065963756,-0.06359467516773915,-0.018584713918620748,1.5317344474534396,-0.9064297377394916,-0.2683748347824961
1.575686711346229,1.0442868149412246,-0.0008486907630747457,0.12228317125344298,-0.07266541723242533,-0.021278223815634562,1.5342944426393499,-0.905892931432007,-0.269821951724863
1.5769876781795071,1.0435140636669735,-0.0010752243897177946,0.1376557067399312,-0.08173039826044796,-0.023987214884669934,1.5371951628987783,-0.9052808066378413,-0.2714641345135183
1.5784425855361472,1.042650717023083,-0.0013288238351456363,0.15305900081638088,-0.09078861574654568,-0.026713928139964423,1.5404360631224852,-0.9045916171302254,-0.27330177008117235
1.5800517519940152,1.041696847662537,-0.00160965717776805,0.1684964834124348,-0.09983932691554366,-0.029460337267376346,1.5440168379379327,-0.90382373345279,-0.2753357185669587
1.5818155671269514,1.0406524897129679,-0.0019179686998145149,0.18397157555854116,-0.10888187582093004,-0.03222830417535096,1.5479372750012759,-0.902975483884887,-0.2775671209123636
1.5837344513101081,1.039517691146451,-0.00225401986356616,0.19948768824987234,-0.11791556002019576,-0.03501971854969059,1.552197107263078,-0.9020449959890067,-0.2799972055307904
1.585808855719948,1.038292513779506,-0.0026180893113557585,0.21504822244632482,-0.12693963057483465,-0.03783649785355456,1.556796008880651,-0.9010301916025096,-0.28262729100113343
1.5880392623342436,1.0369770332730968,-0.0030104728655677344,0.23065656907251925,-0.13595329205034345,-0.04068058732745921,1.5617335906833902,-0.8999287812304247,-0.28545878862213825
1.5904261839320792,1.0355713391326302,-0.003431483528638158,0.24631610901780027,-0.14495570251622164,-0.04355395998927794,1.5670093951775994,-0.898738257821386,-0.2884932048160083
1.5929701640938487,1.034075534707958,-0.0038814514830547452,0.2620302131362368,-0.15394597354597173,-0.046458616634241175,1.572622891076213,-0.8974558899074072,-0.2917321433679315
1.5956717772012572,1.0324897371933748,-0.004360724091356863,0.2778022422466219,-0.16292317021709893,-0.049396585834936335,1.578573467337748,-0.896078714086883,-0.2951773074863897
1.5985316284373203,1.03081407762762,-0.004869665896135523,0.29363554713247264,-0.1718863111111114,-0.0523699239413079,1.5848604266977133,-0.894603526828828,-0.2988305016672489
1.6015503537863645,1.0290487008938765,-0.005408658620033384,0.3095334685420302,-0.18083436831352018,-0.05538071508065737,1.591482978674639,-0.8930268755750914,-0.30269363334274835
1.6047286200340265,1.0271937657197707,-0.005978101165744758,0.32549933718826,-0.18976626741383912,-0.05843107115764326,1.598440232031792,-0.8913450491159528,-0.30676871429456287
1.6080671247672538,1.0252494446773737,-0.006578409616015591,0.34153647374885154,-0.19868088750558488,-0.06152313185428111,1.6057311866745123,-0.8895540672132022,-0.31105786180807354
1.6115665963743047,1.0232159241831995,-0.007210017233643494,0.35764818886621846,-0.2075770611862771,-0.06465906462994354,1.6133547249621045,-0.8876496694436129,-0.3155632995430742
1.6152277940447481,1.021093404498207,-0.007873374461477711,0.3738377831474984,-0.2164535745574383,-0.0678410647213601,1.6213096024120583,-0.885627303234428,-0.32028735809390735
1.6190515077694632,1.0188820997277983,-0.008568948922419146,0.3901085471645534,-0.2253091672245937,-0.07107135514261748,1.6295944377733305,-0.8834821110613238,-0.32523247520999815
1.6230385583406401,1.0165822378218194,-0.009297225419420336,0.4064637614539692,-0.23414253229727144,-0.07435218668515929,1.6382077024444168,-0.8812089167782061,-0.3304011956455782
1.6271897973517797,1.0141940605745607,-0.010058705935485477,0.4229066965170562,-0.24295231638900266,-0.07768583791778627,1.6471477092108318,-0.8788022110470561,-0.3357961706051261
1.6315061071976935,1.0117178236247557,-0.01085390963367041,0.4394406128198483,-0.2517371196173212,-0.08107461518665608,1.6564126002756532,-0.8762561358350806,-0.3414201567487994
1.6359884010745032,1.0091537964555826,-0.011683372857082621,0.4560687607931043,-0.2604954956037639,-0.08452085261528353,1.6660003345558165,-0.8735644679454582,-0.34727601471983455
1.6406376229796413,1.0065022623946625,-0.01254764912888124,0.4727943808323064,-0.2692259514738703,-0.08802691210454032,1.6759086742158547,-0.8707206015470996,-0.3533667071535127
1.6454547477118515,1.0037635186140614,-0.013447309152277055,0.4896207032976614,-0.27792694785718286,-0.0915951833326553,1.6861351704099383,-0.8677175296681183,-0.3596952961248538
